Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note
Katie Britt,No,Alabama,Senator,N/A,Fully denied,NBC News,https://twitter.com/VaughnHillyard/status/1528918324192608257,
Jerry Carl,Yes,Alabama,Representative,1,Fully denied,"Congressional roll call, Alabama Political Reporter",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Barry Moore,Yes,Alabama,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Mike Rogers,Yes,Alabama,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Robert Aderholt,Yes,Alabama,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Dale Strong,No,Alabama,Representative,5,Fully denied,Facebook,https://www.facebook.com/strongforalabama/posts/pfbid0Km4TZaJPUTYuSAnwLNeezfrQSaL3uCNDLhvWFwRkMDpKPByKPTXDFYEdvP2m1rvkl?__cft__[0]=AZVE-LgrXbka-w1K8Z5IBxGpBh61GPUdZxnovjIPky71lJcPQWMquAkzM7W8jVhSl7p6idLzrG9toCil8_CQJUa_1NsiaaLVvWTqhVnrllFsloNysJKgcXmgeC0g3E_M4nJnPgsbVJ4ATcVTKt3uUJsRCZRWe028wDT8sg4hQaIRJsMxEFe46wgxhd-UBLyMZ5OKiWp2sNUyyvnmr92-UpxH&__tn__=%2CO%2CP-R,
Gary Palmer,Yes,Alabama,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Beatrice Nichols,No,Alabama,Representative,7,Raised questions,Email to FiveThirtyEight,,
Kay Ivey,Yes,Alabama,Governor,N/A,Fully denied,Kay Ivey for Governor,https://www.youtube.com/watch?v=xztJw19j-CY,
Steve Marshall,Yes,Alabama,Attorney general,N/A,Accepted with reservations,"HuffPost, Supreme Court amicus brief",https://www.huffpost.com/entry/alabama-attorney-general-steve-marshall-biden-president_n_623c96f3e4b0f1e82c54e20b,
Wes Allen,No,Alabama,Secretary of state,N/A,Raised questions,AL.com,https://www.al.com/news/2022/02/spotlight-shines-on-alabama-secretary-of-state-race-as-views-over-2020-election-and-trump-loom-large.html,
Kelly C. Tshibaka,No,Alaska,Senator,N/A,Raised questions,Anchorage Daily News,https://www.adn.com/politics/2022/08/06/candidate-qa-us-senate-kelly-tshibaka/,
Lisa Murkowski,Yes,Alaska,Senator,N/A,Fully accepted,Congressional roll call,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00002.htm,
Nick Begich,No,Alaska,Representative,At-Large,Accepted with reservations,Email to FiveThirtyEight,,
Sarah Palin,No,Alaska,Representative,At-Large,Fully denied,Alaska Beacon,https://alaskabeacon.com/briefs/qa-with-2022-alaska-u-s-house-candidate-sarah-palin/,
Mike Dunleavy,Yes,Alaska,Governor,N/A,Raised questions,Dunleavy press,https://archive.ph/uoMvf,
Blake Masters,No,Arizona,Senator,N/A,Accepted with reservations,Washington Post,https://www.washingtonpost.com/politics/2022/10/07/masters-kelly-arizona-debate/,Previously fully denied election
David Schweikert,Yes,Arizona,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Eli Crane,No,Arizona,Representative,2,Fully denied,"Twitter, Washington Post",https://archive.ph/temws,
Jeff Zink,No,Arizona,Representative,3,Fully denied,Email to FiveThirtyEight,,
Kelly Cooper,No,Arizona,Representative,4,Raised questions,YouTube,https://www.youtube.com/watch?v=tpMBfBswKWw,
Andy Biggs,Yes,Arizona,Representative,5,Fully denied,"Washington Post, congressional roll call",https://www.washingtonpost.com/politics/2022/07/13/houses-fringe-right-thinks-2000-mules-should-be-taken-seriously/,
Juan Ciscomani,No,Arizona,Representative,6,No comment,,,
Luis Pozzolo,No,Arizona,Representative,7,Raised questions,Twitter,https://archive.ph/8D5TQ,
Debbie Lesko,Yes,Arizona,Representative,8,Fully denied,"Twitter, congressional roll call, Supreme Court amicus brief",https://archive.ph/c5HxS,
