pfr_player_id,player_name,career_try,career_ranypa,career_wowy,bcs_rating
AuguSt20,Steve August,8.810238522,0.656622999,0.64757374,NULL
AbbrDu20,Duke Abbruzzi,93.94808568,0.506930307,0.634414891,NULL
AbduKa00,Karim Abdul-Jabbar,672.2446042,0.52390615,0.192101657,NULL
AbduRa00,Rabih Abdullah,121.1446747,-0.953745517,-0.349893334,NULL
AberWa00,Walter Abercrombie,1479.08051,-1.013036705,-0.137288024,NULL
AbraDa00,Danny Abramowicz,6897.783839,-0.610137457,-0.852726864,11.784158
AdamBo00,Bob Adams,953.1306855,-0.386799804,-0.478713231,NULL
AdamCh00,Charlie Adams,207.6110173,1.362177468,2.029767653,NULL
AdamCh20,Chet Adams,68.42621723,0.269510973,2.151044629,NULL
AdamCu00,Curtis Adams,74.76109634,-0.321053779,-0.46027628,NULL
AdamDa20,David Adams,8.489954586,-0.201034583,0.099746309,NULL
AdamGe00,George Adams,1053.245118,-0.036935441,0.025132874,NULL
AdamJo00,John Adams,329.6623965,-0.325587934,-0.400360857,NULL
AdamJo01,Joe Adams,7.176933807,0.763340829,0.623483947,NULL
AdamKr00,Kris Adams,19.09304583,-0.287143124,-0.148928567,NULL
AdamKy00,Kyle Adams,35.77687504,-0.832298407,-1.029790561,NULL
AdamMi00,Mike Adams,30.30107865,0.28631952,1.181777975,NULL
AdamMi01,Mike Adamle,638.7227728,-0.51109686,-0.000160218,NULL
AdamNe20,Neal Adams,1994.085178,0.302424828,0.660800592,NULL
AdamTo00,Tony Adams,-1.702127544,0.292581408,0.808798877,NULL
AdamTo01,Tom Adams,51.57055979,-1.230477368,-1.879592175,NULL
AdamTo02,Tony Adamle,49.47904649,4.707068358,1.435582555,NULL
AdamVe20,Verlin Adams,39.66775778,-0.063829707,-0.106373503,NULL
AdamWi00,Willis Adams,817.3191049,0.135328311,0.402692672,NULL
AddaJo00,Joseph Addai,1515.482402,1.42777135,-0.062195842,NULL
AdicMa20,Mark Adickes,19.61831018,-0.468969366,0.888628657,NULL
AdkiBo20,Bob Adkins,168.9035161,0.931747565,-2.00386479,NULL
AdkiJa00,James Adkisson,8.775611716,-2.713311682,-1.689494791,NULL
AdkiMa00,Margene Adkins,321.8393786,0.165561429,0.617164868,NULL
AffhEr00,Erik Affholter,66.11678548,-0.840775267,-0.925035001,NULL
AgeeSa20,Sam Agee,44.17963841,-1.946327129,-0.82906458,NULL
AgeeTo00,Tommie Agee,406.6148575,-1.224030456,-1.385148224,NULL
AguiJo20,Joe Aguirre,4385.3113,1.304540006,0.432746193,NULL
AhreDa20,Dave Ahrens,5.781142505,-0.174839647,0.062719685,NULL
AikeCa20,Carl Aikens,158.9318781,0.136667889,1.245811945,NULL
AikeSa00,Sam Aiken,582.7080008,0.42381738,0.100214527,NULL
AikmTr00,Troy Aikman,-5.683187024,-1.379727277,-1.231543135,NULL
AjirSe00,Seyi Ajirotutu,307.8564201,1.721578248,0.610000902,NULL
AkinAl20,Al Akins,208.6064685,-3.309489225,-2.041510807,NULL
AkinFr00,Frank Akins,346.339078,2.658952783,0.841299596,NULL
AkiuMi20,Mike Akiu,79.06861235,-0.89496259,-2.373440671,NULL
AlbeFr00,Frankie Albert,6.097083306,1.961816696,2.140018484,NULL
AldrBe00,Bennie Aldridge,137.3734331,1.540506039,0.697085078,NULL
AlexCh00,Charles Alexander,1359.799539,0.564127139,0.167353502,NULL
AlexDa00,Danario Alexander,1135.354708,-0.925767982,-1.102111355,NULL
AlexDa22,David Alexander,6.489393749,-0.3397653,-0.310345769,NULL
AlexDe00,Derrick Alexander,6056.810512,0.432422838,0.129079088,1.915869
AlexGl00,Glenn Alexander,60.56697576,-0.815227423,0.989519249,NULL
AlexJe00,Jeff Alexander,79.92545432,-0.366231043,-1.172572822,NULL
AlexKe00,Kevin Alexander,331.03934,-0.880821396,0.615895533,NULL
AlexMi00,Mike Alexander,275.8507157,0.005430141,-0.453130277,NULL
AlexRa00,Ray Alexander,876.1173059,-0.413621421,-0.261937169,NULL
AlexRo20,Robert Alexander,7.44280541,0.120556724,0.527331906,NULL
AlexSh00,Shaun Alexander,1753.468114,0.434879284,0.188986627,NULL
AlexSt00,Stephen Alexander,2509.911216,0.048565349,-0.260229637,NULL
AlexVi20,Vincent Alexander,18.34540264,1.082924574,0.683077229,NULL
AlfoBr00,Brian Alford,28.80940722,-0.588328866,-0.023114367,NULL
AlfoBr01,Bruce Alford,2192.467564,-1.141798917,-0.085439692,NULL
