FOD1P,Major,Major_Category
1100,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103,ANIMAL SCIENCES,Agriculture & Natural Resources
1104,FOOD SCIENCE,Agriculture & Natural Resources
1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106,SOIL SCIENCE,Agriculture & Natural Resources
1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1302,FORESTRY,Agriculture & Natural Resources
1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
6000,FINE ARTS,Arts
6001,DRAMA AND THEATER ARTS,Arts
6002,MUSIC,Arts
6003,VISUAL AND PERFORMING ARTS,Arts
6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
6007,STUDIO ARTS,Arts
6099,MISCELLANEOUS FINE ARTS,Arts
1301,ENVIRONMENTAL SCIENCE,Biology & Life Science
3600,BIOLOGY,Biology & Life Science
3601,BIOCHEMICAL SCIENCES,Biology & Life Science
3602,BOTANY,Biology & Life Science
3603,MOLECULAR BIOLOGY,Biology & Life Science
3604,ECOLOGY,Biology & Life Science
3605,GENETICS,Biology & Life Science
3606,MICROBIOLOGY,Biology & Life Science
3607,PHARMACOLOGY,Biology & Life Science
3608,PHYSIOLOGY,Biology & Life Science
3609,ZOOLOGY,Biology & Life Science
3611,NEUROSCIENCE,Biology & Life Science
3699,MISCELLANEOUS BIOLOGY,Biology & Life Science
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
6200,GENERAL BUSINESS,Business
6201,ACCOUNTING,Business
6202,ACTUARIAL SCIENCE,Business
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business
6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business
6205,BUSINESS ECONOMICS,Business
6206,MARKETING AND MARKETING RESEARCH,Business
6207,FINANCE,Business
6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
6210,INTERNATIONAL BUSINESS,Business
6211,HOSPITALITY MANAGEMENT,Business
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
1901,COMMUNICATIONS,Communications & Journalism
1902,JOURNALISM,Communications & Journalism
1903,MASS MEDIA,Communications & Journalism
1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102,COMPUTER SCIENCE,Computers & Mathematics
2105,INFORMATION SCIENCES,Computers & Mathematics
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
3700,MATHEMATICS,Computers & Mathematics
3701,APPLIED MATHEMATICS,Computers & Mathematics
3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
2300,GENERAL EDUCATION,Education
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303,SCHOOL STUDENT COUNSELING,Education
2304,ELEMENTARY EDUCATION,Education
2305,MATHEMATICS TEACHER EDUCATION,Education
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307,EARLY CHILDHOOD EDUCATION,Education
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309,SECONDARY TEACHER EDUCATION,Education
2310,SPECIAL NEEDS EDUCATION,Education
2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313,LANGUAGE AND DRAMA EDUCATION,Education
2314,ART AND MUSIC EDUCATION,Education
2399,MISCELLANEOUS EDUCATION,Education
3501,LIBRARY SCIENCE,Education
1401,ARCHITECTURE,Engineering
2400,GENERAL ENGINEERING,Engineering
2401,AEROSPACE ENGINEERING,Engineering
2402,BIOLOGICAL ENGINEERING,Engineering
2403,ARCHITECTURAL ENGINEERING,Engineering
2404,BIOMEDICAL ENGINEERING,Engineering
2405,CHEMICAL ENGINEERING,Engineering
2406,CIVIL ENGINEERING,Engineering
2407,COMPUTER ENGINEERING,Engineering
2408,ELECTRICAL ENGINEERING,Engineering
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410,ENVIRONMENTAL ENGINEERING,Engineering
2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414,MECHANICAL ENGINEERING,Engineering
2415,METALLURGICAL ENGINEERING,Engineering
2416,MINING AND MINERAL ENGINEERING,Engineering
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418,NUCLEAR ENGINEERING,Engineering
2419,PETROLEUM ENGINEERING,Engineering
2499,MISCELLANEOUS ENGINEERING,Engineering
2500,ENGINEERING TECHNOLOGIES,Engineering
2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
5008,MATERIALS SCIENCE,Engineering
4002,NUTRITION SCIENCES,Health
6100,GENERAL MEDICAL AND HEALTH SERVICES,Health
6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
6104,MEDICAL ASSISTING SERVICES,Health
6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health
6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
6107,NURSING,Health
