president,president_name,title,date,city,state,building,room
33,Harry Truman,Commencement Address at Princeton University.,6/17/47,Princeton,NJ,Princeton University,Nassau Hall
33,Harry Truman,Commencement Address at the University of California.,6/12/48,Berkeley,CA,,
33,Harry Truman,Commencement Address at the University of Missouri.,6/9/50,Columbia,MO,,
33,Harry Truman,Commencement Address at Howard University.,6/13/52,Washington,DC,Howard University,unknown
34,Dwight Eisenhower,"Remarks at the Dartmouth College Commencement Exercises, Hanover, New Hampshire.",6/14/53,Hanover,NH,,
34,Dwight Eisenhower,"Remarks at the Washington College Commencement, Chestertown, Maryland.",6/7/54,Chestertown,MD,,
34,Dwight Eisenhower,"Address at the Graduation Ceremonies, United States Military Academy, West Point, New York",6/7/55,West Point,NY,,
34,Dwight Eisenhower,Address at the Centennial Commencement of Pennsylvania State University.,6/11/55,University Park,PA,,
34,Dwight Eisenhower,"Address and Remarks at the Baylor University Commencement Ceremonies, Waco, Texas.",5/25/56,Waco,TX,,
34,Dwight Eisenhower,"Address at the Sesquicentennial Commencement of Mount St. Mary's College, Emmitsburg, Maryland.",6/2/58,Emmitsburg,MD,,
34,Dwight Eisenhower,Address at U. S. Naval Academy Commencement.,6/4/58,Annapolis,MD,,
34,Dwight Eisenhower,Remarks on Introducing Prime Minister Macmillan at the Johns Hopkins University Commencement.,6/10/58,Baltimore,MD,,
34,Dwight Eisenhower,"Address ""Beyond the Campus"" Delivered at the Commencement Exercises of the University of Notre Dame.",6/5/60,South Bend,IN,University of Notre Dame,O'Shaughnessy Hall
35,John Kennedy,Remarks at Annapolis to the Graduating Class of the United States Naval Academy.,6/7/61,Annapolis,MD,,
35,John Kennedy,Remarks at West Point to the Graduating Class of the U.S. Military Academy.,6/6/62,West Point,NY,,
35,John Kennedy,Commencement Address at Yale University.,6/11/62,New Haven,CT,,
35,John Kennedy,Remarks at Colorado Springs to the Graduating Class of the U.S. Air Force Academy.,6/5/63,Colorado Springs,CO,,
35,John Kennedy,Commencement Address at San Diego State College.,6/6/63,San Diego,CA,,
35,John Kennedy,Commencement Address at American University in Washington,6/10/63,Washington,DC,American University,John M. Reeves Athletic Field
36,Lyndon Johnson,Remarks at the University of Michigan,5/22/64,Ann Arbor,MI,University of Michigan,
36,Lyndon Johnson,Remarks in Texas to the Graduating Class of the Johnson City High School.,5/29/64,Johnson City,TX,,
36,Lyndon Johnson,Commencement Address at the University of Texas.,5/30/64,Austin,TX,,
36,Lyndon Johnson,Commencement Address in New London at the United States Coast Guard Academy.,6/3/64,New London,CT,,
36,Lyndon Johnson,Address at the Centennial Commencement of Swarthmore College.,6/8/64,Swarthmore,PA,,
36,Lyndon Johnson,Commencement Address at Holy Cross College.,6/10/64,Worcester,MA,,
36,Lyndon Johnson,Commencement Address at Baylor University.,5/28/65,Waco,TX,,
36,Lyndon Johnson,Remarks at the Commencement Exercises of the National Cathedral School.,6/1/65,Washington,DC,Washington Cathedral,na
36,Lyndon Johnson,"Commencement Address at Howard University: ""To Fulfill These Rights.""",6/4/65,Washington,DC,Howard University,Main Quadrangle
36,Lyndon Johnson,Commencement Address at Catholic University.,6/6/65,Washington,DC,Catholic University,Gymnasium
36,Lyndon Johnson,Remarks at the Graduation Ceremony of the School for Capitol Page Boys.,6/15/65,Washington,DC,White House,Rose Garden
36,Lyndon Johnson,Remarks at the Graduation Ceremony of the Capitol Page School.,6/14/66,Washington,DC,White House,Rose Garden
36,Lyndon Johnson,Remarks at the Graduation Ceremony of the Capitol Page School.,6/13/67,Washington,DC,White House,Rose Garden
36,Lyndon Johnson,Commencement Address at Texas Christian University.,5/29/68,Fort Worth,TX,,
36,Lyndon Johnson,Commencement Address at Glassboro State College.,6/4/68,Glassboro,NJ,,
36,Lyndon Johnson,Remarks at the Graduation Exercises of the Capitol Page School.,6/11/68,Washington,DC,White House,East Room
36,Lyndon Johnson,Address at the Summer Commencement Exercises of Southwest Texas State College.,8/24/68,San Marcos,TX,,
37,Richard Nixon,"Address at the Air Force Academy Commencement Exercises in Colorado Springs, Colorado",6/4/69,Colorado Springs,CO,Air Force Academy,Falcon Stadium
37,Richard Nixon,Remarks at the Graduation Ceremony of the Capitol Page School.,6/12/69,Washington,DC,White House,Rose Garden
37,Richard Nixon,"Remarks at Commencement Exercises of Florida Technological University, Orlando, Florida.",6/8/73,Orlando,FL,,
37,Richard Nixon,"Remarks at Commencement Exercises at Oklahoma State University, Stillwater, Oklahoma.",5/11/74,Stillwater,OK,,
37,Richard Nixon,"Remarks at Commencement Ceremonies at the United States Naval Academy, Annapolis, Maryland.",6/5/74,Annapolis,MD,,
38,Gerald Ford,Commencement Address at the University of Pennsylvania.,5/18/75,Philadelphia,PA,University of Pennsylvania,
38,Gerald Ford,Commencement Address at the United States Military Academy.,6/4/75,West Point,NY,U.S. Military Academy,Michie Stadium
38,Gerald Ford,"Remarks at Graduation Ceremonies at Holton-Arms School, Bethesda, Maryland.",6/5/75,Bethesda,MD,Holton-Arms School,grounds
38,Gerald Ford,Commencement Address at Chicago State University.,7/12/75,Chicago,IL,McCormick Place,Arie Crown Theatre
38,Gerald Ford,Commencement Address at the University of Nebraska in Lincoln.,5/8/76,Lincoln,NE,University of Nebraska,Sports Center
38,Gerald Ford,Commencement Address at Warner Pacific College in Portland.,5/23/76,Portland,OR,Warner Pacific College,Center for Christian Ministers Auditorum
39,Jimmy Carter,UNIVERSITY OF NOTRE DAME - Address at Commencement Exercises at the University,5/22/77,Notre Dame,IN,,
39,Jimmy Carter,United States Naval Academy Address at the Commencement Exercises.,6/7/78,Annapolis,MD,,
39,Jimmy Carter,Capitol Page School Remarks to Members of the Graduating Class.,6/12/78,Washington,DC,White House,Rose Garden
39,Jimmy Carter,Cheyney State College Address at the Commencement Exercises,5/20/79,Cheyney,PA,Cheyney State College,quadrangle
40,Ronald Reagan,Address at Commencement Exercises at the University of Notre Dame,5/17/81,Notre Dame,IN,University of Notre Dame,Notre Dame Athletic and Convocation Center
40,Ronald Reagan,Address at Commencement Exercises at the United States Military Academy,5/27/81,West Point,NY,,
40,Ronald Reagan,Address at Commencement Exercises at Eureka College in Illinois,5/9/82,Eureka,IL,Eureka College,Reagan Physical Education Center
40,Ronald Reagan,"Address at Commencement Exercises at Seton Hall University in South Orange, New Jersey",5/21/83,South Orange,NJ,,
40,Ronald Reagan,"Address at Commencement Exercises at the United States Air Force Academy in Colorado Springs, Colorado",5/30/84,Colorado Springs,CO,,
40,Ronald Reagan,"Address at the United States Naval Academy Commencement Exercises in Annapolis, Maryland",5/22/85,Annapolis,MD,,
40,Ronald Reagan,"Remarks at the High School Commencement Exercises in Glassboro, New Jersey",6/19/86,Glassboro,NJ,Glassboro High School,Gymnasium
40,Ronald Reagan,Remarks at the Tuskegee University Commencement Ceremony in Alabama,5/10/87,Tuskegee,AL,,
40,Ronald Reagan,Remarks at the Uniformed Services University of Health Sciences Commencement Ceremony,5/16/87,Washington,DC,John F. Kennedy Center for the Performin,Concert Hall
40,Ronald Reagan,"Remarks at the Commencement Ceremony for Area High School Seniors in Chattanooga, Tennessee",5/19/87,Chattanooga,TN,,
40,Ronald Reagan,"Remarks at the United States Coast Guard Academy Commencement Ceremony in New London, Connecticut",5/18/88,New London,CT,,
41,George H.W. Bush,Remarks at the Texas A&M University Commencement Ceremony in College Station,5/12/89,College Station,TX,,
41,George H.W. Bush,"Remarks at the Alcorn State University Commencement Ceremony in Lorman, Mississippi",5/13/89,Lorman,MS,,
41,George H.W. Bush,Remarks at the Mississippi State University Commencement Ceremony in Starkville,5/13/89,Starkville,MS,,
41,George H.W. Bush,Remarks at the Boston University Commencement Ceremony in Massachusetts,5/21/89,Boston,MA,,
41,George H.W. Bush,"Remarks at the United States Coast Guard Academy Commencement Ceremony in New London, Connecticut",5/24/89,New London,CT,,
41,George H.W. Bush,"Remarks at the Cheltenham High School Commencement Ceremony in Wyncote, Pennsylvania",6/19/89,Wyncote,PA,,
41,George H.W. Bush,Remarks at the Oklahoma State University Commencement Ceremony in Stillwater,5/4/90,Stillwater,OK,,
41,George H.W. Bush,Remarks at the Texas A&I University Commencement Ceremony in Kingsville,5/11/90,Kingsville,TX,,
41,George H.W. Bush,Remarks at the University of South Carolina Commencement Ceremony in Columbia,5/12/90,Columbia,SC,,
41,George H.W. Bush,"Remarks at the Liberty University Commencement Ceremony in Lynchburg, Virginia",5/12/90,Lynchburg,VA,,
41,George H.W. Bush,Remarks at the University of Texas Commencement Ceremony in Austin,5/19/90,Austin,TX,,
41,George H.W. Bush,Remarks at the University of Michigan Commencement Ceremony in Ann Arbor,5/4/91,Ann Arbor,MI,,
