Owner,Team,League,Recipient,Amount,Election Year,Party
Adam Silver,Commissioner,NBA,WRIGHT 2016,"$4,000 ",2016,Democrat
Adam Silver,Commissioner,NBA,BIDEN FOR PRESIDENT,"$2,800 ",2020,Democrat
Adam Silver,Commissioner,NBA,CORY 2020,"$2,700 ",2020,Democrat
Adam Silver,Commissioner,NBA,Kamala Harris for the People,"$2,700 ",2020,Democrat
Adam Silver,Commissioner,NBA,Win The Era PAC,"$2,700 ",2020,Democrat
Adam Silver,Commissioner,NBA,KOHL FOR CONGRESS,"$2,000 ",2018,Democrat
Adam Silver,Commissioner,NBA,BETO FOR TEXAS,"$1,000 ",2018,Democrat
Adam Silver,Commissioner,NBA,MONTANANS FOR TESTER,"$1,000 ",2018,Democrat
Adam Silver,Commissioner,NBA,SERVE AMERICA PAC,"$1,000 ",2018,Democrat
Adam Silver,Commissioner,NBA,ADAM SCHLEIFER FOR CONGRESS,"$1,000 ",2020,Democrat
Adam Silver,Commissioner,NBA,ELISSA SLOTKIN FOR CONGRESS,"$1,000 ",2020,Democrat
Adam Silver,Commissioner,NBA,DELGADO FOR CONGRESS,$500 ,2018,Democrat
Alan Smolinisky,Los Angeles Dodgers,MLB,Americans for Tomorrow's Future,"$10,000 ",2020,N/A
Alan Smolinisky,Los Angeles Dodgers,MLB,Stand with Sanchez,"$2,800 ",2020,Democrat
Alex Meruelo,Arizona Coyotes,NHL,All For Our Country Leadership PAC ,"$5,000 ",2020,Democrat
Alex Meruelo,Arizona Coyotes,NHL,Nevadans for Steven Horsford,"$2,800 ",2020,Democrat
Alex Meruelo,Arizona Coyotes,NHL,Esmeralda Soria for Congress,$500 ,2020,Democrat
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan
Amy Adams Strunk,Tennessee Titans,NFL,Portman for Senate Committee,"$2,700 ",2016,Republican
Amy Adams Strunk,Tennessee Titans,NFL,Republican National Committee,$400 ,2016,Republican
Andrew Murstein,Richard Petty Motorsports,NASCAR,Right to Rise USA,"$1,000 ",2016,Republican
Andrew Murstein,Richard Petty Motorsports,NASCAR,Hillary Victory Fund,"$1,000 ",2016,Democrat
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$10,600 ",2020,Republican
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2016,Bipartisan
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2018,Bipartisan
Arte Moreno,Los Angeles Angels of Anaheim,MLB,COLLINS FOR SENATOR,"$5,600 ",2020,Republican
Arte Moreno,Los Angeles Angels of Anaheim,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,"$5,600 ",2020,Republican
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCSALLY FOR SENATE INC,"$5,400 ",2018,Republican
Arte Moreno,Los Angeles Angels of Anaheim,MLB,Trump Victory,"$5,400 ",2018,Republican
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2020,Bipartisan
Arthur Blank,Atlanta Falcons,NFL,Biden Victory Fund,"$35,500 ",2020,Democrat
Arthur Blank,Atlanta Falcons,NFL,Hillary Victory Fund,"$25,000 ",2016,Democrat
Arthur Blank,Atlanta Falcons,NFL,Bullock Victory Fund,"$15,600 ",2020,Democrat
Arthur Blank,Atlanta Falcons,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan
Arthur Blank,Atlanta Falcons,NFL,Georgia Federal Elections Committee,"$10,000 ",2018,Democrat
Arthur Blank,Atlanta Falcons,NFL,Gridiron-PAC,"$10,000 ",2020,Bipartisan
Arthur Blank,Atlanta Falcons,NFL,Georgians For Isakson,"$5,400 ",2016,Republican
Arthur Blank,Atlanta Falcons,NFL,Hillary For America,"$5,400 ",2016,Democrat
Arthur Blank,Atlanta Falcons,NFL,Montanans For Tester,"$5,400 ",2018,Democrat
Arthur Blank,Atlanta Falcons,NFL,Tester Victory Fund,"$5,400 ",2018,Democrat
Arthur Blank,Atlanta Falcons,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan
Arthur Blank,Atlanta Falcons,NFL,The Home Depot Inc. Political Action Committee,"$5,000 ",2020,"Bipartisan, but mostly Republican"
Arthur Blank,Atlanta Falcons,NFL,Homrich Congress,"$2,800 ",2020,Republican
Arthur Blank,Atlanta Falcons,NFL,Evan Bayh Committee,"$1,000 ",2016,Democrat
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$14,000 ",2018,Bipartisan
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$12,000 ",2016,Bipartisan
Arthur J. Rooney II,Pittsburgh Steelers,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan
Arthur J. Rooney II,Pittsburgh Steelers,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BIDEN FOR PRESIDENT,"$5,000 ",2020,Democrat
Arthur J. Rooney II,Pittsburgh Steelers,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan
Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$5,000 ",2020,Bipartisan
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BOB CASEY FOR SENATE INC,"$2,700 ",2018,Democrat
Arthur J. Rooney II,Pittsburgh Steelers,NFL,REDWINGMCPAC,"$2,400 ",2018,Republican
Arthur J. Rooney II,Pittsburgh Steelers,NFL,BILL SHUSTER FOR CONGRESS,"$2,000 ",2016,Republican
Arthur J. Rooney II,Pittsburgh Steelers,NFL,FRIENDS OF PAT TOOMEY,"$2,000 ",2016,Republican
Arthur J. Rooney II,Pittsburgh Steelers,NFL,O'MALLEY FOR PRESIDENT,"$2,000 ",2016,Democrat
Arthur J. Rooney II,Pittsburgh Steelers,NFL,F.N.B. CORPORATION PAC,"$1,150 ",2016,Republican
Arthur J. Rooney II,Pittsburgh Steelers,NFL,CONOR LAMB FOR CONGRESS,"$1,000 ",2020,Democrat
Bill Cameron,Dallas Wings,WNBA,TRUSTED LEADERSHIP PAC,"$25,000 ",2016,Republican
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$13,103 ",2018,"Bipartisan, but mostly Republican"
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$12,138 ",2016,"Bipartisan, but mostly Republican"
Bill Cameron,Dallas Wings,WNBA,TED CRUZ VICTORY COMMITTEE,"$7,700 ",2018,Republican
Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$6,852 ",2020,"Bipartisan, but mostly Republican"
Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,"$3,687 ",2016,Republican
Bill Cameron,Dallas Wings,WNBA,HILLARY VICTORY FUND,"$2,700 ",2016,Democrat
Bill Cameron,Dallas Wings,WNBA,BETH LINDSTROM FOR US SENATE INC,"$2,700 ",2018,Republican
Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,"$2,000 ",2018,Republican
Bill Cameron,Dallas Wings,WNBA,MCSALLY FOR SENATE INC,"$1,000 ",2018,Republican
Bill Cameron,Dallas Wings,WNBA,HERN FOR CONGRESS,"$1,000 ",2020,Republican
Bill Cameron,Dallas Wings,WNBA,THOM TILLIS COMMITTEE,"$1,000 ",2020,Republican
Bill Cameron,Dallas Wings,WNBA,FAMILIES FOR JAMES LANKFORD,$421 ,2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Boehner for Speaker,"$18,675 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Portman Victory Committee,"$15,000 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Missouri Republican State Committee-Federal,"$10,000 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Portman-Ohio Victory Committee,"$5,000 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,The Committee to Elect Delegates,"$5,000 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,McConnell for Majority Leader Committee,"$5,000 ",2018,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,McConnell Senate Committee ,"$5,000 ",2018,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Ohio Republican Party State Central & Executive Committee,"$5,000 ",2018,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Promoting Our Republican Team PAC,"$5,000 ",2018,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Jeb 2016. Inc.,"$2,700 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,"Ron Johnson for Senate, Inc.","$2,700 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Lindsey Graham 2016,"$2,500 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Wenstrup for Congress,"$2,000 ",2016,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Bill Nelson for US Senate,"$1,000 ",2018,Democrat
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Alaskans for Dan Sullivan,"$1,000 ",2020,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Brad Wenstrup Victory Fund,"$1,000 ",2020,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Ohio Republican Party State Central & Executive Committee,"$1,000 ",2020,Republican
Bill Dewitt Jr.,St. Louis Cardinals,MLB,Steve Daines for Montana,$500 ,2020,Republican
Bill Foley,Vegas Golden Knights,NHL,1820 PAC,"$250,000 ",2020,Republican
Bill Foley,Vegas Golden Knights,NHL,TRUMP VICTORY,"$250,000 ",2020,Republican
Bill Foley,Vegas Golden Knights,NHL,NEW REPUBLICAN PAC,"$206,100 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,DEFENDARIZONA,"$100,000 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,SENATE LEADERSHIP FUND,"$82,300 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,RICK SCOTT VICTORY FUND,"$36,600 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,MCSALLY ARIZONA VICTORY FUND,"$20,400 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,HELLER VICTORY COMMITTEE,"$17,700 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,ROSENDALE VICTORY FUND,"$15,300 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,HOUSLEY FOR SENATE COMMITTEE,"$5,400 ",2018,Republican
Bill Foley,Vegas Golden Knights,NHL,JOSH HAWLEY FOR SENATE,"$5,400 ",2018,Republican
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,TRUMP VICTORY,"$17,501 ",2020,Republican
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,600 ",2020,Democrat
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,"$5,600 ",2020,Democrat
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,HELLER FOR SENATE,"$5,400 ",2018,Republican
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,400 ",2018,Democrat
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,"$5,400 ",2018,Democrat
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,AMERICAN POSSIBILITIES PAC,"$5,000 ",2018,Democrat
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,BIDEN FOR PRESIDENT,"$2,800 ",2020,Democrat
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ACTBLUE,"$1,120 ",2020,Democrat
Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ROMNEY FOR UTAH INC,"$1,000 ",2018,Republican
Billie Jean King,Los Angeles Dodgers,MLB,Amy for America,"$2,800 ",2020,Democrat
Billie Jean King,Los Angeles Dodgers,MLB,"Amy McGrath for Senate, Inc.","$2,800 ",2020,Democrat
Billie Jean King,Los Angeles Dodgers,MLB,Biden for President,"$2,800 ",2020,Democrat
Billie Jean King,Los Angeles Dodgers,MLB,DSCC,"$1,400 ",2020,Democrat
Billie Jean King,Los Angeles Dodgers,MLB,Jaime Harrison for US Senate,"$1,400 ",2020,Democrat
Bob Nutting,Pittsburgh Pirates,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2016,Bipartisan
Bob Nutting,Pittsburgh Pirates,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan
Bob Nutting,Pittsburgh Pirates,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan
Bob R. Simpson,Texas Rangers,MLB,Office of the Commissioner of Major League Baseball PAC,"$3,000 ",2018,Bipartisan
Bob R. Simpson,Texas Rangers,MLB,Office of the Commissioner of Major League Baseball PAC,"$1,000 ",2016,Bipartisan
Bob R. Simpson,Texas Rangers,MLB,Office of the Commissioner of Major League Baseball PAC,"$1,000 ",2020,Bipartisan
Bobby Patton,Los Angeles Dodgers,MLB,Hillary Victory Fund,"$36,100 ",2016,Democrat
Bruce Sherman,Miami Marlins,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan
Bruce Sherman,Miami Marlins,MLB,Ro for Congress,"$2,700 ",2018,Democrat
Bruce Sherman,Miami Marlins,MLB,Ro for Congress,"$1,000 ",2020,Democrat
Bryan Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan
Bryan Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan
Bryan Glazer,Tampa Bay Buccaneers,NFL,Charlie Crist for Congress,"$5,600 ",2020,Democrat
Bryan Glazer,Tampa Bay Buccaneers,NFL,Charlie Crist for Congress,"$5,400 ",2018,Democrat
Bryan Glazer,Tampa Bay Buccaneers,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan
Bryan Glazer,Tampa Bay Buccaneers,NFL,Charlie Crist for Congress,"$2,700 ",2016,Democrat
Bryan Glazer,Tampa Bay Buccaneers,NFL,Rick Scott for Florida,"$2,700 ",2018,Republican
Carole Moreno,Los Angeles Angels of Anaheim,MLB,McConnell for Majority Leader Committee,"$10,600 ",2020,Republican
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$10,000 ",2018,Bipartisan
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Collins for Senator,"$5,600 ",2020,Republican
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Tiffany Shedd for Congress Committee,"$5,600 ",2020,Republican
Carole Moreno,Los Angeles Angels of Anaheim,MLB,McSally for Senate Inc.,"$5,400 ",2018,Republican
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Trump Victory,"$5,400 ",2018,Republican
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$5,000 ",2016,Bipartisan
Carole Moreno,Los Angeles Angels of Anaheim,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$5,000 ",2020,Bipartisan
Cathy Engelbert,Commissioner,WNBA,DELOITTE POLITICAL ACTION COMMITTEE,"$3,750 ",2020,Bipartisan
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,"$1,850,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,RIGHT TO RISE USA,"$1,500,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,"$1,300,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,"$1,000,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,TAKE BACK THE HOUSE 2020,"$750,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,"$500,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,"$472,700 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,"$435,200 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,"$300,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,REPUBLICAN NATIONAL COMMITTEE,"$282,400 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,"$244,200 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,"$150,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR OHIO FUND,"$100,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,GREAT AMERICA PAC,"$100,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,NRSC TARGETED STATE VICTORY COMMITTEE,"$100,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,"$100,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,NEW REPUBLICAN PAC,"$100,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,"$100,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,1820 PAC,"$100,000 ",2020,Republican
