RespondentID,"In your own words, what would you call the part of the country you live in now?","How much, if at all, do you personally identify as a Midwesterner?",,,,Which of the following states do you consider part of the Midwest? Please select all that apply. ,,,,,,,,,,,,,,,,,,,,"In what ZIP code is your home located? (enter 5-digit ZIP code; for example, 00544 or 94305)",Gender,,Age,,,,,Household Income,,,,,Education,,,,,Location (Census Region),,,,,,,,
,Open-Ended Response,A lot,Some,Not much,Not at all,Illinois,Indiana,Iowa,Kansas,Michigan,Minnesota,Missouri,Nebraska,North Dakota,Ohio,South Dakota,Wisconsin,Arkansas,Colorado,Kentucky,Oklahoma,Pennsylvania,West Virginia,Montana,Wyoming,Open-Ended Response,Male,Female,< 18,18-29,30-44,45-60,> 60,"$0 - $24,999","$25,000 - $49,999","$50,000 - $99,999","$100,000 - $149,999","$150,000+",Less than high school degree,High school degree,Some college,Associate or bachelor degree,Graduate degree,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain,Pacific
3126807211,Southern,,,Not much,,,,,,,,,,,,,,,Colorado,,,,,,,74070,Male,,,18-29,,,,,,"$50,000 - $99,999",,,,High school degree,,,,,,,,,,West South Central,,
3126802202,Midwest,A lot,,,,Illinois,Indiana,Iowa,Kansas,Michigan,Minnesota,Missouri,Nebraska,North Dakota,Ohio,South Dakota,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126791039,Midwest,,,Not much,,Illinois,,Iowa,,Michigan,Minnesota,Missouri,Nebraska,,Ohio,,Wisconsin,Arkansas,,,,,,,,44106,Male,,,18-29,,,,"$0 - $24,999",,,,,,,,Associate or bachelor degree,,,,East North Central,,,,,,
3126780936,Mid-west,A lot,,,,Illinois,Indiana,,,Michigan,Minnesota,,,,Ohio,,Wisconsin,,,,,,,,,48185,Male,,,18-29,,,,,"$25,000 - $49,999",,,,,,,Associate or bachelor degree,,,,East North Central,,,,,,
3126779836,Midwest,A lot,,,,,,Iowa,Kansas,,,Missouri,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126774351,US,,Some,,,Illinois,,Iowa,Kansas,Michigan,Minnesota,,Nebraska,North Dakota,,South Dakota,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126769963,midewest,A lot,,,,Illinois,Indiana,Iowa,,,,,,,Ohio,,,,,,,,West Virginia,,,45040,Male,,,18-29,,,,,,"$50,000 - $99,999",,,,,,Associate or bachelor degree,,,,East North Central,,,,,,
3126764770,Midwest,,Some,,,Illinois,Indiana,Iowa,Kansas,Michigan,,Missouri,Nebraska,,Ohio,South Dakota,Wisconsin,,,Kentucky,,Pennsylvania,West Virginia,,,44054,Male,,,,30-44,,,,,,,"$150,000+",,,,,Graduate degree,,,East North Central,,,,,,
3126756635,Midwest,,Some,,,Illinois,Indiana,Iowa,Kansas,Michigan,,Missouri,Nebraska,North Dakota,Ohio,South Dakota,,Arkansas,,Kentucky,,,,,,61422,Male,,,,30-44,,,,,,,"$150,000+",,,,Associate or bachelor degree,,,,East North Central,,,,,,
