Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
"Aditya ""A.D."" Atholi",Male,Asian (Indian),,,No,No,Texas,3/1/22,Representative,1,"6,186",8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe McDaniel,Male,White,,,No,No,Texas,3/1/22,Representative,1,"19,708",24%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nathaniel Moran,Male,White,,,No,No,Texas,3/1/22,Representative,1,"51,312",63%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Porro,Male,White,,,No,No,Texas,3/1/22,Representative,1,"4,238",5%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Crenshaw,Male,White,,,Yes,No,Texas,3/1/22,Representative,2,"45,863",74%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jameson Ellis,Male,White,,,No,Yes,Texas,3/1/22,Representative,2,"10,195",17%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Martin Etwop,Male,Black,,,No,Yes,Texas,3/1/22,Representative,2,"2,785",5%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Milam Langella,Male,White,,,No,Yes,Texas,3/1/22,Representative,2,"2,741",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suzanne Harp,Female,White,,,No,Yes,Texas,3/1/22,Representative,3,"13,375",21%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy D. Ivanovskis,Male,White,,,No,Yes,Texas,3/1/22,Representative,3,818,1%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keith Self,Male,White,,,No,Yes,Texas,3/1/22,Representative,3,"17,058",26%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Van Taylor,Male,White,,,Yes,No,Texas,3/1/22,Representative,3,"31,489",49%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rickey Williams,Male,White,,,No,Yes,Texas,3/1/22,Representative,3,"1,731",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pat Fallon,Male,White,,,Yes,No,Texas,3/1/22,Representative,4,"41,297",59%,Won,N/A,N/A,N/A,Fully denied,Yes,11/11/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John E. Harper,Male,White,,,No,Yes,Texas,3/1/22,Representative,4,"7,576",11%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Thomas,Male,White,,,No,Yes,Texas,3/1/22,Representative,4,"21,168",30%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lance Gooden,Male,White,,,Yes,No,Texas,3/1/22,Representative,5,"47,692",100%,Won,N/A,N/A,N/A,Fully denied,Yes,2/16/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Buford,Male,White,,,No,Yes,Texas,3/1/22,Representative,6,"8,636",16%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jake Ellzey,Male,White,,,Yes,No,Texas,3/1/22,Representative,6,"38,683",71%,Won,N/A,N/A,N/A,Raised questions,Yes,2/17/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Payne,Male,Unknown,,,No,Yes,Texas,3/1/22,Representative,6,"7,008",13%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rudy A. Atencio,Male,Latino (Venezuelan),,,No,No,Texas,3/1/22,Representative,7,"1,024",5%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tina Blum Cohen,Female,White,,,No,No,Texas,3/1/22,Representative,7,"1,792",8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Benson Gitau,Male,Black,,,No,No,Texas,3/1/22,Representative,7,422,2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laique Rehman,Male,Asian,,,No,No,Texas,3/1/22,Representative,7,977,5%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lance Stewart,Male,White,,,No,No,Texas,3/1/22,Representative,7,"1,764",8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Stroud,Male,White,,,No,No,Texas,3/1/22,Representative,7,"6,346",29%,Made runoff,"5,239",36%,Lost,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Johnny Teague,Male,White,,,No,No,Texas,3/1/22,Representative,7,"9,293",43%,Made runoff,"9,152",64%,Won,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Betsy Bates,Female,White,,,No,No,Texas,3/1/22,Representative,8,712,1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Candice C. Burrows,Female,White,,,No,No,Texas,3/1/22,Representative,8,"1,519",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christian Collins,Male,White,,,No,No,Texas,3/1/22,Representative,8,"14,659",22%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan Hullihan,Male,White,,,No,No,Texas,3/1/22,Representative,8,"8,296",13%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morgan Luttrell,Male,White,,,No,No,Texas,3/1/22,Representative,8,"34,271",52%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan McKaughan,Male,White,,,No,No,Texas,3/1/22,Representative,8,"1,585",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan A. Mitchell,Male,White,,,No,No,Texas,3/1/22,Representative,8,791,1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chuck Montgomery,Male,White,,,No,No,Texas,3/1/22,Representative,8,"1,169",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
