player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Alaa Abdelnaby,abdelal01,1991,640,303,-3.938449568,-0.510076405,-4.448525973,-0.265191008,-0.226162818,-0.03902819,-3.905731828,-1.696796053,-5.602527881,0.199240629
Alaa Abdelnaby,abdelal01,1992,1998,959,-2.553849264,-0.197943029,-2.751792294,-0.006892965,0.070321631,-0.077214596,-2.499575947,-0.721876322,-3.221452269,0.48543621
Alaa Abdelnaby,abdelal01,1993,2754,1379,-2.373735823,-2.069807932,-4.443543755,-1.227189351,-0.845271749,-0.381917602,-2.328144098,-2.002262822,-4.33040692,0.488265925
Alaa Abdelnaby,abdelal01,1994,320,159,-6.140056457,-2.748312039,-8.888368496,-0.500600277,-0.500600277,0,-5.820936018,-3.526560036,-9.347496054,0.511152215
Alaa Abdelnaby,abdelal01,1995,984,506,-3.84654328,-1.268012224,-5.114555504,-0.615802282,-0.615802282,0,-3.715429289,-1.02702406,-4.742453349,1.545921938
Kareem Abdul-Jabbar,abdulka01,1977,7674,3483,4.544044142,3.103854696,7.647898838,18.488255,15.45621631,3.032038687,4.762806607,2.624500979,7.387307586,-0.50296209
Kareem Abdul-Jabbar,abdulka01,1978,5343,2399,3.447574132,3.423490189,6.87106432,11.68872714,11.47897192,0.209755215,3.944528521,2.820568596,6.765097118,-0.566163079
Kareem Abdul-Jabbar,abdulka01,1979,7826,3524,2.950434641,2.534174878,5.484609519,14.739138,13.20326968,1.535868321,3.23817791,2.029598764,5.267776674,-0.799426048
Kareem Abdul-Jabbar,abdulka01,1980,8226,3761,3.121840014,2.430630696,5.55247071,15.92000183,12.84981134,3.070190486,3.409151023,1.682673062,5.091824085,-0.726437248
Kareem Abdul-Jabbar,abdulka01,1981,6716,3110,2.374990367,1.802589076,4.177579443,10.92877289,10.59928912,0.329483764,2.545213029,1.212411713,3.757624742,-0.609847294
Kareem Abdul-Jabbar,abdulka01,1982,6887,3170,1.268046467,1.649585804,2.917632271,9.161704626,7.815600617,1.346104009,1.635850863,0.990025655,2.625876518,-0.50571572
Kareem Abdul-Jabbar,abdulka01,1983,6835,3142,2.081341129,0.855779094,2.937120223,9.13303867,7.373239349,1.759799321,2.39123411,0.487263785,2.878497896,-0.427959239
Kareem Abdul-Jabbar,abdulka01,1984,7348,3389,1.514651367,1.081400612,2.596051979,9.345015947,5.906325253,3.438690694,1.911385301,0.689802678,2.601187979,-0.500776909
Kareem Abdul-Jabbar,abdulka01,1985,7107,3240,2.516025092,1.845928828,4.36195392,11.77761228,9.165312465,2.612299812,3.007207404,1.549274303,4.556481707,-0.381039525
Kareem Abdul-Jabbar,abdulka01,1986,6719,3118,2.185578564,1.535458015,3.721036579,10.31224636,8.755724126,1.556522231,2.719890157,1.268369308,3.988259465,-0.262196327
Kareem Abdul-Jabbar,abdulka01,1987,6410,3000,0.199145314,0.974264785,1.173410099,6.042652141,4.509803621,1.53284852,0.685112427,0.600316355,1.285428782,-0.203898629
Kareem Abdul-Jabbar,abdulka01,1988,6220,3026,-1.879462451,0.407770928,-1.471691523,1.958342831,1.754247899,0.204094933,-1.387251872,0.096614121,-1.290637751,-0.153164879
Kareem Abdul-Jabbar,abdulka01,1989,4281,2046,-3.451540847,0.484413719,-2.967127127,-0.243649947,6.87E-05,-0.243718664,-2.901625503,0.183359907,-2.718265596,0.010842792
Mahmoud Abdul-Rauf,abdulma02,1991,3606,1505,-2.922757854,-3.04218353,-5.964941384,-2.473735228,-2.473735228,0,-2.808590233,-2.762224061,-5.570814295,0.206360699
Mahmoud Abdul-Rauf,abdulma02,1992,3196,1538,-2.534362787,-2.523590982,-5.057953769,-1.814584645,-1.814584645,0,-2.699999221,-2.64311431,-5.343113531,0.192425414
Mahmoud Abdul-Rauf,abdulma02,1993,5699,2710,0.289814898,-1.088421073,-0.798606175,2.692147156,2.692147156,0,0.340752779,-0.72314419,-0.382391412,-0.215319094
Mahmoud Abdul-Rauf,abdulma02,1994,5925,2956,1.035200628,-0.888265747,0.146934881,4.330179997,4.136852025,0.193327972,0.880020955,-0.634116738,0.245904217,-0.33829414
Mahmoud Abdul-Rauf,abdulma02,1995,4159,2158,1.787025202,-1.004573896,0.782451305,3.871859672,3.935211566,-0.063351893,1.865541747,-0.865754738,0.999787009,-0.253823604
