Block,ForwardAsset,ForwardQuantity,BackwardAsset,BackwardQuantity
428940,RAREPEPE,1,XCP,2
429221,SHITCOINCARD,230,XCP,13.8
429221,RAREPEPE,10,XCP,15
429228,SHITCOINCARD,3,XCP,0.18
429228,RAREPEPE,1,XCP,1.5
429398,SHITCOINCARD,12,XCP,0.72
429398,RAREPEPE,2,XCP,3
429403,RAREPEPE,1,XCP,1.5
429403,SHITCOINCARD,755,XCP,45.3
429466,RAREPEPE,1,XCP,1.5
429480,RAREPEPE,45,XCP,67.5
429481,RAREPEPE,1,XCP,1.5
429482,RAREPEPE,5,XCP,7.5
429509,RAREPEPE,10,XCP,15
429509,SHITCOINCARD,10,XCP,0.9
429512,SHITCOINCARD,10,XCP,0.9
429512,RAREPEPE,10,XCP,15
429516,SHITCOINCARD,22,XCP,1.98
429533,RAREPEPE,6,XCP,9
429534,SHITCOINCARD,5,XCP,0.45
429535,SHITCOINCARD,8,XCP,0.72
429550,SHITCOINCARD,22,XCP,1.98
429550,RAREPEPE,2,XCP,3
429557,RAREPEPE,3,XCP,4.5
429557,SHITCOINCARD,40,XCP,3.6
429557,RAREPEPE,3,XCP,4.5
429558,SHITCOINCARD,75,XCP,6.75
429558,RAREPEPE,15,XCP,22.5
429560,RAREPEPE,22,XCP,33
429560,RAREPEPE,10,XCP,15
429574,RAREPEPE,10,XCP,20
429575,SHITCOINCARD,35,XCP,3.15
429577,SHITCOINCARD,773,XCP,69.57
429577,RAREPEPE,39,XCP,78
429605,GOXPEPE,1,XCP,0.3
429605,GOXPEPE,75,XCP,22.5
429680,GOXPEPE,1,XCP,0.3
429686,RAREPEPE,5,XCP,10
429770,GURUPEPE,4,XCP,1
429779,RAREPEPE,12,XCP,24
429784,RAREPEPE,82,XCP,164
429786,RAREPEPE,1,XCP,2
429859,GOXPEPE,2,XCP,0.6
429956,XCP,2.5,RAREPEPE,1
429980,PEPENATION,3,XCP,0.3
429997,DANKPEPE,2,XCP,1
430003,DANKPEPE,1,XCP,0.5
430075,GOXPEPE,3,XCP,0.9
430091,DANKPEPE,1,XCP,0.125
430110,PEPENATION,10,XCP,1
430123,XCP,1.75,RAREPEPE,1
430123,XCP,1.75,RAREPEPE,1
430155,RAREPEPE,2,XCP,3.5
430167,XCP,0.2,PEPEPARTY,1
430253,GOXPEPE,1,XCP,0.3
430253,PEPENATION,1,XCP,0.1
430253,DANKPEPE,1,XCP,0.125
430253,GURUPEPE,1,XCP,0.25
430253,PEPEPARTY,1,XCP,0.2
430404,BUPEPE,10,XCP,0.1
430525,LOVEPEPETATO,1,XCP,1
430533,RAREPEPE,1,XCP,2.25
430534,GOXPEPE,1,XCP,0.3
430534,TRUMPRARE,1,XCP,0.02
430546,GOXPEPE,200,XCP,60
430547,SHITCOINCARD,400,XCP,48
430548,KEISERPEPE,1,XCP,0.3
430553,SHITCOINCARD,1,XCP,0.12
430575,RAREPEPE,2,XCP,7
430575,RAREPEPE,1,XCP,3.5
430576,DANKPEPE,5,XCP,0.625
430576,TRUMPRARE,5,XCP,0.95
430576,GOXPEPE,5,XCP,1.5
430576,SHITCOINCARD,10,XCP,1.2
430576,LOVEPEPETATO,3,XCP,3
430577,BUPEPE,200,XCP,2
430577,PEPENATION,5,XCP,0.5
430577,PEPEPARTY,5,XCP,1
430579,GOXPEPE,10,XCP,3
430597,KEISERPEPE,5,XCP,1.5
430684,HYIPPEPE,5,XCP,0.5
430686,BUPEPE,1,XCP,0.01
430696,RAREPEPE,1,XCP,2
430759,HYIPPEPE,45,XCP,4.5
430965,RAREPEPE,10,XCP,25
430966,SHITCOINCARD,21,XCP,2.31
430985,LOVEPEPETATO,2,XCP,2
430985,HYIPPEPE,10,XCP,1.45
430986,PEPEJOINTSPH,1000,XCP,3.1
430986,STILLPEPE,50,XCP,5
430986,PEPEPARTY,93,XCP,18.6
430986,PEPETRATION,1,XCP,0.75
430996,LOVEPEPETATO,1,XCP,1
430996,PEPETRATION,3,XCP,2.25
430997,RAREPEPE,1,XCP,3
430998,HYIPPEPE,2,XCP,0.29
430999,HYIPPEPE,20,XCP,2.9
430999,RAREPEPE,1,XCP,3
430999,PEPEPARTY,2,XCP,1
431001,HYIPPEPE,45,XCP,6.75
431001,HYIPPEPE,5,XCP,0.725
431001,HYIPPEPE,8,XCP,1.16
431004,RAREPEPE,4,XCP,12
431006,RAREPEPE,10,XCP,35
431007,SHITCOINCARD,2,XCP,0.21
431007,GOXPEPE,56,XCP,16.8
431015,RAREPEPE,2,XCP,8
431018,DANKPEPE,42,XCP,5.25
431018,GOXPEPE,4,XCP,1.2
431019,SHITCOINCARD,2,XCP,0.21
431040,HYIPPEPE,5,XCP,0.75
431040,STILLPEPE,5,XCP,0.5
431040,PEPETRATION,3,XCP,2.25
431043,LOVEPEPETATO,3,XCP,3
431044,LOVEPEPETATO,1,XCP,1
431047,HYIPPEPE,45,XCP,9
431048,BUPEPE,100,XCP,1
431048,DANKPEPE,1,XCP,0.125
431048,TRUMPRARE,1,XCP,1
431048,GOXPEPE,1,XCP,0.3
431053,DANKPEPE,30,XCP,7.5
431054,LOVEPEPETATO,1,XCP,1
431054,BUPEPE,658,XCP,6.58
431054,GOXPEPE,4,XCP,1.2
431054,XCP,12,RAREPEPE,3
431054,BUPEPE,30,XCP,0.3
431056,LOVEPEPETATO,4,XCP,4
431056,PEPEPARTY,1,XCP,0.5
431056,LOVEPEPETATO,9,XCP,9
431057,STILLPEPE,1,XCP,0.1
431058,STILLPEPE,10,XCP,1
431058,GOXPEPE,2,XCP,0.6
431065,HYIPPEPE,1,XCP,0.2
431085,GOXPEPE,30,XCP,9
431107,GOXPEPE,60,XCP,18
431118,DANKPEPE,5,XCP,1.75
431118,XCP,1.4,PEPEPARTY,7
431152,LUCKYPEPE,100,XCP,0.8
431157,XCP,5,RAREPEPE,1
431174,DARKPILLPEPE,1,XCP,1.9
431177,RAREPEPE,1,XCP,10
431177,GOXPEPE,1,XCP,0.3
431180,DANKPEPE,5,XCP,1.75
431180,BUPEPE,10,XCP,0.5
431180,GURUPEPE,5,XCP,1
431180,PEPEPARTY,4,XCP,2
431180,PEPENATION,10,XCP,1.2
431180,HYIPPEPE,4,XCP,0.8
431180,HYIPPEPE,6,XCP,1.5
431184,GOXPEPE,3,XCP,0.9
431267,PEPEBROS,3,XCP,1.65
431272,RAREPEPE,1,XCP,5
431285,RAREPEPE,1,XCP,15
431292,PEPEBROS,2,XCP,1.1
431300,RAREPEPE,1,XCP,18
431300,RAREPEPE,1,XCP,18
431305,TRUMPRARE,1,XCP,0.99
431307,GOXPEPE,15,XCP,4.5
431313,GOXPEPE,150,XCP,45
431314,XCP,54,RAREPEPE,3
431314,XCP,6.93,TRUMPRARE,7
431318,GURUPEPE,1,XCP,0.2
