pollster_name,pollster_rating_id,2020_pollster_rating,sponsor_names,sponsor_classifications,partisanship,internal,state,start_date,end_date,tracking,has_prez?,has_generic?,has_senate?,has_house?,media?,university?,media_or_university
SurveyMonkey,324,1.28,Axios,national media,,,GA,9/17/20,10/14/20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,1.28,Axios,national media,,,MT,9/18/20,10/15/20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,1.28,Axios,national media,,,MS,9/17/20,10/15/20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,1.28,Axios,national media,,,US,9/3/20,9/5/20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,1.28,Axios,national media,,,FL,9/18/20,10/15/20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Trafalgar Group,338,0.74,,,REP,,MI,10/11/20,10/15/20,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE
SurveyMonkey,324,1.28,Axios,national media,,,MO,9/20/20,10/18/20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,1.28,Axios,national media,,,AR,9/21/20,10/18/20,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Morning Consult,218,2.29,,,,,WI,9/1/20,9/10/20,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Anzalone Liszt Grove,14,1.04,,,DEM,TRUE,MI,6/3/20,6/7/20,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
Global Strategy Group,118,1.6,End Citizens United (PAC),PAC,DEM,,AZ,6/19/20,6/24/20,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE
HIT Strategies,596,,Education Reform Now Advocacy,501(c)(4),DEM,,GA,7/23/20,7/31/20,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
HIT Strategies,596,,Education Reform Now Advocacy,501(c)(4),DEM,,NC,7/23/20,7/31/20,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
OnMessage,239,0.75,Heritage Action for America,501(c)(4),REP,,FL,9/24/20,9/24/20,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
OnMessage,239,0.75,Heritage Action for America,501(c)(4),REP,,NC,9/24/20,9/24/20,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
OnMessage,239,0.75,Heritage Action for America,501(c)(4),REP,,WI,9/24/20,9/24/20,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Øptimus,245,,,,,,US,6/6/20,6/13/20,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE
Selzer & Co.,304,2.75,"The Des Moines Register, Mediacom","local media, media company",,,IA,6/7/20,6/10/20,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
TIPP Insights,144,1.74,American Greatness,national media,,,FL,6/9/20,6/11/20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Remington Research Group,279,2.59,Missouri Scout,local media,,,MO,9/16/20,9/17/20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
The New York Times/Siena College,448,2.91,,,,,MT,9/14/20,9/16/20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Beacon Research/Shaw & Company Research,103,2.75,Fox News,national media,,,US,9/7/20,9/10/20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
YouGov,391,2.97,The Economist,national media,,,US,9/6/20,9/8/20,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Monmouth University Polling Institute,215,3,,,,,US,9/3/20,9/8/20,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE
