type,state,seat,num_polls,num_polls_partisan,Cook rating
HouseRace,AK,District 1,3,3,Toss-Up
HouseRace,AL,District 1,0,0,Solid R
HouseRace,AL,District 2,4,4,Likely D
HouseRace,AL,District 3,0,0,Solid R
HouseRace,AL,District 4,0,0,Solid R
HouseRace,AL,District 5,0,0,Solid R
HouseRace,AL,District 6,0,0,Solid R
HouseRace,AL,District 7,0,0,Solid D
HouseRace,AR,District 1,0,0,Solid R
HouseRace,AR,District 2,0,0,Solid R
HouseRace,AR,District 3,0,0,Solid R
HouseRace,AR,District 4,0,0,Solid R
SenateRace,AZ,Class I,58,10,Lean D
HouseRace,AZ,District 1,2,2,Toss-Up
HouseRace,AZ,District 2,1,0,Likely R
HouseRace,AZ,District 3,0,0,Solid D
HouseRace,AZ,District 4,0,0,Solid D
HouseRace,AZ,District 5,0,0,Solid R
HouseRace,AZ,District 6,2,2,Toss-Up
HouseRace,AZ,District 7,0,0,Solid D
HouseRace,AZ,District 8,0,0,Solid R
HouseRace,AZ,District 9,0,0,Solid R
SenateRace,CA,Class I,12,0,Solid D
HouseRace,CA,District 1,0,0,Solid R
HouseRace,CA,District 10,0,0,Solid D
HouseRace,CA,District 11,0,0,Solid D
HouseRace,CA,District 12,1,0,Solid D
HouseRace,CA,District 13,1,0,Toss-Up
HouseRace,CA,District 14,0,0,Solid D
HouseRace,CA,District 15,0,0,Solid D
HouseRace,CA,District 16,5,4,Solid D
HouseRace,CA,District 17,0,0,Solid D
HouseRace,CA,District 18,0,0,Solid D
HouseRace,CA,District 19,0,0,Solid D
HouseRace,CA,District 2,0,0,Solid D
HouseRace,CA,District 20,0,0,Solid R
HouseRace,CA,District 21,0,0,Solid D
HouseRace,CA,District 22,4,2,Toss-Up
HouseRace,CA,District 23,0,0,Solid R
HouseRace,CA,District 24,0,0,Solid D
HouseRace,CA,District 25,0,0,Solid D
HouseRace,CA,District 26,0,0,Solid D
HouseRace,CA,District 27,1,0,Toss-Up
HouseRace,CA,District 28,0,0,Solid D
HouseRace,CA,District 29,0,0,Solid D
HouseRace,CA,District 3,0,0,Likely R
HouseRace,CA,District 30,0,0,Solid D
HouseRace,CA,District 31,0,0,Solid D
HouseRace,CA,District 32,0,0,Solid D
HouseRace,CA,District 33,0,0,Solid D
HouseRace,CA,District 34,0,0,Solid D
HouseRace,CA,District 35,0,0,Solid D
HouseRace,CA,District 36,0,0,Solid D
HouseRace,CA,District 37,0,0,Solid D
HouseRace,CA,District 38,0,0,Solid D
HouseRace,CA,District 39,0,0,Solid D
HouseRace,CA,District 4,0,0,Solid D
HouseRace,CA,District 40,0,0,Likely R
HouseRace,CA,District 41,3,1,Toss-Up
HouseRace,CA,District 42,0,0,Solid D
HouseRace,CA,District 43,0,0,Solid D
HouseRace,CA,District 44,0,0,Solid D
HouseRace,CA,District 45,6,5,Toss-Up
HouseRace,CA,District 46,0,0,Solid D
HouseRace,CA,District 47,3,2,Lean D
HouseRace,CA,District 48,1,0,Solid R
HouseRace,CA,District 49,3,1,Lean D
HouseRace,CA,District 5,0,0,Solid R
HouseRace,CA,District 50,1,0,Solid D
HouseRace,CA,District 51,1,0,Solid D
HouseRace,CA,District 52,1,0,Solid D
HouseRace,CA,District 6,0,0,Solid D
HouseRace,CA,District 7,0,0,Solid D
HouseRace,CA,District 8,0,0,Solid D
HouseRace,CA,District 9,0,0,Likely D
HouseRace,CO,District 1,0,0,Solid D
HouseRace,CO,District 2,0,0,Solid D
HouseRace,CO,District 3,0,0,Likely R
HouseRace,CO,District 4,1,1,Solid R
HouseRace,CO,District 5,0,0,Solid R
HouseRace,CO,District 6,0,0,Solid D
HouseRace,CO,District 7,0,0,Solid D
HouseRace,CO,District 8,2,0,Toss-Up
SenateRace,CT,Class I,1,0,Solid D
HouseRace,CT,District 1,0,0,Solid D
HouseRace,CT,District 2,0,0,Solid D
HouseRace,CT,District 3,0,0,Solid D
HouseRace,CT,District 4,0,0,Solid D
HouseRace,CT,District 5,1,0,Lean D
SenateRace,DE,Class I,1,0,Solid D
HouseRace,DE,District 1,1,0,Solid D
SenateRace,FL,Class I,32,4,Likely R
HouseRace,FL,District 1,0,0,Solid R
HouseRace,FL,District 10,0,0,Solid D
HouseRace,FL,District 11,0,0,Solid R
HouseRace,FL,District 12,0,0,Solid R
HouseRace,FL,District 13,5,3,Likely R
HouseRace,FL,District 14,0,0,Solid D
HouseRace,FL,District 15,1,1,Solid R
HouseRace,FL,District 16,0,0,Solid R
HouseRace,FL,District 17,0,0,Solid R
HouseRace,FL,District 18,0,0,Solid R
HouseRace,FL,District 19,0,0,Solid R
HouseRace,FL,District 2,0,0,Solid R
HouseRace,FL,District 20,0,0,Solid D
HouseRace,FL,District 21,0,0,Solid R
HouseRace,FL,District 22,0,0,Solid D
HouseRace,FL,District 23,0,0,Solid D
HouseRace,FL,District 24,0,0,Solid D
HouseRace,FL,District 25,0,0,Solid D
HouseRace,FL,District 26,0,0,Solid R
HouseRace,FL,District 27,1,1,Likely R
HouseRace,FL,District 28,0,0,Solid R
HouseRace,FL,District 3,0,0,Solid R
HouseRace,FL,District 4,1,0,Solid R
HouseRace,FL,District 5,0,0,Solid R
HouseRace,FL,District 6,0,0,Solid R
HouseRace,FL,District 7,0,0,Solid R
HouseRace,FL,District 8,0,0,Solid R
HouseRace,FL,District 9,0,0,Likely D
HouseRace,GA,District 1,0,0,Solid R
HouseRace,GA,District 10,0,0,Solid R
HouseRace,GA,District 11,0,0,Solid R
HouseRace,GA,District 12,0,0,Solid R
HouseRace,GA,District 13,0,0,Solid D
HouseRace,GA,District 14,0,0,Solid R
HouseRace,GA,District 2,2,2,Solid D
HouseRace,GA,District 3,0,0,Solid R
HouseRace,GA,District 4,0,0,Solid D
HouseRace,GA,District 5,0,0,Solid D
HouseRace,GA,District 6,0,0,Solid D
HouseRace,GA,District 7,0,0,Solid R
HouseRace,GA,District 8,0,0,Solid R
HouseRace,GA,District 9,0,0,Solid R
SenateRace,HI,Class I,0,0,Solid D
HouseRace,HI,District 1,0,0,Solid D
HouseRace,HI,District 2,0,0,Solid D
HouseRace,IA,District 1,2,2,Toss-Up
HouseRace,IA,District 2,0,0,Solid R
HouseRace,IA,District 3,3,2,Toss-Up
HouseRace,IA,District 4,0,0,Solid R
HouseRace,ID,District 1,0,0,Solid R
HouseRace,ID,District 2,0,0,Solid R
HouseRace,IL,District 1,0,0,Solid D
HouseRace,IL,District 10,0,0,Solid D
HouseRace,IL,District 11,1,1,Solid D
HouseRace,IL,District 12,0,0,Solid R
HouseRace,IL,District 13,0,0,Solid D
HouseRace,IL,District 14,0,0,Solid D
HouseRace,IL,District 15,0,0,Solid R
HouseRace,IL,District 16,0,0,Solid R
HouseRace,IL,District 17,0,0,Likely D
HouseRace,IL,District 2,0,0,Solid D
HouseRace,IL,District 3,0,0,Solid D
HouseRace,IL,District 4,0,0,Solid D
HouseRace,IL,District 5,0,0,Solid D
HouseRace,IL,District 6,0,0,Solid D
HouseRace,IL,District 7,0,0,Solid D
HouseRace,IL,District 8,0,0,Solid D
HouseRace,IL,District 9,0,0,Solid D
SenateRace,IN,Class I,3,0,Solid R
HouseRace,IN,District 1,0,0,Likely D
HouseRace,IN,District 2,0,0,Solid R
HouseRace,IN,District 3,0,0,Solid R
HouseRace,IN,District 4,0,0,Solid R
HouseRace,IN,District 5,0,0,Solid R
HouseRace,IN,District 6,0,0,Solid R
HouseRace,IN,District 7,0,0,Solid D
HouseRace,IN,District 8,0,0,Solid R
HouseRace,IN,District 9,0,0,Solid R
HouseRace,KS,District 1,0,0,Solid R
HouseRace,KS,District 2,0,0,Solid R
HouseRace,KS,District 3,0,0,Likely D
HouseRace,KS,District 4,0,0,Solid R
HouseRace,KY,District 1,0,0,Solid R
HouseRace,KY,District 2,0,0,Solid R
HouseRace,KY,District 3,0,0,Solid D
HouseRace,KY,District 4,0,0,Solid R
HouseRace,KY,District 5,0,0,Solid R
HouseRace,KY,District 6,0,0,Solid R
HouseRace,LA,District 1,0,0,Solid R
HouseRace,LA,District 2,0,0,Solid D
HouseRace,LA,District 3,0,0,Solid R
HouseRace,LA,District 4,0,0,Solid R
HouseRace,LA,District 5,1,0,Solid R
HouseRace,LA,District 6,0,0,Solid D
SenateRace,MA,Class I,6,1,Solid D
HouseRace,MA,District 1,0,0,Solid D
HouseRace,MA,District 2,0,0,Solid D
HouseRace,MA,District 3,0,0,Solid D
HouseRace,MA,District 4,0,0,Solid D
HouseRace,MA,District 5,0,0,Solid D
HouseRace,MA,District 6,0,0,Solid D
HouseRace,MA,District 7,0,0,Solid D
HouseRace,MA,District 8,0,0,Solid D
HouseRace,MA,District 9,0,0,Solid D
SenateRace,MD,Class I,10,0,Likely D
HouseRace,MD,District 1,0,0,Solid R
HouseRace,MD,District 2,0,0,Solid D
HouseRace,MD,District 3,0,0,Solid D
HouseRace,MD,District 4,0,0,Solid D
HouseRace,MD,District 5,0,0,Solid D
HouseRace,MD,District 6,2,1,Likely D
HouseRace,MD,District 7,0,0,Solid D
