pollster_name,pollster_rating_id,2012_pollster_rating,sponsor_names,sponsor_classifications,partisanship,internal,state,start_date,end_date,tracking,has_prez?,has_generic?,has_senate?,has_house?,media?,university?,media_or_university
Garin-Hart-Yang Research Group,113,0.73,"League of Conservation Voters, American Federation of State, County & Municipal Employees, House Majority PAC (hybrid PAC)","501(c)(4), union, hybrid PAC",DEM,,MI,9/18/12,9/20/12,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
ABC News/The Washington Post,3,2.9,,,,,US,8/22/12,8/25/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
ABC News/The Washington Post,3,2.9,,,,,US,7/5/12,7/8/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
ABC News/The Washington Post,3,2.9,,,,,US,10/18/12,10/21/12,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
ABC News/The Washington Post,3,2.9,,,,,US,9/26/12,9/29/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Public Policy Polling,263,1.69,"Daily Kos, SEIU","national media, union",DEM,,US,6/7/12,6/10/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
ABC News/The Washington Post,3,2.9,,,,,US,10/10/12,10/13/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
ABC News/The Washington Post,3,2.9,,,,,US,9/7/12,9/9/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
CVOTER,40,,United Press International,national media,,,US,9/30/12,10/7/12,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Mellman Group,205,0.69,Democratic Governors Association,party committee,DEM,TRUE,MT,9/23/12,9/26/12,FALSE,TRUE,FALSE,FALSE,TRUE,,,FALSE
ABC News/The Washington Post,3,2.9,,,,,US,5/17/12,5/20/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Global Strategy Group,118,1.06,DCCC,party committee,DEM,TRUE,MN,8/21/12,8/23/12,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
Grove Insight,129,,DCCC,party committee,DEM,TRUE,NY,8/26/12,8/28/12,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
Grove Insight,129,,DCCC,party committee,DEM,TRUE,FL,8/21/12,8/24/12,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
American Research Group,9,2.4,,,,,US,9/27/12,9/30/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,US,10/5/12,10/8/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,NH,6/21/12,6/24/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,US,9/17/12,9/20/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Beacon Research/Shaw & Company Research,103,,Fox News,national media,,,FL,10/17/12,10/18/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
American Research Group,9,2.4,,,,,NH,9/15/12,9/17/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Beacon Research/Shaw & Company Research,103,,Fox News,national media,,,OH,10/17/12,10/18/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
American Research Group,9,2.4,,,,,NH,10/9/12,10/11/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Muhlenberg College Institute of Public Opinion,219,2.82,The Morning Call,local media,,,PA,10/10/12,10/14/12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Muhlenberg College Institute of Public Opinion,219,2.82,The Morning Call,local media,,,PA,9/22/12,9/26/12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Muhlenberg College Institute of Public Opinion,219,2.82,The Morning Call,local media,,,PA,9/10/12,9/16/12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Beacon Research/Shaw & Company Research,103,,Fox News,national media,,,US,7/15/12,7/17/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Beacon Research/Shaw & Company Research,103,,Fox News,national media,,,US,8/19/12,8/21/12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Beacon Research/Shaw & Company Research,103,,Fox News,national media,,,FL,9/16/12,9/18/12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
American Research Group,9,2.4,,,,,CO,9/10/12,9/12/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,NV,9/20/12,9/23/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,VA,9/24/12,9/27/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Hendrix College,138,1.18,Talk Business & Politics,local media,,,AR,9/17/12,9/17/12,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Hart Research Associates/Public Opinion Strategies,221,2.36,"NBC News, The Wall Street Journal",national media,,,US,7/18/12,7/22/12,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
American Research Group,9,2.4,,,,,US,9/4/12,9/6/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,OH,9/10/12,9/12/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,US,10/11/12,10/14/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Capital Survey Research Center,44,,Alabama Education Association,501(c)(3),,,AL,8/13/12,8/16/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,FL,9/20/12,9/22/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
M4 Strategies,177,,"California Business Roundtable, Pepperdine University","501(c)(6), research institution",,,CA,10/7/12,10/10/12,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
American Research Group,9,2.4,,,,,FL,10/8/12,10/11/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,US,10/18/12,10/21/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
M4 Strategies,177,,"California Business Roundtable, Pepperdine University","501(c)(6), research institution",,,CA,9/23/12,9/26/12,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
M4 Strategies,177,,"California Business Roundtable, Pepperdine University","501(c)(6), research institution",,,CA,9/9/12,9/12/12,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
American Research Group,9,2.4,,,,,CO,10/5/12,10/8/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,IA,9/20/12,9/23/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
American Research Group,9,2.4,,,,,IA,10/11/12,10/14/12,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Public Policy Polling,263,1.69,VoteVets Action Fund,other political entity,DEM,,MT,10/8/12,10/10/12,FALSE,TRUE,FALSE,TRUE,TRUE,,,FALSE
