pollster_name,pollster_rating_id,2016_pollster_rating,sponsor_names,sponsor_classifications,partisanship,internal,state,start_date,end_date,tracking,has_prez?,has_generic?,has_senate?,has_house?,media?,university?,media_or_university
Google Consumer Surveys,122,,,,,,DC,8/31/16,9/6/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
SurveyMonkey,324,,"Los Angeles Times, USC Dornsife/LA Times","local media, national media",,,CA,9/1/16,9/8/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Magellan Strategies,179,1.18,,,,,CO,8/29/16,8/31/16,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
GBAO,109,0.99,End Citizens United (PAC),PAC,DEM,,PA,8/21/16,8/28/16,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
Princeton Survey Research Associates International,258,,University of Mary Washington Center for Leadership & Media Studies,research institution,,,VA,9/6/16,9/12/16,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE
EPIC-MRA,84,1.84,"Detroit Free Press, WXYZ-TV (Michigan), WLNS-TV (Lansing, Mich.), WOOD-TV (Grand Rapids, Mich.), WJRT-TV (Flint, Mich.)",local media,,,MI,9/10/16,9/13/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Marist College,183,2.95,McClatchy Newspapers,media company,,,US,8/1/16,8/3/16,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Ipsos,154,2.37,,,,,IN,9/2/16,9/15/16,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,9/13/16,9/17/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Emerson College,88,1.86,,,,,IL,9/19/16,9/21/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Beacon Research/Shaw & Company Research,103,2.61,Fox News,national media,,,CO,7/9/16,7/12/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Google Consumer Surveys,122,,,,,,AK,9/14/16,9/20/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Lighthouse Research,483,,,,,,UT,8/2/16,9/3/16,FALSE,FALSE,FALSE,TRUE,TRUE,,,FALSE
Tulchin Research/Moore Information Group,813,,,,,,CA,8/23/16,8/30/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,9/18/16,9/22/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,9/16/16,9/20/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Beacon Research/Shaw & Company Research,103,2.61,Fox News,national media,,,OH,9/18/16,9/20/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Greenberg Quinlan Rosner,126,1.6,"Democracy Corps, Women's Voices Women Vote Action Fund","501(c)(4), other political entity",DEM,,NV,9/10/16,9/19/16,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,6/9/16,6/13/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,6/16/16,6/20/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,6/15/16,6/19/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Leland Beatty,421,,,,,,TX,6/13/16,6/14/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Hart Research Associates/Public Opinion Strategies,221,2.4,"NBC News, The Wall Street Journal",national media,,,US,6/19/16,6/23/16,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
SurveyUSA,325,2.71,"Bay News 9 (Spectrum News affiliate, Tampa, Fla.), News 13 (Spectrum News affiliate, Orlando, Fla.)",local media,,,FL,6/25/16,6/27/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Greenberg Quinlan Rosner,126,1.6,"Democracy Corps, Women's Voices Women Vote Action Fund","501(c)(4), other political entity",DEM,,NC,6/11/16,6/20/16,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,6/12/16,6/16/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,6/22/16,6/26/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,6/21/16,6/25/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
YouGov,391,2.25,The Economist,national media,,,US,7/2/16,7/4/16,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Morning Consult,218,,,,,,US,7/8/16,7/10/16,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,7/5/16,7/9/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Suffolk University,323,2.61,,,,,OH,7/18/16,7/20/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,7/14/16,7/18/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Echelon Insights,407,,,,,,US,7/21/16,7/22/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Mason-Dixon Polling & Strategy,197,2.57,St Louis Post-Dispatch,local media,,,MO,7/23/16,7/24/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Morning Consult,218,,,,,,US,7/22/16,7/24/16,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,7/21/16,7/25/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,7/20/16,7/24/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Public Policy Polling,263,1.67,,,,,US,7/29/16,7/30/16,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE
Abt SRBI,7,2.61,The Atlanta Journal-Constitution,local media,,,GA,8/1/16,8/4/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Marquette University Law School,195,2.87,,,,,WI,8/4/16,8/7/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,7/31/16,8/4/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Beacon Research/Shaw & Company Research,103,2.61,Fox News,national media,,,US,7/31/16,8/2/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyUSA,325,2.71,KSN-TV Wichita,local media,,,KS,8/3/16,8/7/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Marist College,183,2.95,"NBC News, The Wall Street Journal",national media,,,PA,8/3/16,8/7/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,8/2/16,8/6/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
The Washington Post,3,2.92,,,,,VA,8/11/16,8/14/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Elway Research,87,1.99,,,,,WA,8/9/16,8/13/16,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE
Siena College,305,2.49,,,,,NY,8/7/16,8/10/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Suffolk University,323,2.61,KTNV-TV 13,local media,,,NV,8/15/16,8/17/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,8/17/16,8/21/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Cherry Communications,49,0.75,Florida Chamber of Commerce,501(c)(6),REP,,FL,8/17/16,8/22/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,UT,7/29/16,8/18/16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Franklin & Marshall College Center for Opinion Research,106,2.8,,,,,PA,8/25/16,8/29/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,6/17/16,6/21/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,,The Washington Post,national media,,,CA,8/9/16,9/1/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,,The Washington Post,national media,,,IA,8/9/16,9/1/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Morning Consult,218,,,,,,US,9/1/16,9/2/16,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,CO,8/26/16,9/8/16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
SurveyMonkey,324,,The Washington Post,national media,,,PA,8/9/16,9/1/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Google Consumer Surveys,122,,,,,,WV,8/31/16,9/6/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Rutgers University Eagleton Center for Public Interest Polling,295,2.31,,,,,NJ,9/6/16,9/10/16,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE
Target Insyght,330,,"Governmental Consultant Services, Michigan Information & Research Service","lobbying group, local media",,,MI,9/18/16,9/24/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Selzer & Co.,304,2.72,Bloomberg,national media,,,NC,9/29/16,10/2/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Dan Jones & Associates,70,2.24,Utah Policy,local media,,,UT,9/1/16,9/9/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
The Washington Post/University of Maryland Center for Democracy and Civic Engagement,755,2.26,,,,,MD,9/27/16,9/30/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,9/28/16,10/2/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,10/4/16,10/8/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
High Point University Survey Research Center,139,2.5,,,,,NC,10/1/16,10/6/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Google Consumer Surveys,122,,,,,,UT,10/4/16,10/9/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,9/27/16,10/1/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Public Religion Research Institute,428,,The Atlantic,national media,,,US,10/5/16,10/9/16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Pew Research Center,253,2.57,,,,,US,9/27/16,10/10/16,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,10/10/16,10/14/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Google Consumer Surveys,122,,,,,,CT,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,NH,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,NJ,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,OH,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,NV,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,NY,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,OK,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,PA,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,SC,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,RI,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,VT,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,UT,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,VA,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Google Consumer Surveys,122,,,,,,TX,10/15/16,10/19/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,US,10/14/16,10/18/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Morning Consult,218,,Politico,national media,,,US,10/19/16,10/20/16,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Monmouth University Polling Institute,215,3,,,,,NC,10/20/16,10/23/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
Bendixen & Amandi International,29,,Las Vegas Review-Journal,local media,,,NV,10/20/16,10/23/16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE
Ipsos,154,2.37,Reuters,national media,,,US,10/19/16,10/23/16,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE
Remington Research Group,279,1.74,Axiom Strategies,consulting company,,,VA,10/20/16,10/22/16,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE
Ipsos,154,2.37,Reuters,national media,,,SD,9/30/16,10/20/16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
"California State University, Sacramento",807,,,,,,CA,10/7/16,10/13/16,FALSE,TRUE,FALSE,TRUE,FALSE,,TRUE,TRUE
