state,2018
Alabama,R+27
Alaska,R+15
Arizona,R+9
Arkansas,R+24
California,D+24
Colorado,D+1
Connecticut,D+11
Delaware,D+14
Florida,R+5
Georgia,R+12
Hawaii,D+36
Idaho,R+35
Illinois,D+13
Indiana,R+18
Iowa,R+6
Kansas,R+23
Kentucky,R+23
Louisiana,R+17
Maine,D+5
Maryland,D+23
Massachusetts,D+29
Michigan,D+1
Minnesota,D+2
Mississippi,R+15
Missouri,R+19
Montana,R+18
Nebraska,R+24
Nevada,R+1
New Hampshire,R+2
New Jersey,D+13
New Mexico,D+7
New York,D+22
North Carolina,R+5
North Dakota,R+33
Ohio,R+7
Oklahoma,R+34
Oregon,D+9
Pennsylvania,R+1
Rhode Island,D+26
South Carolina,R+17
South Dakota,R+31
Tennessee,R+28
Texas,R+17
Utah,R+31
Vermont,D+24
Virginia,D+0
Washington,D+12
West Virginia,R+30
Wisconsin,R+1
Wyoming,R+47
