district,2021
AK-1,-14.62028
AL-1,-31.93851
AL-2,-33.01281
AL-3,-35.23648
AL-4,-66.45895
AL-5,-32.37688
AL-6,-41.60968
AL-7,38.71875
AR-1,-43.29444
AR-2,-13.74737
AR-3,-32.54647
AR-4,-40.58274
AZ-1,-5.63324
AZ-2,2.282094
AZ-3,21.57156
AZ-4,-44.76074
AZ-5,-23.14967
AZ-6,-12.50877
AZ-7,42.55263
AZ-8,-24.07534
AZ-9,14.60426
CA-1,-20.57485
CA-10,-0.9217147
CA-11,46.24732
CA-12,71.45914
CA-13,76.29875
CA-14,53.83249
CA-15,41.45082
CA-16,16.62029
CA-17,45.25702
CA-18,50.58445
CA-19,41.34695
CA-2,44.53015
CA-20,43.65272
CA-21,8.58812
CA-22,-10.61698
CA-23,-22.28618
CA-24,18.76755
CA-25,5.106485
CA-26,20.02192
CA-27,32.91468
CA-28,41.84745
CA-29,50.07952
CA-3,8.504353
CA-30,36.79708
CA-31,16.44822
CA-32,30.66952
CA-33,36.58085
CA-34,63.03182
CA-35,31.41368
CA-36,8.144352
CA-37,68.49752
CA-38,31.53905
CA-39,5.783819
CA-4,-15.26335
CA-40,56.95702
CA-41,22.46642
CA-42,-12.76005
CA-43,54.04508
CA-44,59.23159
CA-45,5.500552
CA-46,29.48002
CA-47,24.76572
CA-48,-2.289448
CA-49,7.128985
CA-5,42.56279
CA-50,-13.99288
CA-51,36.48505
CA-52,23.12505
CA-53,31.84159
CA-6,39.74998
CA-7,9.164751
CA-8,-15.87051
CA-9,14.34562
CO-1,46.83479
CO-2,23.04442
CO-3,-11.74848
CO-4,-22.38275
CO-5,-20.69528
CO-6,11.52472
CO-7,15.13566
CT-1,20.72887
CT-2,2.627266
CT-3,13.59913
CT-4,21.81877
CT-5,2.837433
DE-1,13.7246
FL-1,-40.22806
FL-10,20.84093
FL-11,-36.6558
FL-12,-22.25183
FL-13,-0.9963656
FL-14,11.6587
FL-15,-13.8029
FL-16,-13.753
FL-17,-32.1039
