MMSA,total_percent_at_risk,high_risk_per_ICU_bed,high_risk_per_hospital,icu_beds,hospitals,total_at_risk
"San Juan-Carolina-Caguas, PR",52.88%,NA,NA,NA,NA,923725.203
"Manhattan, KS",47.29%,4489.84875,8979.6975,8,4,35918.79
"Hilton Head Island-Bluffton-Beaufort, SC",62.72%,3904.163571,36438.86,28,3,109316.58
"Kahului-Wailuku-Lahaina, HI",59.13%,3860.557,19302.785,20,4,77211.14
"Spartanburg, SC",66.12%,3786.115556,85187.6,45,2,170375.2
"Baton Rouge, LA",66.60%,3459.7325,39000.62091,124,11,429006.83
"Rockingham County-Strafford County, NH, Metropolitan Division",57.72%,3365.052,40380.624,60,5,201903.12
"Salisbury, MD-DE",68.32%,3292.271176,37312.40667,68,6,223874.44
"Wichita Falls, TX",67.11%,3279.425,19676.55,24,4,78706.2
"Colorado Springs, CO",55.96%,3251.603053,77225.5725,95,4,308902.29
"Cambridge-Newton-Framingham, MA, Metropolitan Division",52.17%,3161.025223,62035.12,314,16,992561.92
"Albuquerque, NM",60.33%,3091.331014,71100.61333,138,6,426603.68
"Portland-South Portland, ME",60.60%,3051.228953,43734.28167,86,6,262405.69
"Silver Spring-Frederick-Rockville, MD, Metropolitan Division",48.90%,2929.015833,70296.38,168,7,492074.66
"Charlotte-Concord-Gastonia, NC-SC",60.63%,2919.072935,65192.62889,402,18,1173467.32
"Ogden-Clearfield, UT",53.80%,2906.274767,35705.66143,86,7,249939.63
"Cedar Rapids, IA",57.99%,2739.539318,30134.9325,44,4,120539.73
"Tallahassee, FL",52.69%,2737.105667,54742.11333,60,3,164226.34
"Portland-Vancouver-Hillsboro, OR-WA",55.37%,2648.925704,63106.75941,405,17,1072814.91
"Grand Rapids-Wyoming, MI",58.12%,2538.918207,42469.17727,184,11,467160.95
"Riverside-San Bernardino-Ontario, CA",56.62%,2530.862418,56646.65588,761,34,1925986.3
"Des Moines-West Des Moines, IA",57.99%,2518.830893,40301.29429,112,7,282109.06
"Fayetteville-Springdale-Rogers, AR-MO",56.85%,2517.092088,38175.89667,91,6,229055.38
"Minneapolis-St. Paul-Bloomington, MN-WI",50.99%,2474.26659,43763.59031,566,32,1400434.89
"Worcester, MA-CT",58.26%,2472.280229,43264.904,175,10,432649.04
"Wilmington, DE-MD-NJ, Metropolitan Division",61.40%,2441.704685,69832.754,143,5,349163.77
"Houston-The Woodlands-Sugar Land, TX",55.82%,2421.507063,52172.47036,1185,55,2869485.87
"Spokane-Spokane Valley, WA",61.67%,2413.394779,38959.08714,113,7,272713.61
"Grand Island, NE",60.48%,2402.975,9611.9,16,4,38447.6
"Oakland-Hayward-Berkeley, CA, Metropolitan Division",48.01%,2385.409101,55868.79211,445,19,1061507.05
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",73.79%,2385.046891,47303.43,119,6,283820.58
"Washington-Arlington-Alexandria, DC-VA-MD-WV, Metropolitan Division",50.03%,2356.378968,59204.02156,804,32,1894528.69
"Seattle-Bellevue-Everett, WA, Metropolitan Division",51.35%,2329.607529,57907.38714,522,21,1216055.13
"Montgomery County-Bucks County-Chester County, PA, Metropolitan Division",59.69%,2328.824246,40298.78478,398,23,926872.05
"Topeka, KS",68.10%,2322.307885,30190.0025,52,4,120760.01
"Sioux City, IA-NE-SD",60.83%,2319.862121,19138.8625,33,4,76555.45
"Springfield, MA",59.45%,2307.629846,49998.64667,130,6,299991.88
"Deltona-Daytona Beach-Ormond Beach, FL",71.11%,2304.373554,63754.335,166,6,382526.01
"New York-Jersey City-White Plains, NY-NJ, Metropolitan Division",54.38%,2302.129085,75184.16695,2678,82,6165101.69
"Rochester, NY",59.63%,2254.532389,42460.36,226,12,509524.32
"Newark, NJ-PA, Metropolitan Division",55.88%,2237.802582,68252.97875,488,16,1092047.66
"College Station-Bryan, TX",51.71%,2230.095,21408.912,48,5,107044.56
"Virginia Beach-Norfolk-Newport News, VA-NC",60.85%,2228.447378,58894.68071,370,14,824525.53
"Albany-Schenectady-Troy, NY",58.67%,2225.128717,41609.907,187,10,416099.07
"Greenville-Anderson-Mauldin, SC",62.84%,2198.10445,43962.089,200,10,439620.89
"North Port-Sarasota-Bradenton, FL",67.32%,2183.080962,64868.69143,208,7,454080.84
