question_id,poll_id,state,politician_id,politician,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,subpopulation,methodology,start_date,end_date,sponsor_candidate,tracking,created_at,notes,url,source,yes,no,strongly_approve,somewhat_approve,somewhat_disapprove,strongly_disapprove
141940,74774,,42,Joseph R. Biden Jr.,399,Rasmussen Reports/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,lv,,IVR/Online,5/4/21,5/6/21,"",TRUE,5/7/21 10:26,,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,538,51.0,47.0,35.0,16.0,8.0,39.0
141932,74766,,42,Joseph R. Biden Jr.,399,Rasmussen Reports/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,lv,,IVR/Online,5/3/21,5/5/21,"",TRUE,5/6/21 09:38,,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,538,51.0,47.0,35.0,16.0,8.0,39.0
141684,74758,,42,Joseph R. Biden Jr.,399,Rasmussen Reports/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,lv,,IVR/Online,5/2/21,5/4/21,"",TRUE,5/5/21 09:55,,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,538,50.0,47.0,35.0,15.0,8.0,39.0
141730,74759,,42,Joseph R. Biden Jr.,568,YouGov,352,Economist,YouGov,391,YouGov,B+,1500,a,a,,Online,5/1/21,5/4/21,"",,5/5/21 10:27,,https://docs.cdn.yougov.com/lftymxzxfl/econTabReport.pdf,538,48.0,42.0,27.0,21.0,11.0,31.0
141731,74759,,42,Joseph R. Biden Jr.,568,YouGov,352,Economist,YouGov,391,YouGov,B+,1187,rv,rv,,Online,5/1/21,5/4/21,"",,5/5/21 10:27,,https://docs.cdn.yougov.com/lftymxzxfl/econTabReport.pdf,538,49.0,46.0,30.0,19.0,11.0,35.0
141732,74759,,42,Joseph R. Biden Jr.,568,YouGov,352,Economist,YouGov,391,YouGov,B+,573,a,a-d,d,Online,5/1/21,5/4/21,"",,5/5/21 10:27,,https://docs.cdn.yougov.com/lftymxzxfl/econTabReport.pdf,538,81.0,13.0,54.0,27.0,7.0,6.0
141733,74759,,42,Joseph R. Biden Jr.,568,YouGov,352,Economist,YouGov,391,YouGov,B+,384,a,a-r,r,Online,5/1/21,5/4/21,"",,5/5/21 10:27,,https://docs.cdn.yougov.com/lftymxzxfl/econTabReport.pdf,538,16.0,80.0,5.0,11.0,15.0,65.0
141734,74759,,42,Joseph R. Biden Jr.,568,YouGov,352,Economist,YouGov,391,YouGov,B+,388,a,a-i,i,Online,5/1/21,5/4/21,"",,5/5/21 10:27,,https://docs.cdn.yougov.com/lftymxzxfl/econTabReport.pdf,538,41.0,52.0,17.0,24.0,14.0,38.0
140901,74753,,42,Joseph R. Biden Jr.,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,1991,rv,rv,,Online,4/30/21,5/3/21,"",,5/3/21 20:58,,https://assets.morningconsult.com/wp-uploads/2021/05/05062006/2104156_crosstabs_POLITICO_RVs_v1_SH.pdf,538,57.0,38.0,32.0,25.0,10.0,28.0
141570,74753,,42,Joseph R. Biden Jr.,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,801,rv,rv-d,d,Online,4/30/21,5/3/21,"",,5/5/21 09:20,,https://assets.morningconsult.com/wp-uploads/2021/05/05062006/2104156_crosstabs_POLITICO_RVs_v1_SH.pdf,538,91.0,6.0,62.0,29.0,3.0,4.0
141571,74753,,42,Joseph R. Biden Jr.,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,570,rv,rv-i,i,Online,4/30/21,5/3/21,"",,5/5/21 09:20,,https://assets.morningconsult.com/wp-uploads/2021/05/05062006/2104156_crosstabs_POLITICO_RVs_v1_SH.pdf,538,51.0,39.0,19.0,33.0,15.0,25.0
141572,74753,,42,Joseph R. Biden Jr.,1189,Morning Consult,538,Politico,Morning Consult,218,Morning Consult,B,620,rv,rv-r,r,Online,4/30/21,5/3/21,"",,5/5/21 09:20,,https://assets.morningconsult.com/wp-uploads/2021/05/05062006/2104156_crosstabs_POLITICO_RVs_v1_SH.pdf,538,18.0,78.0,6.0,13.0,17.0,61.0
140906,74755,,42,Joseph R. Biden Jr.,399,Rasmussen Reports/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,lv,,IVR/Online,4/29/21,5/3/21,"",TRUE,5/4/21 09:37,,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,538,49.0,49.0,33.0,16.0,9.0,40.0
140904,74754,,42,Joseph R. Biden Jr.,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,2200,a,a,,Online,4/30/21,5/2/21,"",,5/4/21 08:59,,https://morningconsult.com/2021/05/04/motorsports-fan-poll-electric-vehicles/,538,57.0,36.0,31.0,26.0,8.0,28.0
141941,74775,,42,Joseph R. Biden Jr.,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B,2200,a,a,,Online,4/29/21,5/2/21,"",,5/7/21 11:15,,https://assets.morningconsult.com/wp-uploads/2021/05/06114602/2104152_crosstabs_MC_HEALTH_Adults_v1_NP.pdf,538,55.0,38.0,30.0,25.0,11.0,26.0
140898,74750,,42,Joseph R. Biden Jr.,399,Rasmussen Reports/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,lv,,IVR/Online,4/28/21,5/2/21,"",TRUE,5/3/21 09:53,,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,538,48.0,49.0,31.0,17.0,8.0,41.0
