"","year","date","all_3544","HS_3544","SC_3544","BAp_3544","BAo_3544","GD_3544","poor_3544","mid_3544","rich_3544","all_4554","HS_4554","SC_4554","BAp_4554","BAo_4554","GD_4554","poor_4554","mid_4554","rich_4554"
"1",1960,1960-01-01,0.034444543589466,0.0348888663159724,0.0336693781883359,0.027512772738678,0.027512772738678,NA,0.0719513582147615,0.0212253002390423,0.022562334327183,0.039650564605368,0.0400714231890458,0.0387033149956986,0.0318856814486945,0.0318856814486945,NA,0.0753725242702869,0.0293365704682872,0.023504887111216
"2",1970,1970-01-01,0.0492560035358248,0.0499998424010515,0.0487054867093564,0.0412594544063908,0.0412594544063908,NA,0.113735815471334,0.0303010385171553,0.021927072112998,0.0506256192824389,0.0505657626130067,0.0514726986947311,0.0483105277855348,0.0483105277855348,NA,0.112496243750968,0.0338694689344941,0.0212328005043949
"3",1980,1980-01-01,0.106005034522198,0.104151278087304,0.112699470963608,0.0977720774973882,0.0977720774973882,NA,0.241647046196983,0.0736715360660329,0.0350152130668,0.0881851095432603,0.0856635078947194,0.0950094685065712,0.0910348788638262,0.0910348788638262,NA,0.19867321156265,0.0630086622287831,0.0279156696342315
"4",1990,1990-01-01,0.150804953596595,0.159380946957268,0.169670046803153,0.114955328208071,0.118534321492872,0.109145367174924,0.32694838887586,0.111909686072592,0.0497252733734265,0.145725716263991,0.140779141034781,0.166331031861701,0.13436974045011,0.135660925921833,0.132741303174308,0.306613777991706,0.114980637826502,0.0457750142100566
"5",2000,2000-01-01,0.15684098529054,0.175446156982954,0.173803243557511,0.10561771655104,0.110539691448389,0.095903467153663,0.343088593206452,0.116583707085732,0.0493949670298705,0.179580604951636,0.184776759155739,0.201103501049905,0.149041609659097,0.153693129328485,0.142549803426021,0.382135423921742,0.142242086503918,0.0515251018500325
"6",2001,2001-01-01,0.15730639382937,0.174116037641218,0.178169064539992,0.107038860737608,0.111860641782045,0.0971969197158638,0.34283554237106,0.122780629168572,0.0405743132014189,0.182651296039373,0.190236575817992,0.205737068607446,0.148631625047811,0.153269214100065,0.141745344976715,0.390038502960345,0.146513471641865,0.0452223555642665
"7",2002,2002-01-01,0.156508246458199,0.174769314328559,0.179294187163752,0.103442190655695,0.109689561340355,0.0907625545403924,0.341088263713535,0.119926419680215,0.0387962061798601,0.180650433586709,0.192090403125392,0.19804839970216,0.146438624077204,0.152887973123214,0.136777139655146,0.383795081118693,0.146242309063045,0.0460888089549311
"8",2003,2003-01-01,0.1538435136615,0.172544834700036,0.176975360253417,0.102549903857769,0.11068292244583,0.0863848592930253,0.333104884196253,0.121047473816484,0.0392621513859105,0.184697549535943,0.19489112531849,0.206791893173122,0.147349549764398,0.151223164447169,0.1414392966309,0.391315123443619,0.151240034886582,0.0426942437260544
"9",2004,2004-01-01,0.154840964899372,0.177564545613702,0.177079546954962,0.100336652484701,0.105989518515739,0.0891138784433462,0.334327693500092,0.121930135877747,0.0367959201226659,0.184111220249045,0.193739411583143,0.208311706726385,0.145630412390975,0.151840989811036,0.135796312958798,0.391198994573516,0.150755077106906,0.0410604798360958
"10",2005,2005-01-01,0.15291993774865,0.17516352826892,0.176742649953406,0.0994806594731031,0.107114958833396,0.0849920486751903,0.329073677089017,0.12240404139335,0.0370705176365396,0.184324607415103,0.19721310428062,0.205276153328056,0.143482252167668,0.147394622212033,0.137304925578044,0.389394323073493,0.150802018875099,0.0427730040863313
