country,net_approval,Approve,Disapprove,DK/Refused
Canada,-63,15,78,7
France,-68,15,83,2
Germany,-68,13,81,5
Greece,-54,17,71,13
Hungary,-45,18,63,19
Italy,-48,18,66,17
Netherlands,-78,10,88,3
Poland,-45,14,59,27
Spain,-75,10,85,5
Sweden,-85,5,90,5
United Kingdom,-55,17,72,11
Russia,-21,28,49,23
Australia,-54,19,73,7
India,-4,24,28,48
Indonesia,-11,34,45,21
Japan,-50,16,66,18
Philippines,-50,22,72,7
South Korea,-68,12,80,8
Vietnam,-35,26,61,13
Israel,-34,24,58,18
Jordan,-71,12,83,5
Lebanon,-58,16,74,10
Tunisia,-40,20,60,20
Turkey,-30,20,50,30
Ghana,-52,20,72,8
Kenya,-33,32,65,3
Nigeria,-32,32,64,4
Senegal,-64,14,78,8
South Africa,-15,35,50,15
Tanzania,-33,30,63,7
Argentina,-51,18,69,14
Brazil,-54,17,71,12
Chile,-70,11,81,7
Colombia,-55,19,74,7
Mexico,-66,14,80,6
Peru,-51,21,72,7
Venezuela,-54,19,73,8
