country,net_approval,Approve,Disapprove,DK/Refused
Canada,-64,15,79,5
France,-81,9,90,1
Germany,-88,5,93,2
Greece,-71,11,82,7
Hungary,-62,13,75,12
Italy,-49,18,67,15
Netherlands,-83,8,91,2
Poland,-35,17,52,31
Spain,-83,8,91,1
Sweden,-87,6,93,1
United Kingdom,-66,14,80,6
Russia,-22,27,49,24
Australia,-58,19,77,4
India,7,32,25,43
Indonesia,-16,31,47,22
Japan,-59,13,72,15
Philippines,-43,25,68,7
South Korea,-65,13,78,9
Vietnam,-36,26,62,11
Israel,-50,19,69,11
Jordan,-53,19,72,9
Lebanon,-60,14,74,12
Tunisia,-37,21,58,22
Turkey,-42,15,57,27
Ghana,-47,23,70,7
Kenya,-35,30,65,5
Nigeria,-29,32,61,7
Senegal,-71,10,81,8
South Africa,-14,36,50,14
Tanzania,-36,29,65,6
Argentina,-52,18,70,12
Brazil,-50,19,69,13
Chile,-65,14,79,7
Colombia,-49,22,71,7
Mexico,-58,19,77,4
Peru,-36,29,65,6
Venezuela,-52,21,73,7
