Please enter your information and your polling organization's information. We won't publish your pollster ID, phone number and email address.		"Since <a href=""http://fivethirtyeight.com/tag/poll-of-pollsters/"" target=""_blank"">we last did</a> a poll of pollsters -- after <a href=""http://fivethirtyeight.com/features/the-polls-were-skewed-toward-democrats/"" target=""_blank"">many polls missed</a> last November’s Republican wave -- we’ve had a number of polling misses, mostly outside the U.S.: <a href=""http://fivethirtyeight.com/features/how-israels-exit-pollsters-missed-right-wing-rally-for-netanyahu/"" target=""_blank"">Israel</a>, the <a href=""http://fivethirtyeight.com/datalab/what-we-got-wrong-in-our-2015-uk-general-election-model/"" target=""_blank"">U.K.</a>, <a href=""http://fivethirtyeight.com/datalab/the-polls-were-bad-in-greece-the-conventional-wisdom-was-worse/"" target=""_blank"">Greece</a> and <a href=""http://fivethirtyeight.com/features/what-to-make-of-kentuckys-polling-failure/"" target=""_blank"">Kentucky</a>. Is the U.S. polling industry in better or worse shape than a year ago?"		Given the decline in response rates to telephone polls, are you surprised that telephone polls haven’t missed election results by even more than they have?		Has it gotten easier or harder to get responses from voters since your polling of the 2014 election?		What is your average response rate in polling for the 2016 election, in percentage points? (Please enter a number between 0 and 100; decimals are OK.)	What was your average response rate in polling for the 2014 election, in percentage points? (Please enter a number between 0 and 100; decimals are OK.)	How are you defining response rate?	Do you think pollsters’ public image has improved or declined since the 2012 election?		"In <a href=""http://www.newyorker.com/magazine/2015/11/16/politics-and-the-new-machine"" target=""_blank"">her recent New Yorker feature on polling</a>, Jill Lepore wrote sympathetically about Lindsay Rogers’s contention that polls “are a majoritarian monstrosity.” What is your response to that?"	What are the toughest states to poll during primaries? (Enter up to five states)					Why?	Has polling during the primaries, and coverage of it, helped or hurt the industry’s reputation?		"<a href=""http://www.politico.com/story/2015/12/jeb-bush-donors-polls-216436"" target=""_blank"">Jeb Bush</a> and <a href=""http://fivethirtyeight.com/features/dear-media-stop-freaking-out-about-donald-trumps-polls/"" target=""_blank"">Nate Silver</a> are saying to ignore national primary polls before the election has started. Do you agree?"		"Is it fair to use national primary polls in <a href=""http://fivethirtyeight.com/features/theres-no-perfect-way-to-sort-the-candidates-for-a-primary-debate/"" target=""_blank"">determining</a> who gets to appear in the main televised debates and the undercards?"		"Should voters and the media be paying any attention to <a href=""http://fivethirtyeight.com/features/a-year-out-ignore-general-election-polls/"" target=""_blank"">general election polls</a> conducted the year before the election?"		If not, is there any value in conducting general-election polls now?		"Live-interviewer polls <a href=""http://www.huffingtonpost.com/entry/republicans-donald-trump-support_55fc060de4b00310edf699a9"" target=""_blank"">consistently have found lower support</a> for Donald Trump than interactive voice response (IVR) and online polls. Which set of polls do you think is closer to correct?"		"Does the future of polling <a href=""http://fivethirtyeight.com/features/the-future-of-polling-may-depend-on-donald-trumps-fate/"" target=""_blank"">depend on Donald Trump’s fate</a>?"		"Do you think placing <a href=""http://www.usnews.com/opinion/blogs/lara-brown/2015/12/04/the-cnn-poll-with-trump-at-36-percent-has-a-serious-flaw"" target=""_blank"">questions about immigration</a> in a survey questionnaire before candidate-preference questions can bias respondents toward Donald Trump?"		"Do you think Donald Trump's <a href=""http://www.nytimes.com/2015/08/02/us/politics/republican-debate-donald-trump.html"" target=""_blank"">boast about not having a pollster</a> helps or hurts him with voters overall?"		"Polls this year of Muslim sentiment in <a href=""http://bridge.georgetown.edu/new-poll-on-american-muslims-is-grounded-in-bias-riddled-with-flaws/"" target=""_blank"">the U.S.</a> and <a href=""http://www.theguardian.com/media/2015/nov/23/sun-poll-respondents-found-using-list-of-muslim-surnames"" target=""_blank"">the U.K.</a> have been criticized for being deeply flawed in ways that could have biased the results. Do you have any plans to poll American Muslims?"		"How meaningful are general religion categories like ""Catholic"" given how much opinions and habits can vary within those categories?"	"Is <a href=""http://www.politico.com/story/2015/10/gallup-poll-2016-pollsters-214493"" target=""_blank"">Gallup’s exit from horse-race polling</a> good or bad for the polling industry?"		"Many stories about Gallup’s exit, including <a href=""http://fivethirtyeight.com/datalab/gallup-gave-up-heres-why-that-sucks/"" target=""_blank"">ours</a>, said the company’s name is “synonymous” with polling. Is there a new brand name in the industry that should be equated with polling?"		"The Los Angeles Times <a href=""http://www.latimes.com/politics/la-na-why-an-online-poll-html-20151108-htmlstory.html"" target=""_blank"">is partnering with SurveyMonkey</a>. Do you think SurveyMonkey’s polling methods are good enough for a prominent media partner to use?"		Do prediction markets provide a more accurate picture of who are the leading contenders for the presidential nomination at this stage of the race than polls do?		How well are polling aggregator websites filtering out polls from bad polling organizations?		Are there polling firms whose polls you've seen included by polling aggregators that you think shouldn't be?		Who do you expect will be the Democratic nominee for president in the 2016 election?		Who do you expect will be the Republican nominee for president in the 2016 election?		How many seats do you expect Republicans will hold in the Senate in 2017 -- after the 2016 election? (They currently hold 54.)	How many seats do you expect Republicans will control in the House in 2017 -- after the 2016 election? (They currently hold 246.)	What question or questions would you want us to ask your fellow pollsters in future rounds of this poll?
Respondent Name	Polling Organization	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer:	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Please explain your answer:	Open-Ended Response	State 1	State 2	State 3	State 4	State 5	Open-Ended Response	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer. And if you’d rather polls not be used in this way, what alternative method would you suggest?	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer. And if you answered yes, how would you poll American Muslims in a way that would provide fair, representative results?	Open-Ended Response	Response	Please explain your answer:	Response	If you answered yes, which brand name should it be?	Response	Please explain your answer:	Response	Please explain your answer:	Response	Please explain your answer:	Response	If you answered yes, please name them here:	Response	Other (please specify)	Response	Other (please specify)	Open-Ended Response	Open-Ended Response	Open-Ended Response
John Anzalone	Anzalone Liszt Grove Research																																																										
Micheline Blum	Blum & Weprin Associates	Better	 Better for those who use the best methodology. Sometimes, we adjust for the last election -- but it's the wrong election. In 2012, some were looking at 2010 instead of 2008, and in 2014 many adjusted for their 2012 Republican bias. We underestimate the enormous difference in the electorate in presidential and non-presidential years. I am hoping we have learned from 2012 and 2014 and will do better in 2016.	Yes	It used to surprise me, but after a steady decline and and the many polls and studies showing that it was still possible to be on target, I am gratified that probability sampling of land and cell, careful household selection, the judicious use of likely voter screens, and the use of well trained live interviewers has limited the effect of low response.						Declined	Because most people don't know the differences in methodology, good and bad polls are lumped together.	Polls are a reflection of the views of the populace -- majority and minority. They are of enormous value and a public service to everyone. The reporting of polls and the response to the polls may occasionally overemphasize the views of the majority, but that does not diminish the value of the polls themselves.	New Hampshire					Independent voters can vote in either primary. 	Helped	It has helped boost interest in the election.	No	They are not helpful for predictions, but they tell us something about the mood of the country.	Yes	Otherwise 2 states determine whom we all get to hear.	No		Yes	To define the issues.	Live-interviewer polls	"My leaning is toward live-interviewer polls, but we don't know yet. I am guessing that there may be some ""convergence"" in the last weeks."	No	But we may learn from it.	Yes	No substantive questions should precede candidate preference.	Helps	Some may think it means he does not follow public opinion and makes up his own mind. But it is clear that he pays close attention to public polls.	No		It can be meaningful, but religion is often not as meaningful as religiosity.	Neither		No																
Bernie Porn	EPIC-MRA																																																										
Krista Jenkins	Fairleigh Dickinson University (PublicMind)										Not sure	Accuracy rarely makes the news, whereas misses make headlines.	It depends on how they are used and interpreted.							Not sure	I think it remains to be seen. It depends on how things shake out when folks start to vote in a few weeks. If anything, I see the media as bearing the brunt of public ire as people grow increasingly tired of breathless stories about polls, with little substantive discussion of the candidates.	No	I don't think they should be ignored completely, as they reveal interesting trends in the aggregate. It's their misuse as indicators of real voter sentiment that troubles me.	No	Others have argued this far better than I. Kudos, for example, go to Marist for consistency in their action and words. A decision to reject the use of national polls for debate inclusion was followed by consistent behavior.	No	Is any explanation really necessary?	Yes	Again, they reveal trends and insight into early indicators of possible success, but nothing more.	Neither	I simply don't know, and don't wish to speculate. A reasonable rationale could be crafted in either direction.	No	Polling has been around a very long time and is strong enough to endure even The Donald.	Yes	See the spate of research on question order effects.	Neither	Who knows?	No		True, there's some slippage, but there remains value in knowing how folks categorize themselves in regard to religiosity.	Good	They have been and continue to be industry leaders.	Yes	Pew Research Center															
Mark DiCamillo	Field Research Corporation (Field Poll)	Worse	Too many polls are now of dubious methodological quality.	No	Declining response rates are not in an of themselves the problem. Differential non-response is. Well conducted polls can still take steps to reduce differential non-response.														We only poll in California.	Hurt	It's certainly more difficult to poll voters in primaries than general elections, given the much greater variability in composition of their electorates from year to year.	No	While they can not be used as forecasts well-conducted ones do give us new information about how voters nationally are reacting to campaign events.	No	There are no statistically significant differences between many of the lower tier candidates in these polls. Simply leave it to the judgment of the debate sponsors.	No	Not much	Not sure	They don't have much real value although they do document the ebb and flow of campaign events.	Live-interviewer polls	Until we know more about the methodological accuracy of non-probability polls, better to trust the live interviewer polls.	No	Silly question	Yes	The placement of any questions in advance of the trial-heat question is potentially biasing.	Helps	It makes him appear more genuine and less programmed.				Bad	They are still among the better polling organizations and the absence of the better polling firms from the pre-election will mean they will be replaced by others many of which are of low quality.	No																
Nick Gourevitch	Global Strategy Group	About the same	On the one hand, there are increasing challenges in the polling industry that are frequently written about and reported on (declining response rates, increasing cell-only households, etc.). On the other hand, pollsters -- especially in the world of private campaign polling -- have access to incredible data and technology that we simply did not have access to ten years ago. We have voters with deep individual level data that contain predictive models and analytics that are improved with each election cylce. So these two things are pulling the industry in opposite directions -- it's harder to reach people but we know more about the people we're trying to reach. So while it can be easy to be pessimistic about low response rates, there's also reason to be optimistic about the amount of data, technology, and analytics available to pollsters these days. This has certainly made the job more complex and challenging than it has been in the past -- but there's still reason for optimism. 	No	"I'm not incredibly surprised they haven't been bigger. I will say that I would encourage outside observers to the polling industry to consider the many reasons why a poll might be ""wrong"" other than a decline in response rates. While response rates are certainly part of it, they are not the only reason why something might be wrong. It's possible that an electorate was modeled or weighted incorrectly. It's possible that the race shifted and voter preferences changed after the poll was conducted. There are other explanations as well. In sum, a poll done methodologically correctly can look ""wrong."" And a poll done using a terrible methodology can look ""right."" I don't want to downplay response rates because it's a big factor and a huge challenge for the industry, but the debate of right vs. wrong is more than just about response rates."	Harder	Things seem to get slightly harder each year. For example, our 2015 general election work was generally harder and required more dialing hours than similar 2013 work. As we prepare for 2016, we expect that they younger skew of the presidential electorate will present deeper challenges than we had in 2012.				Declined		That criticism conflates the value of polling with the way some people choose to use polling. Polling can be misused just like any other scientific tool. Take a look through the amazing data that Pew Research puts together on a regular basis and tell me that what they provide is not a great public service. And in the private realm, it's hard to argue that an elected official shouldn't know and understand how their constituents think on certain issues. It's how those questions are framed and how the answers are used that matter.									No	Ignoring is too far -- early polls tell us something, they just don't tell us anything all that predictive. But they do tell us how the public is experiencing and reacting to the campaign. They obviously don't tell us who is going to win any individual states and they aren't predictive of who will win the nomination.	No	Because they are not predictive, this seems like a silly criteria. Maybe the parties need a selection committee like they have in March Madness that weight a series of criteria that includes polling, organization, fundraising, etc. I'm sure that has it's flaws as well, but no single factor feels like it should determine inclusion.	No		Yes	I think general election polls this far out are still valuable in understand the atmospherics leading up to the election -- evaluating things like name recognition, issue priorities, etc. This question seems to imply that the only reason to conduct a poll is to predict who might win -- that's not the only reason people do polls.																Yes	I think that new entries into the polling ecosystem will only make everyone better. I would welcome them -- and anyone else who is legitimately trying to improve the industry -- into the fold.	Not sure		Well										
Doug Kaplan	Gravis Marketing	About the same		No		About the same					Neither		Public opinion polls are not a crystal ball to look into the future. They mention public opinion at the current time they are conducted. People want to have an idea on where the public stands on issues.	Nevada	Arizona	New Mexico						No	The national polls are early indicators of trends that can be happening in early primary states. Example: Ben Carson dropped nationally and we saw that trend later in Iowa.	Yes	The mixture CNN worked using national and early states was the best way to do it.	No	If you use 2016 as an example, the Republicans are going to perform better against Hillary Clinton when polls are conducted one year before the election because of the amount of coverage they are receiving and the GOP has much more of a competitive primary than the Democrats. When we have an idea of who the nominee will be, it is reasonable to pay attention to the general election polls to have an idea on where the country stands nationally and in battleground states.	Yes		IVR and online polls	Depends on the type of data that is used. Random digit dialing or voter file.	No	Mr. Trump is an abnormality. It is hard to compare him to anyone that has run previously for a major party nomination. Silvio Berlusconi would be the closest comparison.	Not sure	We generally place issues questions after the candidate question or we rotate it 50% before and 50% after.	Neither	This would be the last thing voters care about.	Yes	This is something we are currently working on. We would use the Gravis consumer file. We would ask the questions in a way that is not specifically targeted to Muslims.	Very important. Church attendance is another important question we have started to ask.	Neither	They are a great organization. Many great polling firms still exist.	No	Many great polling firms	Yes		No		Not sure		No	As long as the polls are being conducted without an agenda then they should be counted.	Hillary Clinton		Marco Rubio		49	225	
Benjamin Margolis	Hickman Analytics																																																										
Julia Clark	Ipsos	About the same	I think that our industry here in the US is changing (Gallup dropping out; more online pollsters paired with major media partners) but i don't think that means the industry is in better or worse shape. It is simply evolving.	No	"I don't believe that methodology alone is a predictor of accuracy in polling at all any more, nor has it been for awhile; the 2012 election proved that when Gallup (phone) did poorly and PPP/Ipsos did well (IVR/online). I think that election accuracy is dependent on the team overseeing the work, and their expertise, regardless of institution or methodology. The dramatic decline of phone response rates over the past 20 years now means that saying ""phone polls are more accurate"" or ""online polls are more accurate"" is simplistic and almost irrelevant. We are all working with the best methods we can and optimizing towards the same outcome: accurate election measurement and prediction."	About the same	Very little has changed; it has only been a year. Panel maintenance for online polls is increasingly challenging, but we use a lot of river sample, which helps counterbalance this.			We don't calculate response rates; our online surveys utilize a continual flow of river sample so the outgoing sample is not finite.	Neither	"I think that the public's image of pollsters is low to begin with, but probably relatively stable. We're not high on their radars in general, so why would views change notably? In the UK, for example, it has been pretty stable with a few ""blips"": https://www.ipsos-mori.com/researchpublications/researcharchive/15/Trust-in-Professions.aspx "	"It was a wonderful article! I'd point out that a poll doesn't represent or dictate anyone's rights, but rather allows others to make decisions based on where public opinion (both majority and minority opinion) sits. One problem with polls is that they do create a sense of ""certainty of opinion"" when this may not exist in reality as strongly... the way poll numbers are explained and reported often imply that the public have a well-defined and thought-out position on issues, which is not always the case of course. Importantly, social progress has been made even when it does not ""follow"" poll numbers (e.g. the legalization of same-sex marriage began long before a majority of Americans approved of it)... and the public followed (because it is now a majority opinion). I too sympathize with Rogers' concern, but I do not think that politicians simply do as polls dictate -- and we also see that polls (ie. public opinion) do follow legislation as well. e.g. capital punishment in Germany; attitudes towards banning smoking in bars/pubs (UK); and some aspects of the ACA. In other cases, legislation explicitly does not follow poll data (public opinion) e.g. in term of public support for gun control."	Wyoming	Vermont	Alaska	North Dakota	South Dakota	Ipsos does not use lists and so our ability to poll is mainly a function of population. The above are the smallest states by population.	Hurt	Primaries and caucuses are harder to poll because of the much smaller populations involved (primary voters in a specific state --> tiny population). So the polling is naturally less precise, and that means that the imprecise polling is part of the story, which usually makes the pollsters themselves look less able to make accurate predictions (because we are!). If we only had to poll general elections, we'd be seen as far more accurate :)	Not sure	They do not represent the individuals who will cast votes to determine primary election outcomes in each state. They paint a national rather than local picture. This doesn't mean they're irrelevant -- they do speak to national candidate popularity -- but they aren't going to be very useful to predict a specific state's outcome. It is apples and oranges. Whether you should ignore them depends on what you're interested in using the information for.	Not sure	I have no idea if it is fair. It is complicated, that is for sure.	Not sure	General election poll accuracy improves notably as we near Election Day. A year out, the average error is +/-9 points from the actual outcome in a 2-way race http://spotlight.ipsos-na.com/index.php/news/election-poll-accuracy-over-time/. They may be a general point of interest, again to indicate popularity, but they have very low predictive value. But early polls provide a general indicator of where public focus and opinion lies this far from Election Day: Trump and Sanders' poll numbers of late have changed and expanded the public discourse on issues like immigration and socialized medicine. So, whether you should pay attention to general election polls now depends on what you want to use them for.	Yes	More information is better than less; general election polls conducted now (just under a year out) speak to current candidate popularity and tracking movement on them over time can help us keep an eye on rising and falling stars.		"My response is ""Don't know."" Mode effects can impact in a lot of ways. We also know that presidential approval ratings are, on average, lower among online polls. There are simply differences by mode. The relative week-to-week change is more useful than the point estimate, anyway."	No	Every election people say that the future of polling hangs in the balance for some reason or another. Thus far that has not been the case.	Yes	"It could bias respondents in many ways, including towards (or against) Trump. Order effects are real and long-established. Best practice in polling (and the approach to which Ipsos adheres) is that you ALWAYS put the ""ballot"" question(s) as early in the survey as possible, ideally first (usually following any key demographics). There should be no issues-based questions that occur prior to ballot questions."	Neither	I don't think people are more or less likely to vote for Trump due to whether or not he has a pollster. I think it probably strengthens some of his core identity points about saying what he thinks and working outside the DC establishment... so it certainly doesn't hurt among those who support/like him anyway. But I doubt it impacts in any meaningful way with overall support among voters.	Yes	We currently poll the entire population, c. 11,000/month. So we are constantly polling American Muslims. They are simply identified in our nationally representative poll via a standard religion question. Of course, given their relatively low incidence (c. 1%), we can only speak about them meaningfully by aggregating multiple months together. We currently have no plans to do a targeted poll of American Muslims.	They are a useful means of identifying religious groups who often have clustering (though not identical) opinions on social, political, and economic issues. Ipsos also captures frequency of religious service attendance because this is a key measure of intensity/religiosity that is a critical dimension when making broader statements about religion in America.	Neither	They are the most well-known polling brand in the country. Their absence from horse-race polling will change the makeup of election polls this cycle, but there are plenty of newer pollsters to add to the roster.		"I don't think anyone is currently a household name the way Gallup is. I'm sure many of us endeavor to be, but I can't think of one that occupies that space. I don't like the question i'm afraid, because everyone must think that theirs ""should"" be equated with polling -- but I doubt any of us believe that there is a new brand name that *could* currently be equated with polling in the way Gallup's is, here in the US."	Yes	Of course: a prominent media partner is using them -- therefore they are good enough.	No	Prediction markets are simply aggregators of conventional wisdom, and conventional wisdom is no better a predictor of the election outcome now than a coin flip.	Not sure	"Aside from very clear-cut cases of fraud (which are extremely rare) or obvious push-polling, I'm not sure what a ""bad polling organization"" looks like. All the aggregators seem to factor predictive accuracy into their calculations, which is the best way to assess things in my mind."	No								
