"","SMITH","JOHNSON","WILLIAMS","BROWN","JONES","GARCIA","RODRIGUEZ","MILLER","MARTINEZ","DAVIS","HERNANDEZ","LOPEZ","GONZALEZ","WILSON","ANDERSON","THOMAS","TAYLOR","LEE","MOORE","JACKSON","PEREZ","MARTIN","THOMPSON","WHITE","SANCHEZ","HARRIS","RAMIREZ","CLARK","LEWIS","ROBINSON","WALKER","YOUNG","HALL","ALLEN","TORRES","NGUYEN","WRIGHT","FLORES","KING","SCOTT","RIVERA","GREEN","HILL","ADAMS","BAKER","NELSON","MITCHELL","CAMPBELL","GOMEZ","CARTER","ROBERTS","DIAZ","PHILLIPS","EVANS","TURNER","REYES","CRUZ","PARKER","EDWARDS","COLLINS","STEWART","MORRIS","MORALES","ORTIZ","GUTIERREZ","MURPHY","ROGERS","COOK","KIM","MORGAN","COOPER","RAMOS","PETERSON","GONZALES","BELL","REED","BAILEY","CHAVEZ","KELLY","HOWARD","RICHARDSON","WARD","COX","RUIZ","BROOKS","WATSON","WOOD","JAMES","MENDOZA","GRAY","BENNETT","ALVAREZ","CASTILLO","PRICE","HUGHES","VASQUEZ","SANDERS","JIMENEZ","LONG","FOSTER"
"Michael",29275.9128558894,23225.5019409123,19505.9126782672,17288.0641928502,17114.7797806733,14872.0208121387,13974.0065358331,13654.8945309654,13428.4883515444,13356.0116998944,12320.0913574361,10782.2670042626,10419.5385586022,9702.9956520785,9346.9000931857,9007.25941424085,8943.24007932425,8876.01338675723,8653.79482018299,8539.86395060711,8479.22880992243,8328.41205472958,7956.26785134913,7935.11610704068,7657.41266516821,7495.84005427849,6789.84548391988,6729.03491153705,6391.10972082313,6376.10765353377,6271.45828839996,5841.57487098109,5820.38002280553,5736.74120457521,5641.24346526482,5570.11369339772,5460.73934836932,5432.15290652588,5425.39305696171,5252.6751858188,5192.07626183332,5185.89704932004,5118.86205239863,5076.52638847438,5035.36879759938,5035.27039177547,4588.99557943732,4568.50811909456,4567.71307988967,4541.30370656367,4480.17789181887,4364.20915069822,4308.28328292833,4230.78240982463,4166.78297174925,4046.6997133842,4012.11576351234,4003.47994453243,3950.20496540697,3913.80723664974,3864.00416094114,3833.22505188357,3781.23470474876,3728.99215974312,3706.06228779688,3642.04889499202,3609.5014855736,3582.26832393277,3467.62342323332,3388.50522439396,3340.71867838846,3340.01081409812,3330.34788819371,3314.02529577179,3303.50611088768,3293.40567758966,3269.16758525104,3223.36322395662,3178.03372329569,3165.32784115989,3120.07028720824,3113.66968679984,3080.03108015541,3042.46038185749,3008.17616754889,3006.37556321183,2982.94352725022,2955.08854146079,2939.63183487081,2924.96705230832,2924.42276082998,2920.41521767878,2871.63366093661,2807.21048106749,2798.6656112687,2780.19526293581,2756.86141584673,2748.53550979272,2733.93137007329,2731.76538100251
"James",25837.9319302092,20498.0436015171,17215.259742662,15257.8615744203,15104.9266046916,13125.54328537,12332.9862143827,12051.3487364851,11851.5302891064,11787.5648441661,10873.2965367929,9516.06470072663,9195.93282527472,8563.53625629429,8249.25834268617,7949.50295037765,7893.00164755117,7833.66963918681,7637.54703747539,7536.99549985668,7483.48097256246,7350.37519807168,7021.93329286115,7003.26547770753,6758.17379898837,6615.57526952476,5992.48830578715,5938.81894840113,5640.57758806682,5627.3372701528,5534.97727488376,5155.57668943079,5136.87083225985,5063.05403608355,4978.77095668183,4915.99422234872,4819.46411940484,4794.23469130422,4788.26867638413,4635.83371663792,4582.35115297925,4576.89758871,4517.73476444819,4480.37073730139,4444.04643763993,4443.95958798328,4050.0925109729,4032.01097041206,4031.30929566126,4008.00127470644,3954.05369505865,3851.70360084102,3802.34531877175,3733.94566566299,3677.46192311657,3571.48049494158,3540.95786881322,3533.33618664525,3486.3174893632,3454.19408324866,3410.23957066324,3383.07496853395,3337.19004406004,3291.082538263,3270.84540771026,3214.3493491909,3185.62410488521,3161.58903618611,3060.40731881322,2990.58026863326,2948.4054770581,2947.78073994265,2939.25256789234,2924.84679909538,2915.56292178863,2906.64862048898,2885.25689880138,2844.83151650647,2804.82523016886,2793.61144772068,2753.66865911877,2748.01970537039,2718.3314072468,2685.17277783119,2654.91468818778,2653.32553561299,2632.64521206022,2608.06134236888,2594.419775163,2581.47713335756,2580.99676008153,2577.45983784591,2534.40688339976,2477.54916065753,2470.00774716514,2453.70644153885,2433.11277616878,2425.7646126823,2412.87549220201,2410.96386340165
"John",24464.3906069638,19408.370093265,16300.0986256338,14446.7555062786,14301.9505409659,12427.7909984919,11677.3661651378,11410.7005013588,11221.5043783736,11160.9393287173,10295.273413521,9010.19185701645,8707.07815318172,8108.29970900011,7810.72877110855,7526.90833904815,7473.41063861751,7417.2327126116,7231.53596458694,7136.32973449548,7085.66003297258,6959.63014528727,6648.64817186658,6630.97273549922,6398.91010065299,6263.89209169625,5673.92835527346,5623.11205440763,5340.72516856558,5328.18870434376,5240.73855520556,4881.50685879491,4863.79540271924,4793.9026984622,4714.10009732481,4654.66056656426,4563.26199216874,4539.3737574017,4533.72489511015,4389.39335930995,4338.75392223961,4333.59026878455,4277.57253307483,4242.19477307308,4207.80146876984,4207.71923603039,3834.79008499647,3817.66975693574,3817.00538312946,3794.93641373771,3743.85668087175,3646.94750523173,3600.21310344242,3535.44956758539,3481.96849393246,3381.62102560721,3352.72097857668,3345.50446410707,3300.98527506184,3270.56954531478,3228.95164927987,3203.23111410048,3159.78542663861,3116.12899024973,3096.96766309925,3043.47492818901,3016.27671438177,2993.51934701551,2897.71643744907,2831.60138477578,2791.66859999839,2791.07707383212,2783.00225837221,2769.36229849483,2760.57195097813,2752.13153285288,2731.87699249204,2693.60061861003,2655.72106159514,2645.10340245992,2607.28396764882,2601.9353115956,2573.82523979445,2542.42931909126,2513.77974581828,2512.27507240135,2492.69411233691,2469.41711817251,2456.50073502245,2444.24612248343,2443.79128579241,2440.44238591325,2399.67812129643,2345.84294818949,2338.7024353224,2323.26770512332,2303.7687965031,2296.81126049509,2284.60732409407,2282.79731724856
"Robert",24005.2158484352,19044.0923234165,15994.1603347251,14175.6028101951,14033.5157047323,12194.5324627509,11458.1924331912,11196.5318457184,11010.8867649595,10951.4584671848,10102.0403279483,8841.078604342,8543.65407396764,7956.11416631597,7664.12836911917,7385.63499304191,7333.14139666078,7278.01788014427,7095.80649420378,7002.38720000681,6952.66852352007,6829.00410424863,6523.85898467999,6506.51530046441,6278.80827398099,6146.32443244562,5567.43378836201,5517.57126407105,5240.48452783015,5228.1833618434,5142.37457388845,4789.88533553061,4772.50630766447,4703.92542703369,4625.62064943484,4567.29674557146,4477.61364077427,4454.1737668353,4448.63092864304,4307.00836684361,4257.31938677269,4252.25265048048,4197.28631763139,4162.57256658319,4128.82479387941,4128.74410457502,3762.81450058175,3746.01550578575,3745.36360168235,3723.70884713266,3673.5878352249,3578.49755824615,3532.64031943225,3469.09233729231,3416.61505561913,3318.15101963753,3289.79340067439,3282.71233373512,3239.02873010087,3209.18387643188,3168.34711112977,3143.10932742047,3100.47907670378,3057.64203262918,3038.8403464732,2986.35162241408,2959.6638947848,2937.33366287567,2843.32888834448,2778.45475615167,2739.27147407401,2738.6910503255,2730.76779193882,2717.38384192426,2708.75848137834,2700.47648236178,2680.60210163086,2643.0441410957,2605.87554952953,2595.4571743719,2558.34757656946,2553.0993100126,2525.51683914943,2494.71019183299,2466.59834545871,2465.12191341774,2445.90847048274,2423.0683647063,2410.39441053022,2398.36980612195,2397.92350630933,2394.63746228945,2354.63830650624,2301.81357150948,2294.80707969054,2279.66204559,2260.52911406691,2253.70216479485,2241.72728537874,2239.9512507449
"David",22613.772849941,17940.2168534601,15067.0717155241,13353.925412907,13220.0742720496,11487.6862122386,10794.0275393104,10547.5338970014,10372.6495837965,10316.6659994279,9516.48369835667,8328.61260525161,8048.42804818066,7494.94441796468,7219.88334228401,6957.53261040193,6908.08176304715,6856.15343675902,6684.50378701844,6596.49946695273,6549.6626934961,6433.16638266594,6145.7087541338,6129.37038260202,5914.86221047213,5790.05768808481,5244.72197384185,5197.74969060308,4936.72406381241,4925.13592500249,4844.30097431536,4512.24349070009,4495.87182418399,4431.26617905147,4357.50027480525,4302.55706904465,4218.07237316997,4195.99117264114,4190.76962059949,4057.35609650623,4010.54729813659,4005.77425113189,3953.99399748653,3921.29240105308,3889.50079080749,3889.42477859363,3544.70598930967,3528.88073471406,3528.26661770685,3507.86706355996,3460.65127573087,3371.07283005422,3327.87366914642,3268.00919459813,3218.5737162824,3125.81706882566,3099.10317640134,3092.43255780283,3051.28103906253,3023.166118294,2984.69642319529,2960.92152728759,2920.76230471156,2880.40827538801,2862.69641382376,2813.25015637078,2788.10936137439,2767.07348336905,2678.51761986504,2617.40386448337,2580.49180978602,2579.94502983251,2572.48103673539,2559.87287660155,2551.74747813125,2543.94553851585,2525.22316025357,2489.84221664483,2454.82807254646,2445.01359011199,2410.05502025135,2405.11096523756,2379.12729007804,2350.10632525603,2323.62395941044,2322.23310756335,2304.13335637008,2282.6171589254,2270.67784029323,2259.35023239269,2258.92980198918,2255.83423086374,2218.15359392291,2168.3908021356,2161.79043597065,2147.52327157119,2129.49936501069,2123.06813435352,2111.78736917603,2110.114280959
"William",18925.4835104948,15014.180981116,12609.6436537054,11175.9102242424,11063.8901037623,9614.05323322809,9033.52976801385,8827.23905332794,8680.87824004095,8634.02553616631,7964.35236642134,6970.2221549643,6735.73548836831,6272.52462185389,6042.32580068783,5822.76427580882,5781.37882445565,5737.91996911935,5594.26624811913,5520.61536645035,5481.41763550911,5383.92178533498,5143.34827976158,5129.67468433525,4950.15263370488,4845.70363502828,4389.31176552138,4350.00062634152,4131.5480829104,4121.8499608226,4054.19912978027,3776.29997193525,3762.59851191149,3708.52999889716,3646.79525813928,3600.81324790436,3530.10794236887,3511.62816903456,3507.25824820272,3395.60436952186,3356.43005095197,3352.43548432296,3309.10055109279,3281.73256043617,3255.12613790475,3255.06252322579,2966.56710914152,2953.32294166509,2952.80898667976,2935.73658446761,2896.22165611293,2821.25338753612,2785.09997727358,2734.99935348798,2693.62676449515,2615.99865645762,2593.6417797908,2588.05913406739,2553.61939707528,2530.08999873319,2497.89468196426,2477.99745369322,2444.38817010748,2410.6158526082,2395.79278234042,2354.41117227951,2333.37082203358,2315.76587990558,2241.65341111835,2190.50726326345,2159.61553691824,2159.1579363638,2152.91131492564,2142.3595362245,2135.55938413195,2129.02993499841,2113.36116254583,2083.75082422253,2054.44746068541,2046.23371295255,2016.97685953679,2012.83917617632,1991.09341888776,1966.8057515957,1944.6426396968,1943.47863473963,1928.33093934951,1910.32401752138,1900.33199277615,1890.85190920241,1890.50005068142,1887.90936487773,1856.37441147475,1814.72789359132,1809.2040421824,1797.26384156328,1782.17962060339,1776.79731882818,1767.3564379646,1765.9562291771
"Mary",17293.1240457633,13719.1789054159,11522.0375614434,10211.9664062989,10109.6082373249,8784.82259396911,8254.37039760334,8065.87265504504,7932.13574427036,7889.3241764954,7277.41160960655,6369.02704681141,6154.76530759226,5731.50727196336,5521.16354323349,5320.53962346393,5282.72374713277,5243.01330191213,5111.74999149184,5044.45164045781,5008.63478943239,4919.54814442946,4699.72456783771,4687.23034639666,4523.19241897572,4427.75234794301,4010.72515767417,3974.80468008952,3775.19408997846,3766.33244963082,3704.51663328113,3450.58681393663,3438.06713127344,3388.66213181816,3332.25213155228,3290.23615841082,3225.62932188584,3208.74346465368,3204.75045792425,3102.72694168763,3066.93148367137,3063.28145612063,3023.68424448539,2998.67679582254,2974.36522856485,2974.30710077467,2710.69497273438,2698.59314025407,2698.12351487777,2682.52364029332,2646.41695074332,2577.91483996365,2544.87973108515,2499.10038275758,2461.29625938337,2390.36372542795,2369.93517250561,2364.83404074615,2333.3647975124,2311.86485517136,2282.4464465865,2264.26539264052,2233.5549746047,2202.69558464491,2189.1510327851,2151.33866642734,2132.11308698217,2116.02660507701,2048.30647970401,2001.5717857752,1973.34453042507,1972.92639880127,1967.21856051344,1957.57689308226,1951.36326722688,1945.39699567804,1931.07968507844,1904.02329556121,1877.24740366262,1869.74210751808,1843.00871415315,1839.22791396514,1819.35777019568,1797.16496106449,1776.91346032501,1775.84985304105,1762.00867560199,1745.55488552136,1736.4246921875,1727.76228411142,1727.44077406669,1725.07353991165,1696.25853707842,1658.20411170889,1653.15670314087,1642.24636786076,1628.46319005986,1623.54512219656,1614.91853552126,1613.63909744303
"Christopher",14920.9949211372,11837.2943042663,9941.53881510893,8811.17249144697,8722.85497777178,7579.79257887864,7122.1034703674,6959.46230432272,6844.07032765287,6807.13130011535,6279.1558875429,5495.37607933489,5310.50501068224,4945.30604586613,4763.81554711264,4590.71157353225,4558.08296940136,4523.8196778246,4410.56199327149,4352.4950788538,4321.59129010938,4244.7248214417,4055.05484271538,4044.27447624301,3902.73792822285,3820.38954447313,3460.56672868168,3429.5735280207,3257.34388383551,3249.69781073326,3196.36138179429,2977.26357536337,2966.46124023078,2923.83321397016,2875.16107553865,2838.9085094788,2783.16390965352,2768.59431602004,2765.14903725073,2677.12027139127,2646.23494113822,2643.08559447288,2608.92000402566,2587.34287235752,2566.3661667827,2566.31601248671,2338.86403716805,2328.42223495248,2328.01702893904,2314.55701738594,2283.40314779195,2224.29759553165,2195.7939723291,2156.29426006884,2123.67579672052,2062.47320683038,2044.84687548656,2040.44547520321,2013.29292502083,1994.74216868401,1969.35913644987,1953.67201058001,1927.17419616974,1900.54784458393,1888.86122341737,1856.23564779047,1839.64727587466,1825.76740580777,1767.33657260058,1727.01256122431,1702.65728957978,1702.29651382761,1697.37163004848,1689.05252758954,1683.69123603894,1678.54336875696,1666.18998956558,1642.84497396848,1619.74197962399,1613.26619853563,1590.19987312402,1586.93769214077,1569.79317195565,1550.64459062032,1533.17102489098,1532.25331454321,1520.31075646497,1506.11396254984,1498.23617436055,1490.76200447859,1490.4845965486,1488.44208018712,1463.57968344554,1430.74525247963,1426.39020608032,1416.97646123748,1405.08394688206,1400.8404992889,1393.39723712133,1392.29330187998
"Joseph",13681.479396881,10853.9476753801,9115.67621268508,8079.21157679132,7998.23076752777,6950.12474360226,6530.4567428175,6381.3264888307,6275.52034388405,6241.64991186082,5757.53442443197,5038.86470070607,4869.35122454588,4534.49003470553,4368.07629805128,4209.35240191863,4179.43431820336,4148.01734364808,4044.16819109882,3990.92500608034,3962.58845404563,3892.10742962694,3718.19369801143,3708.30887715584,3578.5300402969,3503.02249394405,3173.0908461687,3144.67230983599,2986.75011088706,2979.73921166966,2930.83354167321,2729.93660816243,2720.03164362515,2680.94480885999,2636.31595785693,2603.07496164633,2551.961172115,2538.60190243018,2535.44282954342,2454.72678126349,2426.40715433805,2423.51942991062,2392.19204026559,2372.40736210427,2353.17323149479,2353.12724361189,2144.57013796649,2134.99575618876,2134.62421141217,2122.28234870672,2093.71649051588,2039.52094928257,2013.38517645755,1977.16678067847,1947.2579953316,1891.13962138648,1874.97754302657,1870.94177546467,1846.04483944556,1829.03512984106,1805.76071453717,1791.37674815161,1767.08015775448,1742.6657080103,1731.94991676752,1702.03460997263,1686.82426577015,1674.09742299893,1620.5205506193,1583.54633182492,1561.21429907702,1560.88349365511,1556.36772937047,1548.73971062949,1543.82379179982,1539.10356767746,1527.77640727147,1506.37070667311,1485.18692216001,1479.24909656544,1458.09893482699,1455.10774944376,1439.38745727009,1421.82958513063,1405.80758185408,1404.96610745631,1394.01564046955,1380.99820131899,1373.77483602906,1366.92155970336,1366.66719657954,1364.79435595027,1341.99732595496,1311.89051383267,1307.89724944919,1299.26552235622,1288.36094186472,1284.47000556159,1277.64506938747,1276.63284015343
"Richard",13518.6934511952,10724.8044675803,9007.21542932964,7983.0829302633,7903.06565259133,6867.43027787957,6452.75560057978,6305.39973872715,6200.8525039367,6167.38507148302,5689.02972118233,4978.9109243861,4811.4143654556,4480.53744470489,4316.10374374053,4159.26838749347,4129.70627723761,4098.66311035072,3996.04958313233,3943.43989994307,3915.44050387569,3845.79808176601,3673.95362281082,3664.18641422978,3535.95172110523,3461.34258398014,3135.33655226843,3107.25614737442,2951.21294950095,2944.28546786041,2895.96169076522,2697.45508335575,2687.66797076799,2649.04620174437,2604.94835689238,2572.10287105362,2521.59724722756,2508.39692975004,2505.2754443677,2425.51977748149,2397.53710514384,2394.6837396434,2363.72909176126,2344.17981705676,2325.17453934031,2325.12909863368,2119.0534618914,2109.59299870001,2109.22587466376,2097.03085878194,2068.80488490515,2015.25417689313,1989.42937456861,1953.64191506747,1924.08899254551,1868.63833020583,1852.66855262962,1848.68080372273,1824.08009818841,1807.27277471362,1784.27528470382,1770.06246264432,1746.05495965725,1721.93099964555,1711.34270778794,1681.78334141191,1666.75397400246,1654.17855865191,1601.23915840408,1564.70486887449,1542.63854869791,1542.31167928847,1537.84964478978,1530.31238628082,1525.45495838422,1520.79089676632,1509.5985099813,1488.44750020356,1467.51576609343,1461.64859035526,1440.75007896691,1437.79448351714,1422.26123563551,1404.912271812,1389.08090266787,1388.24944036029,1377.42926499423,1364.56671085874,1357.42929112452,1350.65755693585,1350.40622029333,1348.55566322889,1326.02987846803,1296.28128534682,1292.33553390402,1283.80650943677,1273.03167459602,1269.18703370637,1262.44330247048,1261.4431170139
