"","name","perct2013"
"1","SMITH",0.00799900801465783
"2","JOHNSON",0.00634586450247735
"3","WILLIAMS",0.00532956743705047
"4","BROWN",0.00472358845707893
"5","JONES",0.004676242251048
"6","GARCIA",0.00406345702202499
"7","RODRIGUEZ",0.00381809410443451
"8","MILLER",0.00373090367259127
"9","MARTINEZ",0.00366904309619621
"10","DAVIS",0.00364924042359375
"11","HERNANDEZ",0.00336619766545122
"12","LOPEZ",0.00294602052574176
"13","GONZALEZ",0.0028469128477587
"14","WILSON",0.00265113304473963
"15","ANDERSON",0.00255383765915801
"16","THOMAS",0.00246103821251541
"17","TAYLOR",0.00244354631821952
"18","LEE",0.00242517808303281
"19","MOORE",0.00236446168099325
"20","JACKSON",0.0023333325427375
"21","PEREZ",0.00231676530609165
"22","MARTIN",0.00227555789987103
"23","THOMPSON",0.0021738775703762
"24","WHITE",0.00216809831515434
"25","SANCHEZ",0.0020922218747451
"26","HARRIS",0.00204807566431545
"27","RAMIREZ",0.00185517796529571
"28","CLARK",0.00183856279574453
"29","LEWIS",0.00174623206904162
"30","ROBINSON",0.00174213307964119
"31","WALKER",0.00171353991110176
"32","YOUNG",0.00159608359408686
"33","HALL",0.00159029256166849
"34","ALLEN",0.00156744006922345
"35","TORRES",0.00154134738388565
"36","NGUYEN",0.00152191271696181
"37","WRIGHT",0.00149202855017983
"38","FLORES",0.00148421792516049
"39","KING",0.00148237094292947
"40","SCOTT",0.00143517953194435
"41","RIVERA",0.0014186221907258
"42","GREEN",0.00141693385497138
"43","HILL",0.00139861799646078
"44","ADAMS",0.0013870506948124
"45","BAKER",0.00137580527606512
"46","NELSON",0.00137577838880876
"47","MITCHELL",0.00125384347876156
"48","CAMPBELL",0.00124824572472094
"49","GOMEZ",0.00124802849750746
"50","CARTER",0.00124081270922661
"51","ROBERTS",0.00122411140653955
"52","DIAZ",0.00119242546409806
"53","PHILLIPS",0.00117714493410331
"54","EVANS",0.00115596950199463
"55","TURNER",0.00113848304407892
"56","REYES",0.00110567289906938
"57","CRUZ",0.00109622358510383
"58","PARKER",0.00109386403493118
"59","EDWARDS",0.00107930780274457
"60","COLLINS",0.00106936291305052
"61","STEWART",0.0010557553031458
"62","MORRIS",0.00104734557938253
"63","MORALES",0.00103314034501586
"64","ORTIZ",0.00101886620305269
"65","GUTIERREZ",0.00101260111303224
"66","MURPHY",0.000995110842289458
"67","ROGERS",0.000986217968817816
"68","COOK",0.000978777098252933
"69","KIM",0.000947452866484356
"70","MORGAN",0.000925835535208072
"71","COOPER",0.000912778898293884
"72","RAMOS",0.000912585489734445
"73","PETERSON",0.000909945304878896
"74","GONZALES",0.000905485510636252
"75","BELL",0.000902611371591983
"76","REED",0.00089985164733334
"77","BAILEY",0.000893229114473952
"78","CHAVEZ",0.000880714066526382
"79","KELLY",0.000868328763944288
"80","HOWARD",0.000864857157318805
"81","RICHARDSON",0.000852491512614058
"82","WARD",0.000850742687420549
"83","COX",0.000841551667981624
"84","RUIZ",0.000831286289809447
"85","BROOKS",0.000821918872083462
"86","WATSON",0.000821426896014456
"87","WOOD",0.000815024600571806
"88","JAMES",0.000807413830049479
"89","MENDOZA",0.00080319062032406
"90","GRAY",0.000799183786657489
"91","BENNETT",0.000799035070820039
"92","ALVAREZ",0.00079794009660204
"93","CASTILLO",0.000784611594591909
"94","PRICE",0.000767009358424605
"95","HUGHES",0.000764674658142459
"96","VASQUEZ",0.000759628036195073
"97","SANDERS",0.000753252568731526
"98","JIMENEZ",0.00075097769554198
"99","LONG",0.000746987431216561
"100","FOSTER",0.000746395621696492
