"","name","newPerct2013"
"1","Michael",0.0115773775805504
"2","James",0.0102178024415186
"3","John",0.00967462530473799
"4","Robert",0.00949304122976442
"5","David",0.00894278474230051
"6","William",0.00748422327850325
"7","Mary",0.00683869458180949
"8","Christopher",0.00590061846849396
"9","Joseph",0.00541044283120785
"10","Richard",0.0053460679176983
"11","Daniel",0.0051379341207295
"12","Thomas",0.00492197304759221
"13","Matthew",0.0044967499170826
"14","Jennifer",0.00433302393327508
"15","Charles",0.00427966571001279
"16","Anthony",0.00383954297483508
"17","Patricia",0.00378419295926876
"18","Linda",0.00375060743085161
"19","Mark",0.00355900565048459
"20","Elizabeth",0.00352961104023526
"21","Joshua",0.00351005464566755
"22","Steven",0.00345182669900938
"23","Andrew",0.00338902708326421
"24","Kevin",0.00329440412754328
"25","Brian",0.00324377516031214
"26","Barbara",0.00320695738808562
"27","Jessica",0.00317829709487918
"28","Jason",0.00296875243451558
"29","Susan",0.00294133501651298
"30","Timothy",0.00287960331510352
"31","Paul",0.00287188201006964
"32","Kenneth",0.00276586437269326
"33","Lisa",0.00274882205611758
"34","Ryan",0.00274362396673848
"35","Sarah",0.00268558053089665
"36","Karen",0.0026596911634413
"37","Jeffrey",0.0026436179487909
"38","Donald",0.00261718469005728
"39","Ashley",0.00257242757742903
"40","Eric",0.00253180343764571
"41","Jacob",0.00250966123899548
"42","Nicholas",0.00250432297653721
"43","Jonathan",0.00249748023995063
"44","Ronald",0.00244336406507053
"45","Michelle",0.00241213392358528
"46","Kimberly",0.00239217873325895
"47","Nancy",0.00235078995833983
"48","Justin",0.0022879719994175
"49","Sandra",0.00227295944650309
"50","Amanda",0.00225339636983944
"51","Brandon",0.00224851192265404
"52","Stephanie",0.00223003943491364
"53","Emily",0.00222314279852191
"54","Melissa",0.00221179136078475
"55","Gary",0.00217779616011867
"56","Edward",0.00217143513036603
"57","Stephen",0.0021462504814853
"58","Scott",0.00210167777332486
"59","George",0.00209210859396943
"60","Donna",0.00208915199153746
"61","Jose",0.00208824446346396
"62","Rebecca",0.00201615729452259
"63","Deborah",0.00200813993902353
"64","Laura",0.00196407369733276
"65","Cynthia",0.00196240814164595
"66","Carol",0.00196206289982648
"67","Amy",0.00192889009015513
"68","Margaret",0.00189310188288973
"69","Gregory",0.00188093635594768
"70","Sharon",0.00187997770472115
"71","Larry",0.00186553916994002
"72","Angela",0.00185451584464858
"73","Maria",0.00182814476624513
"74","Alexander",0.00180273260816028
"75","Benjamin",0.00179811593417419
"76","Nicole",0.00176869948745504
"77","Kathleen",0.00175399500123773
"78","Patrick",0.00173851641654763
"79","Samantha",0.00172031356160513
"80","Tyler",0.00171158929842416
"81","Samuel",0.00168563753445259
"82","Betty",0.00165513699329073
"83","Brenda",0.00164171785221971
"84","Pamela",0.00162113863972591
"85","Aaron",0.00161485785752886
"86","Kelly",0.00156824568080894
"87","Heather",0.00153233915759598
"88","Rachel",0.00153144188109579
"89","Adam",0.0015216776825367
"90","Christine",0.00151860557399155
"91","Zachary",0.00151489239462466
"92","Debra",0.00151004405532197
"93","Katherine",0.00148115787704641
"94","Dennis",0.00146470671920813
"95","Nathan",0.00145560875125214
"96","Christina",0.00143493760448082
"97","Julie",0.00141815680487209
"98","Jordan",0.00141596528095013
"99","Kyle",0.00141346905565753
"100","Anna",0.00140027051972801
