Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Why did you choose your troop deployment?
0,1,2,16,21,3,2,1,32,22,Good against the last round; great against everyone who optimized against the last round.
0,3,4,14,15,5,5,5,33,16,"I figure most people will use strategies that are either close to the winning submission, would outperform that submission head-to-head, follow your advice from the column after the last time this challenge was submitted, or follow a pretty similar strategy as they did last time. Goal is to get to 28 points, though in general you also want to keep in mind that you want to win the castles you win by just a little, and lose the ones you lose big time. This deployment looks to probably get to that 28 point margin by winning 4,5,9, and 10 most often. But the scout size of 3-5 is designed to try to be a couple steps ahead of the adjusters who are presenting 2-3 scouts after the previous run. I also wanted to watch out for people loading on 8,9,10, and 1, which was a reasonable strategy last time, which is why I loaded pretty heavily into 9 (which I still expect to be less contested than 10).
As a final note, I also think it would be interesting to look at which strategies do best in terms of total differential to opponents, and how that differs from the actual winners of the contest as published."
0,0,0,15,19,1,1,1,32,31,"Previous winner won 84%. Took the 90%ile of the previous distribution and subtracted the optimal even distribution of 100 soldiers/28 points. Found best values of 4/5/9/10, and matched those number. Added a couple to the lower numbers.  Used the rest to spread between the others with 1 soldier
"
3,3,3,17,17,3,4,4,23,23,"10+9+5+4=28 for the win.  Plus, if you put 0 in any castle, you have a 0% chance of winning.  So many put 0's that even 3 or 4 troops can win you several castles."
0,0,0,16,21,0,0,0,36,27,Near optimal integer program vs previous round: beats 1068 of them.
1,1,2,16,19,4,4,4,22,27,"10,9,5,4 gives a win, so almost all in on those"
0,0,0,16,21,0,0,0,31,32,"28 to win. Looked like castles 4,5,9,10 got less troops allocated to them per value than other spots last go around. Didn't bother putting troops anywhere else. Also wanted to be one greater than round numbers like 15 or 30."
0,8,0,0,0,1,28,1,33,29,"My approach: let `S` be all the strategies available, initialized to the strategies posted on github. Use simulated annealing to find the strategy that ~maximises `P(winning | S)`, and then add that strategy to `S` and repeat. Eventually we will find a strategy that is ""good"" against the empirical strategies and other optimal strategies."
1,1,12,1,1,24,1,1,28,30,"28 victory points is the minimum threshold to win any war since there are 55 total victory points available. Therefore, it's unnecessary to win every castle. The top three castles alone aren't enough to get 28 victory points, as it falls short by just one point. So lower valued castles could be surprisingly competitive. Based on this, there's an inherent tradeoff between allocating troops in lower valued castles and allocating lots of troops in just a few of the high valued castles. So this set up focuses on the top two castles, the six point castle and the three point castle, which if captured would yield a majority of the victory points. In the event that someone neglects any of the castles, one troop is deployed to the remainder to ensure a victory in case certain strategies solely focus on a few castles."
6,0,0,0,0,1,2,33,33,25,"Against most opponents, I am trying to win the 10/9/8/1 castles. But there are some strategies that try to do the same, and I attack them on a different front. I don't compete against them for the 10, but trump their assumed zeros on the 7 and 6 (also trumping the guy with my idea with a 2 on the 7). Even if I lose the 9 vs such a strategy I get 28 points if I win the 876 and 1 (tying the rest with 0)."
1,1,2,18,18,2,3,3,26,26,"Primarily trying to win 10-9-5-4, while leaving some troops to capture other castles if needed. I'm hoping that even with a shifting metagame, this won't be an approach that people will expect."
0,0,12,0,1,22,1,1,32,31,"Found a strategy that beat the previous 5 winners, assuming that most people would copy the winning strategies, then I tweaked it a bit to maximize the wins"
