date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,98,86,109,82,107,65,115,1927,1990,0.00,0.02,2.68
2014-7-2,98,86,109,82,107,65,118,1911,2011,0.00,0.01,2.81
2014-7-3,94,79,108,82,107,64,117,1916,1907,0.0,0.02,0.22
2014-7-4,90,81,98,83,107,63,118,1912,1989,0.00,0.02,0.22
2014-7-5,94,84,103,83,107,63,116,1912,1983,0.01,0.02,0.18
2014-7-6,95,84,105,83,107,65,116,1902,1942,0.00,0.02,0.60
2014-7-7,98,88,108,83,107,66,115,1915,1905,0.00,0.02,0.75
2014-7-8,96,86,105,83,107,67,115,1955,1985,0.0,0.03,0.53
2014-7-9,92,83,101,83,107,66,116,1926,1958,0.0,0.02,0.44
2014-7-10,96,87,105,83,107,67,115,1926,1958,0.00,0.03,0.64
2014-7-11,98,88,107,84,107,68,118,1944,1958,0.00,0.03,0.48
2014-7-12,99,88,110,84,107,69,115,1944,2005,0.00,0.03,1.02
2014-7-13,95,80,110,84,107,66,114,1944,1989,0.03,0.03,1.30
2014-7-14,92,81,103,84,106,68,116,1962,2003,0.02,0.04,1.24
2014-7-15,95,86,103,84,106,66,117,1944,1998,0.0,0.04,0.72
2014-7-16,96,84,107,84,106,68,118,1907,1925,0.00,0.04,1.48
2014-7-17,96,86,105,84,106,65,116,1908,2005,0.00,0.04,1.31
2014-7-18,94,83,105,84,106,68,115,1946,1989,0.00,0.04,1.04
2014-7-19,96,88,104,84,106,68,116,1913,1989,0.0,0.04,0.80
2014-7-20,96,85,106,84,106,67,114,1900,1978,0.00,0.04,1.70
2014-7-21,96,85,107,84,106,65,118,1924,2006,0.00,0.05,1.54
2014-7-22,101,89,113,84,106,66,116,1924,2006,0.00,0.04,1.15
2014-7-23,104,94,114,84,106,69,114,1913,2006,0.00,0.04,0.41
2014-7-24,105,93,116,84,106,68,116,1913,2014,0.0,0.04,1.66
2014-7-25,98,87,109,84,106,67,115,1897,1943,0.0,0.05,1.10
2014-7-26,96,83,108,84,105,65,116,1952,1995,0.0,0.04,1.38
2014-7-27,94,83,104,84,105,65,118,1913,1995,0.0,0.04,1.23
2014-7-28,96,85,107,84,105,66,121,1913,1995,0.00,0.05,1.90
2014-7-29,101,92,110,84,105,68,115,1913,1995,0.00,0.04,2.05
2014-7-30,102,92,111,84,105,66,115,1913,1934,0.00,0.04,1.16
2014-7-31,98,87,109,84,105,70,115,1921,1972,0.0,0.04,1.33
2014-8-1,90,81,99,84,105,68,116,1950,1972,0.0,0.03,1.48
2014-8-2,90,78,102,84,105,70,113,1946,1918,0.0,0.04,1.09
2014-8-3,92,80,103,84,105,66,114,1956,1975,0.0,0.04,2.12
2014-8-4,92,79,105,84,105,68,116,1956,1975,0.00,0.03,0.78
2014-8-5,94,83,105,84,105,69,114,1965,1969,0.00,0.04,1.16
2014-8-6,96,84,108,84,105,68,114,1949,1995,0.00,0.03,2.01
2014-8-7,94,82,105,83,105,66,112,1928,1905,0.00,0.04,0.87
2014-8-8,95,85,105,83,105,67,116,1903,2012,0.00,0.03,0.58
2014-8-9,94,84,104,83,105,70,114,1930,2012,0.0,0.03,0.45
2014-8-10,94,84,104,83,105,68,116,1949,2003,0.00,0.04,0.32
2014-8-11,98,87,109,83,105,65,113,1949,1962,0.00,0.03,0.54
2014-8-12,88,77,98,83,105,64,115,1949,2012,0.44,0.03,0.84
2014-8-13,84,73,95,83,105,69,115,1949,2012,0.11,0.04,0.30
2014-8-14,93,83,102,83,105,69,113,1925,1988,0.00,0.03,1.20
2014-8-15,94,83,104,83,105,66,112,1968,1992,0.00,0.03,1.84
2014-8-16,97,87,106,83,105,64,113,1918,1992,0.00,0.03,1.32
2014-8-17,99,88,109,83,104,64,114,1949,2013,0.0,0.03,0.89
2014-8-18,91,83,98,83,104,62,112,1918,2011,0.0,0.03,1.73
2014-8-19,83,74,91,83,104,63,113,1918,1986,0.43,0.03,0.78
2014-8-20,87,75,98,83,104,58,112,1917,1982,0.00,0.04,1.59
2014-8-21,81,71,90,82,104,62,110,1916,2007,0.19,0.03,0.72
2014-8-22,83,72,93,82,104,65,113,1917,2011,0.00,0.03,0.50
2014-8-23,87,76,97,82,104,61,114,1968,2011,0.00,0.03,0.80
2014-8-24,91,79,103,82,104,61,115,1965,1985,0.00,0.04,1.16
2014-8-25,92,83,101,82,104,65,113,1965,2011,0.00,0.03,0.90
2014-8-26,90,80,100,82,104,65,117,1928,2011,0.00,0.03,0.65
2014-8-27,93,83,103,82,104,64,113,1920,1981,0.00,0.03,2.43
2014-8-28,95,83,106,82,104,64,113,1920,1998,0.00,0.03,0.94
2014-8-29,96,83,108,82,104,64,113,1920,1981,0.00,0.03,0.68
2014-8-30,97,83,111,81,104,64,113,1920,2011,0.00,0.03,0.34
2014-8-31,96,83,109,81,104,62,113,1962,1950,0.00,0.02,0.61
2014-9-1,95,81,108,81,104,63,116,1962,1950,0.00,0.03,1.21
2014-9-2,96,82,109,81,103,64,112,1964,1982,0.00,0.02,1.36
2014-9-3,96,84,108,81,103,64,112,1964,1983,0.00,0.03,0.35
2014-9-4,95,83,107,80,103,60,112,1921,1948,0.0,0.02,2.91
2014-9-5,91,80,101,80,103,61,113,1912,1945,0.00,0.03,2.43
2014-9-6,96,86,105,80,103,63,111,1921,1986,0.00,0.02,0.43
2014-9-7,94,84,104,80,102,61,111,1895,1979,0.00,0.03,0.82
2014-9-8,81,71,90,80,102,62,110,1912,1979,3.29,0.02,3.29
2014-9-9,86,79,92,79,102,61,110,1920,1974,0.0,0.03,0.66
2014-9-10,88,79,97,79,102,59,111,1912,1990,0.00,0.02,1.01
2014-9-11,90,79,100,79,102,58,112,1912,1990,0.00,0.02,1.08
2014-9-12,91,78,104,78,101,58,110,1920,1971,0.00,0.02,1.90
2014-9-13,92,83,100,78,101,55,109,1952,2000,0.00,0.02,1.25
2014-9-14,92,81,102,78,101,58,112,1915,2000,0.00,0.02,1.50
2014-9-15,96,87,105,77,100,53,110,1915,2000,0.00,0.02,0.07
2014-9-16,86,80,92,77,100,56,109,1906,1928,0.01,0.03,1.33
2014-9-17,84,78,89,77,100,56,109,1906,1962,0.14,0.01,1.19
2014-9-18,86,76,96,76,99,58,109,1950,2010,0.00,0.02,1.46
2014-9-19,90,82,98,76,99,54,111,1965,2010,0.00,0.02,1.06
2014-9-20,90,81,99,76,99,47,107,1965,2010,0.00,0.02,0.49
2014-9-21,90,80,99,75,98,47,107,1965,2003,0.00,0.02,0.63
2014-9-22,91,80,101,75,98,47,109,1895,1989,0.00,0.02,0.41
2014-9-23,90,77,102,75,98,54,108,1965,1982,0.00,0.02,0.72
2014-9-24,91,77,104,74,97,55,108,1968,2002,0.00,0.02,0.68
2014-9-25,92,81,103,74,97,49,108,1913,1979,0.00,0.01,0.42
2014-9-26,92,82,101,73,96,50,108,1900,1989,0.00,0.02,2.62
2014-9-27,82,69,95,73,96,51,107,1920,2009,1.64,0.02,1.64
2014-9-28,79,71,87,72,96,50,108,1923,1992,0.02,0.02,1.31
2014-9-29,78,67,89,72,95,52,107,1923,2003,0.00,0.02,1.66
2014-9-30,78,66,89,72,95,49,107,1965,1980,0.00,0.02,0.31
2014-10-1,79,67,91,71,94,49,107,1927,1980,0.00,0.02,0.73
2014-10-2,81,69,92,71,94,49,107,1927,1980,0.00,0.02,0.60
2014-10-3,83,67,99,70,94,49,105,1907,1988,0.00,0.02,1.29
2014-10-4,84,69,99,70,93,46,103,1908,1993,0.00,0.02,0.91
