date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,76,68,84,67,84,49,103,1982,1956,0.04,0.11,1.23
2014-7-2,66,58,74,67,84,48,99,1930,1970,0.12,0.10,2.50
2014-7-3,66,57,75,67,84,50,102,1940,1949,0.05,0.11,1.38
2014-7-4,70,60,79,67,84,49,101,1940,2012,0.00,0.11,0.94
2014-7-5,71,63,79,67,84,46,103,1972,2012,0.01,0.13,1.18
2014-7-6,78,66,89,67,84,49,105,1983,2012,0.00,0.12,3.93
2014-7-7,81,72,89,67,85,48,102,1983,1936,0.48,0.13,1.30
2014-7-8,77,70,84,68,85,49,106,1934,1936,0.48,0.13,2.41
2014-7-9,73,64,81,68,85,51,100,1941,1936,0.00,0.12,2.43
2014-7-10,71,63,78,68,85,51,106,1941,1936,0.00,0.13,0.98
2014-7-11,73,63,83,68,85,51,107,1978,1936,0.0,0.13,6.16
2014-7-12,76,70,81,68,85,55,100,1975,1936,3.31,0.13,6.16
2014-7-13,79,71,86,68,85,50,106,1940,1995,0.04,0.12,1.49
2014-7-14,73,64,81,68,85,52,104,1930,1936,0.37,0.13,1.52
2014-7-15,64,57,71,68,85,49,103,1930,1988,0.05,0.13,1.36
2014-7-16,65,56,73,68,85,49,100,1945,1931,0.00,0.13,2.48
2014-7-17,68,58,78,68,85,51,100,1940,1942,0.00,0.12,5.72
2014-7-18,73,64,81,68,84,53,101,1979,1930,0.00,0.13,2.36
2014-7-19,71,62,80,68,84,55,104,1947,1930,0.00,0.13,3.69
2014-7-20,75,66,84,68,84,50,103,1941,1934,0.00,0.13,3.03
2014-7-21,78,68,87,68,84,51,108,1970,1934,0.00,0.14,1.43
2014-7-22,82,72,91,68,84,49,104,1947,1934,0.19,0.14,1.82
2014-7-23,70,64,76,68,84,51,109,1947,1934,0.00,0.14,2.31
2014-7-24,68,60,75,68,84,55,107,2000,1934,0.00,0.14,4.77
2014-7-25,69,60,77,68,84,58,105,2013,1934,0.0,0.13,1.83
2014-7-26,78,70,85,68,84,53,102,1962,1936,0.00,0.14,1.77
2014-7-27,78,66,89,68,84,51,100,1937,1955,0.04,0.14,4.71
