date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-1,82,72,91,72,91,65,100,1981,1990,0.00,0.21,7.26
2014-7-2,81,73,89,72,91,65,100,2000,1902,0.00,0.21,2.30
2014-7-3,84,71,96,72,92,63,99,2000,1970,0.41,0.22,4.87
2014-7-4,81,70,91,72,92,65,99,2000,1954,0.00,0.21,1.40
2014-7-5,82,73,90,72,92,66,100,2000,1877,0.01,0.21,1.85
2014-7-6,79,70,88,72,92,66,100,1986,1969,0.00,0.21,3.49
2014-7-7,81,70,92,72,92,65,101,1988,1902,0.0,0.21,2.07
2014-7-8,82,72,91,72,92,61,100,1972,1879,0.00,0.21,3.78
2014-7-9,83,71,94,72,92,63,101,2006,1941,0.00,0.22,2.07
2014-7-10,82,73,91,72,92,65,102,2000,1879,0.31,0.21,1.45
2014-7-11,81,72,89,73,92,65,104,1963,1879,0.27,0.21,3.14
2014-7-12,76,72,79,73,92,66,102,1890,1879,0.38,0.20,3.97
2014-7-13,80,71,88,73,92,66,102,1974,1980,0.02,0.21,2.35
2014-7-14,83,73,92,73,92,63,102,1974,1951,0.00,0.20,2.11
2014-7-15,82,72,91,73,92,62,102,1974,1981,0.0,0.20,3.16
2014-7-16,81,72,89,73,92,67,102,2001,1981,0.62,0.20,3.66
2014-7-17,79,69,89,73,92,64,103,1980,1981,0.00,0.21,2.20
2014-7-18,79,71,87,73,92,68,100,2011,1887,0.71,0.21,1.10
2014-7-19,82,74,89,73,92,65,101,2011,2000,0.00,0.22,2.17
2014-7-20,83,73,92,73,92,68,103,2006,2000,0.0,0.22,3.17
2014-7-21,81,73,88,73,92,66,102,1929,1942,0.00,0.23,1.80
2014-7-22,81,72,89,73,92,67,101,1965,1942,0.00,0.22,2.50
2014-7-23,83,72,93,73,92,64,99,2007,1952,0.00,0.22,3.19
2014-7-24,83,72,93,73,92,68,100,1977,1952,0.00,0.23,2.32
