poll_id,question_id,race_id,year,race,location,type_simple,type_detail,pollster,pollster_rating_id,polldate,samplesize,cand1_name,cand1_party,cand1_pct,cand2_name,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment,partisan
54373,87909,1455,1998,1998_Gov-G_NY,NY,Gov-G,Gov-G,Blum & Weprin Associates,32,10/13/1998,364,Peter Vallone,DEM,26,George Pataki,REP,57,,-31,11/3/1998,33.16,54.32,-21.15,9.85,-9.85,1,,
26255,87926,1456,1998,1998_Gov-G_OH,OH,Gov-G,Gov-G,University of Cincinnati (Ohio Poll),346,10/13/1998,540,Lee Fisher,DEM,37,"Robert A. Taft, II",REP,52,,-15,11/3/1998,44.69,50.05,-5.36,9.64,-9.64,1,,
26026,31266,1736,1998,1998_Sen-G_NV,NV,Sen-G,Sen-G,FM3 Research,91,10/13/1998,488,Harry Reid,DEM,49,John Ensign,REP,44,,5,11/3/1998,47.88,47.78,.1,4.9,4.9,1,for Harry Reid,D
26013,31253,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Blum & Weprin Associates,32,10/13/1998,364,Charles E. Schumer,DEM,44,Alfonse M. D'Amato,REP,52,,-8,11/3/1998,54.62,44.08,10.54,18.54,-18.54,0,,
63632,117103,1738,1998,1998_Sen-G_NY,NY,Sen-G,Sen-G,Garin-Hart-Yang Research Group,113,10/13/1998,902,Charles E. Schumer,DEM,46,Alfonse M. D'Amato,REP,42,,4,11/3/1998,54.62,44.08,10.54,6.54,-6.54,1,for unspecified Democratic spnosor,D
26255,31495,1741,1998,1998_Sen-G_OH,OH,Sen-G,Sen-G,University of Cincinnati (Ohio Poll),346,10/13/1998,540,Mary Boyle,DEM,34,George V. Voinovich,REP,62,,-28,11/3/1998,43.53,56.46,-12.93,15.07,-15.07,1,,
64053,117875,1966,1998,1998_House-G_ID-1,ID-1,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,372,Dan Williams,DEM,44,Helen Chenoweth,REP,42,,2,11/3/1998,44.73,55.27,-10.53,12.53,12.53,0,for unspecified Democratic spnosor,D
64053,117876,1967,1998,1998_House-G_ID-2,ID-2,House-G,House-G,Garin-Hart-Yang Research Group,113,10/13/1998,400,Richard Stallings,DEM,42,Mike Simpson,REP,36,,6,11/3/1998,44.69,52.51,-7.82,13.82,13.82,0,for unspecified Democratic spnosor,D
28268,33546,8661,1998,1998_House-G_US,US,House-G,House-G,CBS News/The New York Times,36,10/13/1998,600,Democratic,DEM,48,Republican,REP,46,,2,11/3/1998,47.29,48.41,-1.12,3.12,3.12,0,sample size unavailable; estimated at 600 as a default,
28267,33545,8661,1998,1998_House-G_US,US,House-G,House-G,Zogby Interactive/JZ Analytics,395,10/13/1998,864,Democratic,DEM,39,Republican,REP,36,,3,11/3/1998,47.29,48.41,-1.12,4.12,4.12,0,,
54202,87738,1435,1998,1998_Gov-G_AZ,AZ,Gov-G,Gov-G,Behavior Research Center (Rocky Mountain Poll),27,10/14/1998,519,Paul Johnson,DEM,31,Jane Hull,REP,53,,-22,11/3/1998,35.53,60.95,-25.42,3.42,3.42,1,,
54291,87827,1443,1998,1998_Gov-G_IL,IL,Gov-G,Gov-G,WCIA-TV,373,10/14/1998,401,Glenn Poshard,DEM,32,George Ryan,REP,58,,-26,11/3/1998,47.47,51.04,-3.57,22.43,-22.43,1,,
54273,87809,1444,1998,1998_Gov-G_IA,IA,Gov-G,Gov-G,Talmey-Drake Research & Strategy Inc.,329,10/14/1998,408,Tom Vilsack,DEM,40,Jim Lightfoot,REP,48,,-8,11/3/1998,52.3,46.51,5.8,13.8,-13.8,0,for unspecified Democratic spnosor,D
