year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code
2013,tt1711425,21 &amp; Over,notalk,notalk,FAIL,13000000,25682380,42195766,2013FAIL,13000000,25682380,42195766,1,1
2012,tt1343727,Dredd 3D,ok-disagree,ok,PASS,45000000,13414714,40868994,2012PASS,45658735,13611086,41467257,1,1
2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,53107035,158607035,2013FAIL,20000000,53107035,158607035,1,1
2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,75612460,132493015,2013FAIL,61000000,75612460,132493015,1,1
2013,tt0453562,42,men,men,FAIL,40000000,95020213,95020213,2013FAIL,40000000,95020213,95020213,1,1
2013,tt1335975,47 Ronin,men,men,FAIL,225000000,38362475,145803842,2013FAIL,225000000,38362475,145803842,1,1
2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,92000000,67349198,304249198,2013FAIL,92000000,67349198,304249198,1,1
2013,tt2194499,About Time,ok-disagree,ok,PASS,12000000,15323921,87324746,2013PASS,12000000,15323921,87324746,1,1
2013,tt1814621,Admission,ok,ok,PASS,13000000,18007317,18007317,2013PASS,13000000,18007317,18007317,1,1
2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,60522097,244373198,2013FAIL,130000000,60522097,244373198,1,1
2013,tt1800241,American Hustle,ok-disagree,ok,PASS,40000000,148430908,249484909,2013PASS,40000000,148430908,249484909,1,1
2013,tt1322269,August: Osage County,ok,ok,PASS,25000000,37304874,50304874,2013PASS,25000000,37304874,50304874,1,1
2013,tt1559547,Beautiful Creatures,ok,ok,PASS,50000000,19452138,55940671,2013PASS,50000000,19452138,55940671,1,1
2013,tt2334873,Blue Jasmine,ok-disagree,ok,PASS,18000000,33345833,68447831,2013PASS,18000000,33345833,68447831,1,1
2013,tt1535109,Captain Phillips,notalk,notalk,FAIL,55000000,107136417,218743570,2013FAIL,55000000,107136417,218743570,1,1
2013,tt1939659,Carrie,ok,ok,PASS,30000000,35266619,85001659,2013PASS,30000000,35266619,85001659,1,1
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen-disagree,nowomen,FAIL,78000000,119640264,271725448,2013FAIL,78000000,119640264,271725448,1,1
2013,tt1690953,Despicable Me 2,ok,ok,PASS,76000000,368065385,970766005,2013PASS,76000000,368065385,970766005,1,1
2013,tt2229499,Don Jon,dubious-disagree,dubious,FAIL,5500000,24477704,26377704,2013FAIL,5500000,24477704,26377704,1,1
2013,tt1535108,Elysium,ok-disagree,ok,PASS,120000000,93050117,286192091,2013PASS,120000000,93050117,286192091,1,1
2013,tt1731141,Ender&#39;s Game,men,men,FAIL,110000000,61737191,89737191,2013FAIL,110000000,61737191,89737191,1,1
2013,tt0848537,Epic,ok-disagree,ok,PASS,100000000,107518682,268418682,2013PASS,100000000,107518682,268418682,1,1
2013,tt0765446,Escape from Planet Earth,ok,ok,PASS,40000000,57012977,66454811,2013PASS,40000000,57012977,66454811,1,1
2013,tt1211956,Escape Plan,men,men,FAIL,70000000,25213103,103813103,2013FAIL,70000000,25213103,103813103,1,1
2013,tt1288558,Evil Dead,ok-disagree,ok,PASS,17000000,54239856,97402049,2013PASS,17000000,54239856,97402049,1,1
2013,tt1905041,Fast and Furious 6,ok-disagree,ok,PASS,160000000,238679850,788128122,2013PASS,160000000,238679850,788128122,1,1
2013,tt2294629,Frozen,ok,ok,PASS,150000000,393050114,1004550114,2013PASS,150000000,393050114,1004550114,1,1
2013,tt1583421,G.I. Joe: Retaliation,ok-disagree,ok,PASS,140000000,122523060,371923060,2013PASS,140000000,122523060,371923060,1,1
2013,tt1321870,Gangster Squad,notalk,notalk,FAIL,60000000,46000903,104100903,2013FAIL,60000000,46000903,104100903,1,1
2013,tt2425486,Gloria,ok,ok,PASS,30000000,4167493,4967493,2013PASS,30000000,4167493,4967493,1,1
2013,tt1454468,Gravity,nowomen-disagree,nowomen,FAIL,110000000,271814796,708714796,2013FAIL,110000000,271814796,708714796,1,1
2013,tt2191701,Grown Ups 2,men-disagree,men,FAIL,80000000,133668525,247023808,2013FAIL,80000000,133668525,247023808,1,1
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,ok,PASS,50000000,55703475,225703475,2013PASS,50000000,55703475,225703475,1,1
2013,tt1798709,Her,men-disagree,men,FAIL,23000000,25000178,33029713,2013FAIL,23000000,25000178,33029713,1,1
2013,tt2024432,Identity Thief,men-disagree,men,FAIL,35000000,134506920,176269721,2013FAIL,35000000,134506920,176269721,1,1
2013,tt2226417,Insidious: Chapter 2,men,men,FAIL,5000000,83586447,161911222,2013FAIL,5000000,83586447,161911222,1,1
2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,200000000,408992272,1212692272,2013FAIL,200000000,408992272,1212692272,1,1
2013,tt1351685,Jack the Giant Slayer,nowomen-disagree,nowomen,FAIL,195000000,65187603,197387603,2013FAIL,195000000,65187603,197387603,1,1
2013,tt1650554,Kick-Ass 2,ok,ok,PASS,28000000,28795985,60839197,2013PASS,28000000,28795985,60839197,1,1
2013,tt1204975,Last Vegas,notalk,notalk,FAIL,28000000,63914167,112914167,2013FAIL,28000000,63914167,112914167,1,1
