TEAM,BMK,UNI,CCH,STX,SMK,AFF,SLP,NYP,FRL,BNG,TRD,BWG,FUT,PLA,OWN,BEH
Green Bay Packers,0,94,81,100,100,94,84,52,100,81,100,6,77,97,100,69
Pittsburgh Steelers,32,100,65,58,68,74,68,77,84,42,90,29,81,84,97,69
Kansas City Chiefs,26,71,84,84,74,71,97,35,71,48,45,77,94,71,87,44
New England Patriots,68,68,100,68,32,26,23,90,90,84,81,0,87,94,65,77
Buffalo Bills,3,81,58,32,97,97,55,81,55,61,48,74,68,58,77,69
Carolina Panthers,35,16,52,61,65,84,61,68,74,90,6,52,90,77,74,44
Seattle Seahawks,58,35,95,90,42,23,6,13,97,100,35,26,100,100,94,29
Indianapolis Colts,19,74,68,97,81,77,100,61,94,94,71,23,26,87,48,16
Arizona Cardinals,65,6,95,87,35,90,16,16,77,68,29,42,84,81,71,56
Baltimore Ravens,39,29,90,81,61,81,45,87,68,74,26,19,42,90,90,6
Houston Texans,87,32,55,71,13,48,52,23,81,35,0,39,61,74,68,95
New Orleans Saints,6,45,87,74,94,87,58,29,87,45,16,16,23,65,61,84
Philadelphia Eagles,81,77,71,52,19,29,35,94,52,26,55,55,45,55,39,95
Denver Broncos,42,23,45,65,58,45,39,19,61,97,68,10,97,68,81,0
Detroit Lions,61,19,35,45,39,39,81,71,32,58,42,61,58,35,42,84
Minnesota Vikings,55,52,74,35,45,52,77,39,39,29,52,81,74,52,45,44
New York Giants,100,65,77,42,0,13,29,100,48,23,97,58,39,48,84,10
Atlanta Falcons,74,13,48,48,26,61,74,55,58,55,10,35,48,42,58,56
Dallas Cowboys,90,84,42,77,10,16,65,26,45,77,87,32,29,61,52,29
Jacksonville Jaguars,13,0,61,94,87,100,42,45,65,3,3,100,6,45,55,29
Miami Dolphins,77,48,6,29,23,35,19,32,29,71,58,65,32,16,32,95
Cincinnati Bengals,29,3,13,19,71,58,87,65,26,87,23,13,71,32,29,29
Oakland Raiders,10,97,32,3,90,65,0,0,42,0,65,94,35,19,19,69
Tampa Bay Buccaneers,45,10,29,55,55,68,32,42,35,13,13,97,13,23,35,44
Los Angeles Rams,97,42,39,6,3,55,10,6,6,39,61,90,65,29,0,56
Chicago Bears,94,90,26,16,6,6,90,58,13,19,94,48,19,0,26,56
Cleveland Browns,23,39,16,26,77,42,71,74,10,32,77,87,3,10,10,16
San Diego Chargers,52,87,19,0,48,19,13,10,23,52,39,45,16,39,3,84
San Francisco 49ers,48,61,0,39,52,10,3,3,3,65,84,3,10,26,6,95
New York Jets,71,58,23,23,29,3,29,100,16,10,19,68,52,13,23,16
Washington Redskins,84,26,3,10,16,0,48,84,0,6,74,84,55,3,16,3
Tennessee Titans,16,55,10,13,84,32,94,48,19,16,32,71,0,6,13,29
