"iyear","Belgium","Denmark","France","Germany","Greece","Ireland","Italy","Luxembourg","Netherlands","Portugal","Spain","United Kingdom"
1970,0,0,0,0,2,1,0,0,0,0,0,20
1971,0,0,0,0,0,1,0,0,0,0,0,110
1972,0,0,1,0,0,6,1,0,0,0,2,368
1973,0,0,5,0,5,4,62,0,1,0,6,210
1974,0,0,3,0,92,34,26,0,1,0,19,234
1975,0,0,3,0,1,7,0,0,4,0,31,245
1976,0,0,7,0,14,5,10,0,0,3,17,264
1977,0,0,3,0,1,2,25,0,9,0,44,103
1978,1,0,21,0,0,1,21,0,1,0,84,81
1979,1,0,11,0,1,9,24,0,3,3,112,133
1980,2,0,20,0,5,12,125,0,0,3,116,115
1981,6,0,8,0,3,2,24,0,0,2,39,86
1982,0,0,17,0,2,2,12,0,0,3,42,95
1983,2,0,19,0,4,5,2,0,0,8,42,77
1984,0,0,15,0,5,1,23,0,0,3,51,69
1985,10,1,17,0,64,2,19,0,0,1,70,64
1986,0,0,25,0,6,0,1,0,0,1,57,63
1987,1,0,5,0,2,6,3,0,0,0,64,104
1988,1,0,6,0,14,0,6,0,4,2,25,372
1989,4,0,3,0,4,3,0,0,0,1,29,66
1990,2,0,3,0,2,0,0,0,2,0,32,77
1991,1,0,6,10,15,3,0,0,0,0,46,88
1992,1,1,9,17,2,0,17,0,0,0,29,94
1993,2,0,5,27,0,1,14,0,0,0,19,3
1994,0,0,7,2,3,4,2,0,0,2,17,66
1995,0,0,19,10,0,1,0,0,1,0,18,11
1996,0,0,18,1,0,1,0,0,0,0,5,15
1997,4,0,0,0,1,0,0,0,6,0,11,23
1998,0,0,1,0,0,1,0,0,0,0,6,45
1999,0,0,0,3,1,0,1,0,0,0,0,7
2000,0,0,4,1,1,0,0,0,0,0,29,7
2001,0,0,0,3,0,0,0,0,0,0,14,8
2002,0,0,0,0,0,0,1,0,1,0,5,2
2003,0,0,0,0,0,0,0,0,0,0,3,2
2004,0,0,0,1,0,0,1,0,1,0,193,0
2005,0,0,0,2,0,0,1,0,0,0,0,57
2006,0,0,1,2,0,1,0,0,0,0,2,0
2007,0,0,3,1,0,0,0,0,0,0,0,4
2008,0,0,0,0,0,0,0,0,0,0,3,0
2009,0,0,0,0,1,0,0,0,7,0,3,3
2010,0,0,0,0,4,0,0,0,0,0,0,0
2011,0,0,0,2,0,1,0,0,0,0,0,1
2012,1,0,8,0,0,0,0,0,0,0,0,1
2013,0,0,0,0,2,0,0,0,0,0,0,4
2014,4,0,1,0,0,0,0,0,0,0,0,0
