season,player,possessions,DRAYMOND
2017,AJ Hammons,331.0258,-0.1766801
2014,AJ Price,211.7156,5.912172
2015,AJ Price,633.5186,-1.790921
2014,Aaron Brooks,3257.934,-0.9529003
2015,Aaron Brooks,3984.044,-0.1861272
2016,Aaron Brooks,2276.017,2.296577
2017,Aaron Brooks,1837.432,-1.121518
2018,Aaron Brooks,408.4625,-3.238316
2015,Aaron Gordon,1621.729,1.528847
2016,Aaron Gordon,3855.246,-0.0594504
2017,Aaron Gordon,4731.486,0.2830148
2018,Aaron Gordon,4019.24,1.179464
2019,Aaron Gordon,5817.49,-0.0558359
2014,Aaron Gray,727.2385,-1.097272
2016,Aaron Harrison,223.9285,0.6334358
2017,Aaron Harrison,34.88896,-8.022891
2018,Aaron Harrison,481.4848,-0.513968
2019,Aaron Holiday,1434.413,1.722443
2018,Aaron Jackson,103.3146,-7.791431
2018,Abdel Nader,1171.803,-2.305092
2019,Abdel Nader,1548.422,-1.125015
2014,Adonis Thomas,75.31313,-1.632967
2015,Adreian Payne,1470.223,-3.482662
2016,Adreian Payne,999.3375,-1.042118
2017,Adreian Payne,279.45,0.2621272
2018,Adreian Payne,88.93833,-0.9736428
2014,Al Harrington,1147.454,-0.7183384
2014,Al Horford,1943.542,1.487233
2015,Al Horford,5738.118,1.582315
2016,Al Horford,6204.384,1.474515
2017,Al Horford,5690.006,-0.059025
2018,Al Horford,5984.873,2.735347
2019,Al Horford,4834.457,1.1816
2014,Al Jefferson,5189.211,0.7736504
2015,Al Jefferson,3925.07,-0.8153014
2016,Al Jefferson,2554.31,-0.1928413
2017,Al Jefferson,1907.192,-0.9389905
2018,Al Jefferson,997.9475,-0.6700933
2014,Al-Farouq Aminu,4051.23,-1.20371
2015,Al-Farouq Aminu,3162.33,-0.0324187
2016,Al-Farouq Aminu,5620.879,0.503723
2017,Al-Farouq Aminu,3876.177,1.038686
2018,Al-Farouq Aminu,4555.827,0.939367
2019,Al-Farouq Aminu,5689.188,-0.9228402
2014,Alan Anderson,3969.544,-0.619294
2015,Alan Anderson,3802.11,-0.1540046
2016,Alan Anderson,405.12,-2.482471
2017,Alan Anderson,635.25,-2.504901
2016,Alan Williams,157.6467,2.121647
2017,Alan Williams,1532.083,2.144733
2018,Alan Williams,143.8062,-2.083492
2019,Alan Williams,60.07625,8.127236
2014,Alec Burks,4294.625,-1.14312
2015,Alec Burks,1731.886,-2.625811
2016,Alec Burks,1601.472,-2.254529
2017,Alec Burks,1323.413,1.065813
2018,Alec Burks,2442.966,-2.676581
2019,Alec Burks,2873.705,-1.056674
2018,Alec Peters,484.3125,-0.0217764
2017,Alex Abrines,2416.884,-2.268143
2018,Alex Abrines,2578.298,-0.6406532
2019,Alex Abrines,1288.455,-1.124739
2018,Alex Caruso,1217.667,1.459116
2019,Alex Caruso,1137.778,4.17129
2015,Alex Kirk,29.53125,-11.54336
2014,Alex Len,760.4263,-2.645275
2015,Alex Len,3170.09,1.204752
2016,Alex Len,3811.581,0.6525376
2017,Alex Len,3358.225,1.541873
2018,Alex Len,3026.859,0.5535545
2019,Alex Len,3488.797,0.4024043
2017,Alex Poythress,327.345,-1.035528
2018,Alex Poythress,214.24,0.9690092
2019,Alex Poythress,681.7385,1.195631
2016,Alex Stepheson,152.8567,6.570402
2014,Alexey Shved,1362.445,-0.4379106
2015,Alexey Shved,1577.03,-2.374654
2014,Alexis Ajinca,1878.819,-1.231676
2015,Alexis Ajinca,1886.48,0.918018
2016,Alexis Ajinca,1792.136,0.0424595
2017,Alexis Ajinca,1235.282,0.5436447
2018,Alfonzo McKinnie,114.0604,2.833355
2019,Alfonzo McKinnie,2708.746,-0.2212932
2019,Alize Johnson,148,3.423944
2014,Allen Crabbe,210.4583,-0.9351667
2015,Allen Crabbe,1483.248,0.8822076
2016,Allen Crabbe,5025.327,0.3728356
2017,Allen Crabbe,4891.046,-0.6799405
2018,Allen Crabbe,4657.182,0.8271663
2019,Allen Crabbe,2443.739,1.085181
2019,Allonzo Trier,3104.326,-0.9024433
2014,Alonzo Gee,2079.95,-1.231118
2015,Alonzo Gee,1396.54,1.703337
2016,Alonzo Gee,3404.08,-0.4750712
