ID	Pollster	Polls	NCPP/AAPOR/Roper	Calls Cellphones	Banned by 538	Historical Advanced Plus-Minus	Predictive Plus-Minus	538 Grade	Mean-Reverted Bias
1	Field Research Corporation (Field Poll)	23	yes	yes		-2.509674	-1.32377	A+	-1.142667826
2	Selzer & Company	32	yes	yes		-1.459742	-0.982943	A+	0.010389923
3	Ciruli Associates	17	yes	yes		-2.036298	-0.967599	A+	-0.717610435
4	SurveyUSA	722	yes	Sometimes		-1.018211	-0.9028778	A	-0.174487317
5	Elway Research	16	yes	yes		-1.932285	-0.9016041	A	0.471364091
6	Grove Insight	29		yes		-2.145177	-0.8894342	A	0.480680407
7	Blum & Weprin Associates	18		yes		-2.823918	-0.873236	A	-1.034504348
8	National Journal	12	yes	yes		-2.080368	-0.8134748	A	-0.178693429
9	Ipsos, telephone	21	yes	yes		-1.193011	-0.7256084	A-	0.420008571
10	Muhlenberg College	20	yes	yes		-1.164778	-0.6998314	A-	-0.491864
11	Public Policy Institute of California	10	yes	yes		-1.901415	-0.6859038	A-	-0.621734324
12	ABC News/Washington Post	50	yes	yes		-0.7451531	-0.6733085	A-	0.5870142
13	University of Cincinnati (Ohio Poll)	38	yes	yes		-0.756938	-0.6459742	A-	-1.452821356
14	Behavior Research Center (Rocky Mountain)	7	yes	yes		-2.373401	-0.6407706	A-	0.088
15	Siena College	32	yes	yes		-0.793005	-0.6388207	A-	-0.823105
16	Fairleigh Dickinson University (PublicMind)	17	yes	yes		-0.9900424	-0.5891662	A-	-0.007903652
17	CNN/Opinion Research Corp.	72	yes	yes		-0.5703554	-0.5827255	A-	-0.556254
18	Montana State University Billings	7		yes		-4.190756	-0.553575	A-	0.559188378
19	GfK Group	18	yes	yes		-0.8216731	-0.5404262	A-	-0.045641625
20	University of Connecticut	7	yes	yes		-1.751012	-0.5230213	A-	-0.363788108
21	NBC News/Wall Street Journal	23	yes	yes		-0.5779117	-0.4854578	A-	0.467745
22	Monmouth University	31	yes	yes		-0.466397	-0.4674737	A-	-0.088719448
23	Franklin & Marshall College	15	yes	yes		-0.6561467	-0.4462911	B+	-0.458445909
24	Davis, Hibbitts & Midghall, Inc.	11		yes		-2.210708	-0.3797086	B+	-0.04620825
25	Research & Polling, Inc.	24		yes		-1.236497	-0.3773816	B+	-0.602994906
