"","name","total","male_share","female_share","gap"
"1","Casey",176544.328149,0.584286566204162,0.415713433795838,0.168573132408324
"2","Riley",154860.665173,0.507639071226889,0.492360928773111,0.0152781424537786
"3","Jessie",136381.830656,0.47783426831522,0.52216573168478,0.04433146336956
"4","Jackie",132928.78874,0.421132601798505,0.578867398201495,0.15773479640299
"5","Avery",121797.419516,0.335213073103216,0.664786926896784,0.329573853793568
"6","Jaime",109870.18729,0.561792900862907,0.438207099137093,0.123585801725814
"7","Peyton",94896.395216,0.433719376329487,0.566280623670513,0.132561247341027
"8","Kerry",88963.92625,0.483948843602212,0.516051156397788,0.0321023127955753
"9","Jody",80400.519199,0.352068031749129,0.647931968250871,0.295863936501742
"10","Kendall",79210.873961,0.372366742002144,0.627633257997856,0.255266515995713
"11","Payton",64151.630388,0.334357683090347,0.665642316909653,0.331284633819305
"12","Skyler",53486.390419,0.646053060924541,0.353946939075459,0.292106121849082
"13","Frankie",51288.068109,0.623671255310686,0.376328744689314,0.247342510621372
"14","Pat",44781.602373,0.369034384641938,0.630965615358062,0.261931230716124
"15","Quinn",41920.940058,0.635741932197297,0.364258067802703,0.271483864394595
"16","Harley",41237.565743,0.57170175193966,0.42829824806034,0.14340350387932
"17","Reese",36360.520613,0.361910288553326,0.638089711446674,0.276179422893347
"18","Robbie",32636.047648,0.553156938754081,0.446843061245919,0.106313877508162
"19","Tommie",29528.793818,0.664437749808803,0.335562250191197,0.328875499617605
"20","Justice",27350.56457,0.528194955830851,0.471805044169149,0.0563899116617029
"21","Kris",24955.811342,0.498626098405292,0.501373901594708,0.00274780318941553
"22","Carey",24790.097054,0.523225760260067,0.476774239739933,0.0464515205201342
"23","Emerson",24167.154361,0.525528919552714,0.474471080447286,0.0510578391054288
"24","Blair",23160.101097,0.490256307493872,0.509743692506128,0.0194873850122556
"25","Amari",22296.161372,0.515448766998635,0.484551233001365,0.0308975339972705
"26","Elisha",22184.559374,0.42335187324059,0.57664812675941,0.153296253518819
"27","Sage",21336.062278,0.367309797932152,0.632690202067848,0.265380404135695
"28","Emery",18844.118877,0.486775536488248,0.513224463511752,0.0264489270235037
"29","Stevie",18665.219122,0.574872101520245,0.425127898479755,0.14974420304049
"30","Rowan",18367.420464,0.593396902050688,0.406603097949313,0.186793804101375
"31","Ollie",17889.750339,0.339155503236562,0.660844496763438,0.321688993526876
"32","Shea",16768.89188,0.41330242568181,0.58669757431819,0.173395148636381
"33","Jaylin",15093.192039,0.572151392077043,0.427848607922957,0.144302784154087
"34","Phoenix",14841.367876,0.610618412515388,0.389381587484612,0.221236825030777
"35","Charley",12546.265782,0.609578018980947,0.390421981019053,0.219156037961894
"36","Armani",12541.667755,0.559799828152919,0.440200171847081,0.119599656305837
"37","Devyn",12515.023074,0.462939632691244,0.537060367308756,0.0741207346175126
"38","Ivory",11908.580714,0.45360412468377,0.54639587531623,0.0927917506324591
"39","Kendal",11841.40348,0.338384465048226,0.661615534951774,0.323231069903548
"40","Baby",11132.855753,0.517252291124696,0.482747708875304,0.0345045822493915
"41","Mckinley",10972.533414,0.479261600633664,0.520738399366336,0.0414767987326723
"42","Finley",10194.618867,0.423588367386486,0.576411632613514,0.152823265227028
"43","Milan",9971.955937,0.542624640460242,0.457375359539758,0.0852492809204839
"44","Tory",9837.844335,0.64217876263032,0.35782123736968,0.284357525260639
"45","Shay",9444.894035,0.413142273861413,0.586857726138587,0.173715452277173
"46","Shiloh",8999.08523,0.334421397629101,0.665578602370899,0.331157204741798
"47","Lavern",8776.346296,0.510623226437919,0.489376773562081,0.0212464528758382
"48","Sky",8386.640072,0.350032134418276,0.649967865581724,0.299935731163449
"49","Reilly",8300.824693,0.446285455482995,0.553714544517005,0.107429089034009
"50","Leighton",8281.601797,0.606148710001783,0.393851289998217,0.212297420003566
"51","Santana",7922.713789,0.438905002453573,0.561094997546427,0.122189995092854
"52","Arden",7773.14736,0.47692710227997,0.52307289772003,0.0461457954400597
"53","Campbell",7728.956865,0.430619167648829,0.569380832351171,0.138761664702343
"54","Channing",7626.335577,0.624902631923615,0.375097368076385,0.24980526384723
"55","Kamari",7584.893909,0.632721126040472,0.367278873959528,0.265442252080945
"56","Alva",7496.35069,0.472639067129876,0.527360932870124,0.0547218657402486
"57","Clair",7148.894728,0.585739931740676,0.414260068259324,0.171479863481352
"58","Lavon",7107.834786,0.48804651732095,0.51195348267905,0.0239069653580999
"59","Kenyatta",7063.611274,0.418089848300449,0.581910151699551,0.163820303399102
"60","Britt",6852.95455,0.594512279086982,0.405487720913018,0.189024558173963
"61","Vernell",6729.462903,0.352433686043904,0.647566313956096,0.295132627912192
"62","Michal",6558.698679,0.490950487527344,0.509049512472656,0.0180990249453111
"63","Austyn",6228.961465,0.662011678860177,0.337988321139823,0.324023357720355
"64","Rian",6139.851241,0.593677306326126,0.406322693673874,0.187354612652251
"65","Dominque",6101.13501,0.375118135928613,0.624881864071387,0.249763728142774
"66","Remy",6094.667878,0.570592843057625,0.429407156942375,0.141185686115249
"67","Jammie",6013.444775,0.364047292177885,0.635952707822115,0.27190541564423
"68","Ricki",5847.272146,0.339712786646821,0.660287213353179,0.320574426706357
"69","Jordin",5770.788278,0.347259358940564,0.652740641059436,0.305481282118872
"70","Trinidad",5747.944235,0.592455661149956,0.407544338850045,0.184911322299911
"71","Ryley",5685.538724,0.560735154356149,0.439264845643851,0.121470308712297
"72","Carrol",5513.606968,0.45235639563636,0.54764360436364,0.0952872087272798
"73","Landry",5449.51046,0.555815647888489,0.444184352111511,0.111631295776979
"74","Lorin",5428.15538,0.545362467498121,0.454637532501879,0.0907249349962417
"75","Yael",5232.374916,0.449224824049286,0.550775175950714,0.101550351901427
"76","Codi",4805.328209,0.368184020539189,0.631815979460811,0.263631958921622
"77","Sloan",4796.882097,0.367115168434376,0.632884831565624,0.265769663131247
"78","Jael",4472.71492,0.384048137367092,0.615951862632908,0.231903725265817
"79","Kodi",4428.704313,0.491293819868078,0.508706180131922,0.017412360263845
"80","Azariah",4420.560847,0.370263313106705,0.629736686893296,0.259473373786591
"81","Dakotah",4388.852023,0.625606776125293,0.374393223874707,0.251213552250586
"82","Lorenza",4249.273719,0.543574994868435,0.456425005131565,0.0871499897368697
"83","Artie",4230.139897,0.59190025861218,0.40809974138782,0.18380051722436
"84","Maxie",4123.46784,0.599424270518865,0.400575729481135,0.19884854103773
