Start,End,Pollster,Favor,Oppose,Url,Text
6/9/17,6/11/17,Public Policy Polling,24,55,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_61217.pdf,"Do you support or oppose the health care bill passed by the House last month, known as the American Health Care Act?"
6/4/17,6/6/17,YouGov,33,45,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4vf8rhr0jz/econToplines.pdf,"Do you approve or disapprove of the American Health Care Act, the Republican legislation to repeal and replace the Affordable Care Act/Obamacare?"
5/31/17,6/6/17,Qunnipiac,17,62,https://poll.qu.edu/national/release-detail?ReleaseID=2463,"There is a revised Republican health care plan to replace Obamacare, known as the American Health Care Act. Do you approve or disapprove of this revised Republican health care plan?"
5/26/17,5/30/17,IPSOS ,30,46,https://www.realclearpolitics.com/docs/Core_Political-Topline-2017-05-31.pdf,"Based on everything you know about the new American Health Care Act (AHCA), to what extent do you support or oppose it?"
5/25/17,5/30/17,Morning Consult,38,47,https://morningconsult.com/wp-content/uploads/2017/05/170516_crosstabs_Politico_v3_TB-1.pdf,"As you may know, the House of Representatives recently passed a bill called the American Health Care Act that would that repeal and replace the 2010 Affordable Care Act, sometimes referred to as Obamacare. Based on what you know, do you approve or disapprove of this health care bill?"
5/17/17,5/23/17,Quinnipiac,20,57,https://poll.qu.edu/national/release-detail?ReleaseID=2461,"There is a revised Republican health care plan to replace Obamacare, known as the American Health Care Act. Do you approve or disapprove of this revised Republican health care plan?"
5/16/17,5/22/17,Kaiser Family Foundation,31,55,http://files.kff.org/attachment/Topline-Kaiser-Health-Tracking-Poll-May-2017-The-AHCAs-Proposed-Changes-to-Health-Care,"As you may know, Congress is currently discussing a health care plan that would repeal and replace the Affordable Care Act. Given what you know about this proposed new health care plan, do you have a generally (favorable) or generally (unfavorable) opinion of it? [ROTATE OPTIONS IN PARENTHESES] [GET ANSWER THEN ASK: Is that a very (favorable/unfavorable) or somewhat (favorable/unfavorable) opinion?] [INTERVIEWER NOTE: If respondent asks if the health care plan refers to the ""American Health Care Act,"" please answer Å â€”â€œyesÅ â€”Âù]"
5/13/17,5/20/17,Monmouth,32,55,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_052417/,"Earlier this month, the House of Representatives passed the American Health Care Act. This new bill repeals or replaces certain provisions of the 2010 Affordable Care Act, sometimes called Obamacare. Do you approve or disapprove of this new bill?"
5/13/17,5/16/17,YouGov,31,47,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fnsar5oaj4/econToplines.pdf,"Overall, given what you know about them, do you support or oppose the proposed changes to the health care system being developed by Congress and the Trump Administration?"
5/12/17,5/16/17,Public Policy Polling,25,52,http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_51617.pdf,"Do you support or oppose the health care bill passed by the House last week, known as the American Health Care Act?"
5/11/17,5/15/17,NBC/WSJ,23,48,https://www.scribd.com/document/348302118/NBC-WSJ-May-2017-poll,"Now as you may know, health care legislation was recently passed by the House of Representatives and supported by Donald Trump. From what you have heard about this health care legislation, do you think it is (ROTATE) Å â€”â€“ a good idea or a bad idea? If you do not have an opinion either way, please just say so. (If Good idea/Bad idea, ask:) And, do you feel that way strongly, or not so strongly?"
5/6/17,5/13/17,YouGov,31,44,http://big.assets.huffingtonpost.com/tabsHPHealthCareReform20170505.pdf,"As you may know, Republican leaders in the House of Representatives recently passed a new health care bill. Do you generally favor or oppose this bill?"
5/6/17,5/6/17,YouGov,31,47,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7gtsiw6kbg/econToplines.pdf,"Overall, given what you know about them, do you support or oppose the proposed changes to the health care system being developed by Congress and the Trump Administration?"
5/4/17,5/10/17,Quinnipiac,21,56,https://poll.qu.edu/national/release-detail?ReleaseID=2457,"There is a revised Republican health care plan to replace Obamacare, known as the American Health Care Act. Do you approve or disapprove of this revised Republican health care plan?"
5/4/17,5/9/17,Morning Consult,38,44,http://www.politico.com/f/?id=0000015b-ef3e-d46a-a3ff-ffbe08f00000,"As you may know, the House of Representatives recently passed a bill called the American Health Care Act that would that repeal and replace the 2010 Affordable Care Act, sometimes referred to as Obamacare. Based on what you know, do you approve or disapprove of this health care bill?"
