"food","characteristic","p_values"
"GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS","smoke_often",3.73929e-09
"COOKINGFATLARD","smoke_often",3.73929e-09
"MILKONCEREALQUAN","smoke_often",3.73929e-09
"SOMEJUICEQUAN","smoke_often",3.73929e-09
"MINERALSYESORNO","smoke_often",3.73929e-09
"ALLBRANORIGTYPE","Jewish",3.73929e-09
"GROUP_ALL_BRAN_ORIGINAL_TOTAL_GRAMS","Jewish",3.73929e-09
"GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS","smoke_often",9.45303e-09
"GROUP_ICE_CREAM_FROZEN_YOGURT_LOW_FAT_TOTAL_GRAMS","Jewish",2.86564e-08
"GROUP_STEAK_ROAST_FAT_ON_TOTAL_GRAMS","smoke_often",5.22033e-08
"GROUP_RAW_TOMATOES_TOTAL_GRAMS","Jewish",5.99175e-08
"GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS","smoke_often",6.02678e-07
"F18D1TN7","smoke_often",4.51821e-06
"SUP_ALA","smoke_rarely",8.04994e-06
"CHEXOTHERTYPE","smoke_rarely",8.04994e-06
"LIFETYPE","smoke_rarely",8.04994e-06
"FLAXHEMPSEEDOILTYPE","smoke_rarely",8.04994e-06
"GROUP_LIFE_TOTAL_GRAMS","smoke_rarely",8.04994e-06
"FIBERONETYPE","smoke_rarely",8.04994e-06
"GROUP_CHEX_OTHER_TOTAL_GRAMS","smoke_rarely",8.04994e-06
"GROUP_PORK_FAT_ON_TOTAL_GRAMS","smoke_often",8.80307e-06
"F18D3CN3","smoke_rarely",1.14464e-05
"GROUP_SOY_MILK_TOTAL_GRAMS","smoke_rarely",1.61582e-05
"SUP_OM_6","smoke_rarely",2.19454e-05
"EGGROLLQUAN","dog",2.84762e-05
"F20D3N3","smoke_rarely",3.14475e-05
"GROUP_BAGELS_WHITE_TOTAL_GRAMS","smoke_often",3.91567e-05
"GROUP_HOT_DOG_BEEF_OR_PORK_TOTAL_GRAMS","smoke_often",5.44728e-05
"V_REDOR_TOMATO","Jewish",5.49763e-05
"ENERGYDRINKSQUAN","currently_smoke",6.6642e-05
"CAMD5","smoke_rarely",7.22552e-05
"LATINO","smoke_often",7.72997e-05
"BUTTERQUAN","smoke_often",8.13207e-05
"BEERQUAN","currently_smoke",0.000106824
"GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS","quit_smoking",0.00012496
"OTHERCHIPSFREQ","mathReading",0.000138618
"F18D2CLA","smoke_often",0.000144681
"SODAQUAN","rash",0.000177172
"GROUP_CHEX_OTHER_TOTAL_GRAMS","right_hand",0.000197298
"SUP_ALA","right_hand",0.000197298
"CHEXOTHERTYPE","right_hand",0.000197298
"LIFETYPE","right_hand",0.000197298
"FLAXHEMPSEEDOILTYPE","right_hand",0.000197298
"GROUP_LIFE_TOTAL_GRAMS","right_hand",0.000197298
"SHELLFISHQUAN","right_hand",0.000203126
"GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS","right_hand",0.000224383
"GROUP_CORN_TOTAL_GRAMS","smoke_rarely",0.000231304
"CORNFLAKESTYPE","smoke_often",0.000233528
"WHITE","smoke_often",0.000233528
"VARIETYMEATQUAN","smoke_often",0.000233528
"GROUP_ICE_TEA_HOME_NO_SUGAR_TOTAL_GRAMS","smoke_often",0.000240465
"LEMONADEFREQ","yesCrash",0.000240925
"GROUP_POPSICLES_SHERBET_ICES_JELLO_TOTAL_GRAMS","smoke_rarely",0.000241422
"VEALLAMBGAMEQUAN","readingMath",0.000253928
"BAGELQUAN","smoke_often",0.00031923
"F18D3CN3","right_hand",0.000329997
"GROUP_SOY_MILK_TOTAL_GRAMS","right_hand",0.000342389
"SHELLFISHQUAN","left_hand",0.000352826
"SOMEJUICEFREQ","yesCrash",0.00035358
"GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS","smoke_rarely",0.000386511
"POPSICLESFREQ","smoke_rarely",0.000394662
"GROUP_YOGURT_PLAIN_FULL_FAT_TOTAL_GRAMS","Jewish",0.000396222
"GROUP_CANNED_FRUIT_APPLESAUCE_WITH_CANNED_CITRUS_TOTAL_GRAMS","Jewish",0.000412279
"GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS","quit_smoking",0.000422726
"F18D2TT","quit_smoking",0.000432487
"SUP_OM_6","right_hand",0.000433907
"PORKCHOPSFREQ","smoke_often",0.000435439
"SAUCEICECREAMQUAN","heart_disease",0.000451531
"GROUP_CHEESEBURGER_MEAT_AND_CHEESE_TOTAL_GRAMS","smoke_rarely",0.000472015
"GROUP_DRINKS_WITH_SOME_JUICE_TOTAL_GRAMS","yesCrash",0.000559722
"F20D3N3","right_hand",0.000677674
"FRIEDORBREADEDFISHQUAN","Dems",0.000735258
"CAMD5","right_hand",0.000771611
"COOKIESTYPE","belly",0.000934571
"F20D3N3","currently_smoke",0.000979702
"GROUP_COOK_FAT_CANOLA_SAFFLOWER_OILS_TOTAL_GRAMS","Jewish",0.000985028
"SALSAFREQ","rash",0.00116168
"CHEXOTHERTYPE","currently_smoke",0.00117358
"LIFETYPE","currently_smoke",0.00117358
"FLAXHEMPSEEDOILTYPE","currently_smoke",0.00117358
"SUP_ALA","currently_smoke",0.00117358
"GROUP_CHEX_OTHER_TOTAL_GRAMS","currently_smoke",0.00117358
"GROUP_LIFE_TOTAL_GRAMS","currently_smoke",0.00117358
"COOKINGFATLARD","currently_smoke",0.00117358
"GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS","currently_smoke",0.00117358
"FIBERONETYPE","currently_smoke",0.00117358
"MILKONCEREALQUAN","currently_smoke",0.00117358
"SOMEJUICEQUAN","currently_smoke",0.00117358
"MINERALSYESORNO","currently_smoke",0.00117358
"GROUP_CAKE_LOW_FAT_TOTAL_GRAMS","belly",0.00117358
"GROUP_COOK_FAT_OTHER_OIL_COCONUT_VARIOUS_NFS_VEGETABLE_OILS_TOTAL_GRAMS","belly",0.00117358
"FIBERONETYPE","belly",0.00117358
"COOKINGFATOTHER","belly",0.00117358
"BEERQUAN","smoke_often",0.00128534
"GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS","belly",0.0013232
"GROUP_TORTILLAS_CORN_TOTAL_GRAMS","smoke_rarely",0.00133174
"F18D3CN3","currently_smoke",0.00136139
"SALTFREQ","favCable",0.00140221
"SUP_OM_6","currently_smoke",0.00142396
"GROUP_CHOCOLATE_MILK_COCOA_HOT_CHOCOLATE_TOTAL_GRAMS","right_hand",0.00148978
"EXERGYMFREQ","currently_smoke",0.00158899
"COFFEEDRINKSFREQ","cat",0.00163035
"GROUP_TORTILLA_MIX_TOTAL_GRAMS","Jewish",0.00172644
"GROUP_ICE_TEA_BOTTLE_NO_SUGAR_TOTAL_GRAMS","smoke_rarely",0.00176796
"GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS","currently_smoke",0.0018159
"SUP_B6","belly",0.00186696
"ENERGYDRINKSQUAN","smoke_often",0.00188478
"VITAMINCYEARS","quit_smoking",0.00189225
"GROUP_COFFEE_BOTH_KINDS_TOTAL_GRAMS","yesCrash",0.001894
"GROUP_SOY_MILK_TOTAL_GRAMS","currently_smoke",0.00189621
"TUNAQUAN","yesCrash",0.00194306
"MEALREPLACEMENTDRINKSQUAN","rash",0.00199933
"PEACHESQUAN","rash",0.00199933
"GROUP_OATMEAL_SQUARES_OAT_BRAN_TOTAL_GRAMS","Jewish",0.00202944
"GROUP_YOGURT_PLAIN_NON_FAT_TOTAL_GRAMS","diabetes",0.00203719
"GROUP_SWEETS_TOTAL_GRAMS","diabetes",0.00224354
"V_REDOR_TOTAL","Jewish",0.0022547
"PSVEGORN","Jewish",0.0022547
"GROUP_CARROTS_CARROT_MIXES_TOTAL_GRAMS","smoke_often",0.0023566
"GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS","ever_smoked",0.00238832
"GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS","never_smoked",0.00238832
"GROUP_CORN_BREAD_HUSH_PUPPIES_TOTAL_GRAMS","smoke_often",0.00239431
"GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS","smoke_often",0.00250377
"GROUP_RAISIN_BRAN_TOTAL_GRAMS","yesCrash",0.00255233
"LEMONADEFREQ","smoke_often",0.00261039
"GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS","yesCrash",0.00281987
"COFFEEQUAN","smoke_often",0.00286546
"GROUP_STEAK_ROAST_FAT_OFF_TOTAL_GRAMS","atheist",0.00296707
"GROUP_WALNUTS_FLAX_SEEDS_TOTAL_GRAMS","Jewish",0.00298652
"MILKFREQ","mathReading",0.00302434
"LENTILSOUPQUAN","Dems",0.00304635
"WALNUTSFREQ","Jewish",0.00305572
"GROUP_ICE_TEA_BOTTLE_NO_SUGAR_TOTAL_GRAMS","belly",0.00306898
"GROUP_COTTAGE_CHEESE_RICOTTA_TOTAL_GRAMS","quit_smoking",0.00308275
"FOLICACIDAMOUNT","quit_smoking",0.00330835
"FORMONONETIN","quit_smoking",0.00348249
"WINEQUAN","smoke_often",0.00352774
"GROUP_STEAK_ROAST_FAT_ON_TOTAL_GRAMS","currently_smoke",0.00368751
"STID7","right_hand",0.00374711
"HEAVYWORKFREQ","dog",0.0037646
"BOTHKINDSCOFFEETYPE","yesCrash",0.00376578
"GRANOLATYPE","Jewish",0.0037679
"TOMATOJUICEQUAN","currently_smoke",0.00377928
"OYSTERSFREQ","ever_smoked",0.0039382
"OYSTERSFREQ","never_smoked",0.0039382
"BUNSTYPE","rash",0.00394787
"TUNAQUAN","right_hand",0.00395568
"FOLICACIDYEARS","quit_smoking",0.00418079
"BISCUITFREQ","smoke_often",0.00423242
"GROUP_SUGARYBEVG_TOTAL_GRAMS","diabetes",0.00426379
"ICEDTEAFREQ","noCrash",0.0042654
"WHOLEGRAINCEREALFREQ","unfavCable",0.00431467
"GROUP_OATMEAL_WHOLEGRAIN_COOKED_CEREAL_TOTAL_GRAMS","unfavCable",0.00431716
"STID7","smoke_rarely",0.00432624
"COOKIESTYPE","smoke_rarely",0.00436621
"WALNUTSFREQ","mathReading",0.00440158
"COCKTAILSQUAN","currently_smoke",0.00443035
"CANNEDFRUITFREQ","cat",0.0044402
"DT_CAFFN","smoke_often",0.00444898
"MEALREPLACEMENTDRINKSQUAN","smoke_rarely",0.0045333
"OATSQUARESTYPE","Jewish",0.0045333
"SHREDDEDWHEATTYPE","smoke_often",0.0045333
"BOTHKINDSCOFFEETYPE","Jewish",0.0045333
"ICEDTEAFREQ","dog",0.00458258
"BAGELTYPE","rash",0.00461411
"PCTALCH","currently_smoke",0.00466302
"F24D1C","smoke_rarely",0.00468504
"SITSTR","smoke_rarely",0.00475757
"PICKLESFREQ","Jewish",0.00485917
"VITAMINB6YEARS","Dems",0.00490384
"SLICEDCHEESEQUAN","smoke_often",0.00494833
"GROUP_CHEESEBURGER_MEAT_AND_CHEESE_TOTAL_GRAMS","currently_smoke",0.0049829
"GROUP_LIQUOR_COCKTAILS_TOTAL_GRAMS","smoke_often",0.00498299
"GROUP_BREAD_WHITE_TOTAL_GRAMS","right_hand",0.00508263
"GROUP_ALCOHOLICBEVERAGES_TOTAL_GRAMS","currently_smoke",0.00511951
"GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS","belly",0.00515466
"GROUP_BEER_REGULAR_TOTAL_GRAMS","currently_smoke",0.00525087
"SHREDDEDWHEATTYPE","readingMath",0.00536805
"ENERGYDRINKSTYPE","smoke_rarely",0.005433
"GROUP_CORN_PUFFS_TWISTS_SOY_POTATO_CHIPS_TOTAL_GRAMS","mathReading",0.00545334
"COOKIESTYPE","currently_smoke",0.00558195
"HICQUAN","noCrash",0.00559735
"BRISKWALKFREQ","rash",0.00562919
"SUP_EPA","smoke_often",0.00563045
"SUP_DHA","smoke_often",0.00563057
"OTHERNOODLESQUAN","readingMath",0.00572602
"SITSTR","right_hand",0.00580169
"CAMD5","currently_smoke",0.00615432
"BAGELFREQ","rash",0.00619758
"GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS","currently_smoke",0.00622028
"OTHERFRESHFRUITQUAN","left_hand",0.00625413
