Characteristic,Food,slope,pvalue
dog,EGGROLLQUAN,1.52803443307062,0.00101379383471414
readingMath,VEALLAMBGAMEQUAN,2.34356648537592,0.00105865639490482
mathReading,OTHERCHIPSFREQ,0.822623609200501,0.00118229608297078
right_hand,SHELLFISHQUAN,4.42578079419698,0.00347295460839182
Dems,FRIEDORBREADEDFISHQUAN,-2.38482319123082,0.00355317655283254
rash,SALSAFREQ,-0.636129587727093,0.00465232493612328
currently_smoke,BEERQUAN,1.61795100849862,0.00491100473870374
yesCrash,TUNAQUAN,-2.45138169482341,0.00497849125498864
rash,SODAQUAN,1.53129721922419,0.00532002487570169
left_hand,SHELLFISHQUAN,-3.16277363413128,0.00649646214936354
Dems,LENTILSOUPQUAN,-2.06126751178583,0.00660377592751232
cat,COFFEEDRINKSFREQ,0.454519756143825,0.00686993718261022
dog,HEAVYWORKFREQ,1.79599785399915,0.00735017684302514
currently_smoke,ENERGYDRINKSQUAN,2.63779665087966,0.00771737896963948
mathReading,MILKFREQ,0.357252919346059,0.00805611313783973
belly,COOKIESTYPE,1.04349748717384,0.00829715593540079
diabetes,GROUP_SWEETS_TOTAL_GRAMS,0.00457807233250438,0.00839081676385931
never_smoked,OYSTERSFREQ,-1.37305410593093,0.0085759510963152
ever_smoked,OYSTERSFREQ,1.37305410593093,0.00857595109631522
unfavCable,WHOLEGRAINCEREALFREQ,0.354690056328769,0.00895494196447259
dog,ICEDTEAFREQ,0.406675392488752,0.00942035864166385
quit_smoking,F18D2TT,69.992640082936,0.00965026295259719
yesCrash,LEMONADEFREQ,1.12195968896018,0.010139470296706
noCrash,ICEDTEAFREQ,-0.566130173035187,0.0102858203231006
cat,CANNEDFRUITFREQ,-2.05158677923908,0.0106316404977301
rash,BAGELTYPE,-0.647850611993379,0.0106416843614462
favCable,SALTFREQ,-0.653807545100631,0.010862036576317
rash,BUNSTYPE,-0.715526476669204,0.0111533445540093
readingMath,OTHERNOODLESQUAN,1.30185037449311,0.0111680047847841
rash,BAGELFREQ,-0.708371075184582,0.0113069159379009
rash,BRISKWALKFREQ,0.57469785674134,0.0115707720174925
quit_smoking,VITAMINCYEARS,0.856317358725788,0.0128436405921735
right_hand,TUNAQUAN,3.03017363396898,0.0129451851437619
mathReading,OTHERCANDIESQUAN,1.04358627839951,0.0130333932981535
currently_smoke,EXERGYMFREQ,-1.2785219611768,0.0131196381936703
dog,WHOLEGRAINCRACKERSQUAN,1.09408176212476,0.0133177631291381
smoke_rarely,GROUP_CORN_TOTAL_GRAMS,0.168231498926067,0.0134296630454108
cancer,COOKEDGREENSQUAN,1.03007292095047,0.0136039979246459
uhCrash,SALADDRESSINGSFREQ,-0.345387033094559,0.0137898522687902
heart_disease,TORTILLASQUAN,1.09861228866514,0.0140815094303725
diabetes,GROUP_SUGARYBEVG_TOTAL_GRAMS,0.00509868784879753,0.0140859135932857
quit_smoking,COOKEDGREENSQUAN,1.24017927692639,0.0144927061365923
favCable,DT_LYCO,-0.000528435305079092,0.0145811065157875
cancer,OTHERNUTSFREQ,0.296142810248596,0.0150393167566352
atheist,USEVITSREGULARLY,-1.52605630349505,0.0154771302807018
mathReading,GROUP_CORN_PUFFS_TWISTS_SOY_POTATO_CHIPS_TOTAL_GRAMS,0.302812438417874,0.0154845556699077
favCable,OTHERNOODLESQUAN,-1.6959234278554,0.0158154737320081
favCable,GROUP_SOLID_COUNT,-0.061895538561001,0.0158581977046193
diabetes,SODAFREQ,0.300169166841824,0.016632263217687
heart_disease,WINETYPE,0.592304466687921,0.0166532937900502
cancer,CARROTSQUAN,1.37256729521988,0.0166705273338958
currently_smoke,COCKTAILSQUAN,1.22727521899108,0.0166855834652495
favCable,LIGHTHOUSETIME,-1.52967514492296,0.0168920009495329
quit_smoking,OTHERVEGGIESQUAN,1.44049665955893,0.0172076222685935
smoke_often,GROUP_PORK_FAT_ON_TOTAL_GRAMS,0.101788970580267,0.0172591305801698
smoke_often,GROUP_STEAK_ROAST_FAT_ON_TOTAL_GRAMS,0.103167742151406,0.0172674360234167
mathReading,MYRIC,-0.547782606399325,0.0174477949676874
dog,HEAVYWORKTIME,1.75751781183843,0.017848766160952
diabetes,MAYOTYPE,-0.876693798330044,0.0178620795478404
unfavCable,GROUP_OATMEAL_WHOLEGRAIN_COOKED_CEREAL_TOTAL_GRAMS,0.0140950375410971,0.0179383061884333
uhCrash,MILKONCEREALFREQ,-0.287731610929378,0.0180332354955896
left_hand,MAYOQUAN,-1.92232414507461,0.0183302082769376
mathReading,WALNUTSFREQ,-0.497076939507033,0.0185906530561682
atheist,GROUP_STEAK_ROAST_FAT_OFF_TOTAL_GRAMS,-0.119858125891586,0.018611905664357
cancer,POTATOESFREQ,0.464065229771697,0.0186846259121411
cancer,TOCTRB,-2.96997716149447,0.0187453396191129
currently_smoke,COOKIESTYPE,-0.893585278406103,0.0188400196949633
smoke_often,GROUP_BAGELS_WHITE_TOTAL_GRAMS,0.219658106360578,0.0188678955599554
